119,150.0,0.7933333333,,,,,
Seat,FinalA,FinalB,Party,ShareToA,ShareToB,SourceYear,
Hughes,ALP,LNP,GRN,0.884,0.116,,
Hughes,ALP,LNP,ON,0.241,0.759,,
Hughes,ALP,LNP,IND,,,,
Hughes,ALP,LNP,OTH,0.344,0.656,,
Hume,ALP,LNP,GRN,0.838,0.162,,
Hume,ALP,LNP,ON,0.282,0.718,,
Hume,ALP,LNP,IND,0.638,0.362,,
Hume,ALP,LNP,OTH,0.314,0.686,,
Macarthur,ALP,LNP,GRN,0.875,0.125,,
Macarthur,ALP,LNP,ON,0.337,0.663,,
Macarthur,ALP,LNP,IND,,,,
Macarthur,ALP,LNP,OTH,0.439,0.561,,
Werriwa,ALP,LNP,GRN,0.75,0.25,,
Werriwa,ALP,LNP,ON,0.319,0.681,,
Werriwa,ALP,LNP,IND,0.619,0.381,,
Werriwa,ALP,LNP,OTH,0.443,0.557,,
Dobell,ALP,LNP,GRN,0.845,0.155,,
Dobell,ALP,LNP,ON,0.252,0.748,,
Dobell,ALP,LNP,IND,,,,
Dobell,ALP,LNP,OTH,0.553,0.447,,
Newcastle,ALP,GRN,LNP,0.687,0.313,,
Newcastle,ALP,GRN,ON,0.668,0.332,,
Newcastle,ALP,GRN,IND,,,,
Newcastle,ALP,GRN,OTH,0.475,0.525,,
Newcastle,ALP,LNP,GRN,0.904,0.096,,
Newcastle,ALP,LNP,ON,0.298,0.702,,
Newcastle,ALP,LNP,IND,,,,
Newcastle,ALP,LNP,OTH,0.471,0.529,,
Paterson,ALP,LNP,GRN,0.902,0.098,,"1 ind, 2 ind-oth"
Paterson,ALP,LNP,ON,0.272,0.728,,
Paterson,ALP,LNP,IND,0.555,0.445,,
Paterson,ALP,LNP,OTH,0.512,0.488,,
Robertson,ALP,LNP,GRN,0.897,0.103,,
Robertson,ALP,LNP,ON,0.207,0.793,,
Robertson,ALP,LNP,IND,0.662,0.338,,
Robertson,ALP,LNP,OTH,0.519,0.481,,
Shortland,ALP,LNP,GRN,0.853,0.147,,
Shortland,ALP,LNP,ON,0.304,0.696,,
Shortland,ALP,LNP,IND,0.644,0.356,,
Shortland,ALP,LNP,OTH,0.371,0.629,,
Macquarie,ALP,LNP,GRN,0.926,0.074,,
Macquarie,ALP,LNP,ON,0.236,0.764,,
Macquarie,ALP,LNP,IND,,,,
Macquarie,ALP,LNP,OTH,0.323,0.677,,
Cowper,LNP,IND,ALP,0.302,0.698,,"1 ind, 1 ind-oth"
Cowper,LNP,IND,GRN,0.161,0.839,,
Cowper,LNP,IND,ON,0.719,0.281,,
Cowper,LNP,IND,OTH,0.562,0.438,,
Cowper,ALP,LNP,GRN,0.806,0.194,,
Cowper,ALP,LNP,ON,0.146,0.854,,
Cowper,ALP,LNP,IND,0.711,0.289,,
Cowper,ALP,LNP,OTH,0.379,0.621,,
Cunningham,ALP,LNP,GRN,0.896,0.104,,
Cunningham,ALP,LNP,ON,0.274,0.726,,
Cunningham,ALP,LNP,IND,,,,
Cunningham,ALP,LNP,OTH,0.603,0.397,,
Whitlam,ALP,LNP,GRN,0.8,0.2,,"1 ind, 2 ind-oth"
Whitlam,ALP,LNP,ON,0.285,0.715,,
Whitlam,ALP,LNP,IND,0.375,0.625,,
Whitlam,ALP,LNP,OTH,0.451,0.549,,
Calare,LNP,IND,ALP,0.177,0.823,,"1 ind, 1 ind-oth"
Calare,LNP,IND,GRN,0.172,0.828,,
Calare,LNP,IND,ON,0.561,0.439,,
Calare,LNP,IND,OTH,0.27,0.73,,
Calare,ALP,LNP,GRN,0.804,0.196,,
Calare,ALP,LNP,ON,0.224,0.776,,
Calare,ALP,LNP,IND,0.356,0.644,,
Calare,ALP,LNP,OTH,0.574,0.426,,
Eden-Monaro,ALP,LNP,GRN,0.923,0.77,,2 ind
Eden-Monaro,ALP,LNP,ON,0.243,0.757,,
Eden-Monaro,ALP,LNP,IND,0.5,0.5,,
Eden-Monaro,ALP,LNP,OTH,0.305,0.695,,
Gilmore,ALP,LNP,GRN,0.92,0.08,,
Gilmore,ALP,LNP,ON,0.256,0.744,,
Gilmore,ALP,LNP,IND,,,,
Gilmore,ALP,LNP,OTH,0.444,0.556,,
Hunter,ALP,ON,LNP,0.171,0.829,,
Hunter,ALP,ON,GRN,0.874,0.126,,
Hunter,ALP,ON,IND,,,,
Hunter,ALP,ON,OTH,0.402,0.598,,
Hunter,ALP,LNP,GRN,0.829,0.171,,
Hunter,ALP,LNP,ON,0.201,0.799,,
Hunter,ALP,LNP,IND,,,,
Hunter,ALP,LNP,OTH,0.445,0.555,,
Lyne,ALP,LNP,GRN,0.834,0.166,,
Lyne,ALP,LNP,ON,0.18,0.72,,
Lyne,ALP,LNP,IND,0.599,0.401,,
Lyne,ALP,LNP,OTH,0.314,0.686,,
New England,ALP,LNP,GRN,0.807,0.193,,
New England,ALP,LNP,ON,0.227,0.773,,
New England,ALP,LNP,IND,0.576,0.424,,
New England,ALP,LNP,OTH,0.315,0.685,,
Page,ALP,LNP,GRN,0.859,0.141,,2 ind
Page,ALP,LNP,ON,0.158,0.842,,
Page,ALP,LNP,IND,0.645,0.355,,
Page,ALP,LNP,OTH,0.33,0.67,,
Parkes,ALP,LNP,GRN,0.773,0.227,,
Parkes,ALP,LNP,ON,0.318,0.682,,
Parkes,ALP,LNP,IND,0.414,0.586,,
Parkes,ALP,LNP,OTH,0.401,0.599,,
Richmond,ALP,LNP,GRN,0.899,0.101,,2 ind
Richmond,ALP,LNP,ON,0.19,0.81,,
Richmond,ALP,LNP,IND,0.266,0.734,,
Richmond,ALP,LNP,OTH,0.379,0.621,,
Farrer,LNP,IND,ALP,0.248,0.752,,
Farrer,LNP,IND,GRN,0.181,0.819,,
Farrer,LNP,IND,ON,0.528,0.472,,
Farrer,LNP,IND,OTH,0.466,0.534,,
Farrer,ALP,LNP,GRN,0.835,0.165,,
Farrer,ALP,LNP,ON,0.257,0.743,,
Farrer,ALP,LNP,IND,0.639,0.361,,
Farrer,ALP,LNP,OTH,0.346,0.654,,
Riverina,ALP,LNP,GRN,0.808,0.192,,"2 ind, 3 ind-oth"
Riverina,ALP,LNP,ON,0.313,0.687,,
Riverina,ALP,LNP,IND,0.51,0.49,,
Riverina,ALP,LNP,OTH,0.414,0.586,,
Chisholm,ALP,LNP,GRN,0.888,0.112,,
Chisholm,ALP,LNP,ON,0.178,0.822,,
Chisholm,ALP,LNP,IND,0.763,0.237,,
Chisholm,ALP,LNP,OTH,0.27,0.73,,
Goldstein,LNP,IND,ALP,0.193,0.807,,
Goldstein,LNP,IND,GRN,0.088,0.912,,
Goldstein,LNP,IND,ON,0.707,0.293,,
Goldstein,LNP,IND,OTH,0.66,0.34,,
Goldstein,ALP,LNP,GRN,0.887,0.113,,
Goldstein,ALP,LNP,ON,0.201,0.799,,
Goldstein,ALP,LNP,IND,0.806,0.194,,
Goldstein,ALP,LNP,OTH,0.264,0.736,,
Hotham,ALP,LNP,GRN,0.918,0.082,,
Hotham,ALP,LNP,ON,0.287,0.713,,
Hotham,ALP,LNP,IND,,,,
Hotham,ALP,LNP,OTH,0.516,0.484,,
Kooyong,LNP,IND,ALP,0.239,0.761,,
Kooyong,LNP,IND,GRN,0.107,0.893,,
Kooyong,LNP,IND,ON,0.77,0.23,,
Kooyong,LNP,IND,OTH,0.763,0.237,,
Kooyong,ALP,LNP,GRN,0.88,0.12,,
Kooyong,ALP,LNP,ON,0.168,0.832,,
Kooyong,ALP,LNP,IND,0.833,0.167,,
Kooyong,ALP,LNP,OTH,0.207,0.793,,
Macnamara,ALP,LNP,GRN,0.934,0.066,,
Macnamara,ALP,LNP,ON,0.205,0.795,,
Macnamara,ALP,LNP,IND,0.544,0.456,,
Macnamara,ALP,LNP,OTH,0.252,0.748,,
Cooper,ALP,GRN,LNP,0.726,0.274,,
Cooper,ALP,GRN,ON,0.735,0.265,,
Cooper,ALP,GRN,IND,,,,
Cooper,ALP,GRN,OTH,0.233,0.767,,
Cooper,ALP,LNP,GRN,0.957,0.043,,
Cooper,ALP,LNP,ON,0.305,0.695,,
Cooper,ALP,LNP,IND,,,,
Cooper,ALP,LNP,OTH,0.872,0.128,,
Melbourne,ALP,GRN,LNP,0.79,0.21,,"1 ind, 1 ind-oth"
Melbourne,ALP,GRN,ON,0.81,0.19,,
Melbourne,ALP,GRN,IND,0.702,0.298,,
Melbourne,ALP,GRN,OTH,0.473,0.527,,
Melbourne,ALP,LNP,GRN,0.953,0.047,,
Melbourne,ALP,LNP,ON,0.317,0.683,,
Melbourne,ALP,LNP,IND,0.521,0.479,,
Melbourne,ALP,LNP,OTH,0.692,0.308,,
Wills,ALP,GRN,LNP,0.749,0.251,,
Wills,ALP,GRN,ON,0.757,0.243,,
Wills,ALP,GRN,IND,,,,
Wills,ALP,GRN,OTH,0.281,0.719,,
Wills,ALP,LNP,GRN,0.957,0.043,,
Wills,ALP,LNP,ON,0.228,0.772,,
Wills,ALP,LNP,IND,,,,
Wills,ALP,LNP,OTH,0.838,0.162,,
Fraser,ALP,GRN,LNP,0.629,0.371,,
Fraser,ALP,GRN,ON,0.613,0.387,,
Fraser,ALP,GRN,IND,,,,
Fraser,ALP,GRN,OTH,0.295,0.705,,
Fraser,ALP,LNP,GRN,0.836,0.164,,
Fraser,ALP,LNP,ON,0.319,0.681,,
Fraser,ALP,LNP,IND,,,,
Fraser,ALP,LNP,OTH,0.646,0.354,,
Gellibrand,ALP,LNP,GRN,0.88,0.12,,
Gellibrand,ALP,LNP,ON,0.311,0.689,,
Gellibrand,ALP,LNP,IND,,,,
Gellibrand,ALP,LNP,OTH,0.386,0.614,,
Maribyrnong,ALP,LNP,GRN,0.917,0.83,,
Maribyrnong,ALP,LNP,ON,0.255,0.745,,
Maribyrnong,ALP,LNP,IND,,,,
Maribyrnong,ALP,LNP,OTH,,,,
