119,150.0,0.7933333333,,,,,
Seat,FinalA,FinalB,Party,ShareToA,ShareToB,SourceYear,
Moncrieff,ALP,LNP,IND,0.536,0.464,,
Moncrieff,ALP,LNP,OTH,0.343,0.657,,
Dawson,ALP,LNP,GRN,0.794,0.206,,
Dawson,ALP,LNP,ON,0.248,0.752,,
Dawson,ALP,LNP,IND,,,,
Dawson,ALP,LNP,OTH,0.258,0.742,,
Kennedy,LNP,OTH,ALP,0.248,0.752,,
Kennedy,LNP,OTH,GRN,0.405,0.595,,
Kennedy,LNP,OTH,ON,0.265,0.735,,
Kennedy,LNP,OTH,IND,0.436,0.564,,
Kennedy,ALP,LNP,GRN,0.823,0.177,,
Kennedy,ALP,LNP,ON,0.226,0.774,,
Kennedy,ALP,LNP,IND,0.531,0.469,,
Kennedy,ALP,LNP,OTH,0.381,0.619,,
Leichhardt,ALP,LNP,GRN,0.896,0.104,,
Leichhardt,ALP,LNP,ON,0.257,0.743,,
Leichhardt,ALP,LNP,IND,0.561,0.439,,
Leichhardt,ALP,LNP,OTH,0.477,0.523,,
Flynn,ALP,LNP,GRN,0.802,0.198,,2 ind
Flynn,ALP,LNP,ON,0.255,0.745,,
Flynn,ALP,LNP,IND,0.62,0.38,,
Flynn,ALP,LNP,OTH,0.283,0.717,,
Fairfax,ALP,LNP,GRN,0.861,0.139,,"1 ind, 1 ind-oth"
Fairfax,ALP,LNP,ON,0.266,0.734,,
Fairfax,ALP,LNP,IND,0.727,0.273,,
Fairfax,ALP,LNP,OTH,0.328,0.672,,
Fisher,ALP,LNP,GRN,0.831,0.165,,
Fisher,ALP,LNP,ON,0.248,0.752,,
Fisher,ALP,LNP,IND,0.615,0.385,,
Fisher,ALP,LNP,OTH,0.256,0.744,,
Maranoa,LNP,ON,ALP,0.579,0.421,,
Maranoa,LNP,ON,GRN,0.647,0.353,,
Maranoa,LNP,ON,IND,,,,
Maranoa,LNP,ON,OTH,0.323,0.677,,
Maranoa,ALP,LNP,GRN,0.762,0.238,,
Maranoa,ALP,LNP,ON,0.227,0.773,,
Maranoa,ALP,LNP,IND,,,,
Maranoa,ALP,LNP,OTH,0.245,0.755,,
Wide Bay,ALP,LNP,GRN,0.826,0.174,,
Wide Bay,ALP,LNP,ON,0.243,0.757,,
Wide Bay,ALP,LNP,IND,0.615,0.385,,
Wide Bay,ALP,LNP,OTH,0.357,0.643,,
Wright,ALP,LNP,GRN,0.829,0.171,,
Wright,ALP,LNP,ON,0.222,0.778,,
Wright,ALP,LNP,IND,,,,
Wright,ALP,LNP,OTH,0.346,0.654,,
Cowan,ALP,LNP,GRN,0.874,0.126,,
Cowan,ALP,LNP,ON,0.271,0.729,,
Cowan,ALP,LNP,IND,0.549,0.451,,
Cowan,ALP,LNP,OTH,0.435,0.565,,
Curtin,LNP,IND,ALP,0.215,0.785,,
Curtin,LNP,IND,GRN,0.096,0.904,,
Curtin,LNP,IND,ON,0.683,0.317,,
Curtin,LNP,IND,OTH,0.326,0.674,,
Curtin,ALP,LNP,GRN,0.891,0.109,,
Curtin,ALP,LNP,ON,0.16,0.84,,
Curtin,ALP,LNP,IND,0.755,0.245,,
Curtin,ALP,LNP,OTH,0.576,0.424,,
Perth,ALP,LNP,GRN,0.902,0.098,,
Perth,ALP,LNP,ON,0.212,0.788,,
Perth,ALP,LNP,IND,,,,
Perth,ALP,LNP,OTH,,,,
Fremantle,ALP,IND,LNP,0.235,0.765,,
Fremantle,ALP,IND,GRN,0.471,0.529,,
Fremantle,ALP,IND,ON,0.253,0.747,,
Fremantle,ALP,IND,OTH,0.354,0.646,,
Fremantle,ALP,LNP,GRN,0.908,0.092,,
Fremantle,ALP,LNP,ON,0.248,0.752,,
Fremantle,ALP,LNP,IND,0.731,0.269,,
Fremantle,ALP,LNP,OTH,0.671,0.329,,
Swan,ALP,LNP,GRN,0.909,0.091,,
Swan,ALP,LNP,ON,0.26,0.74,,
Swan,ALP,LNP,IND,,,,
Swan,ALP,LNP,OTH,0.531,0.469,,
