Electorate,division_key,LegacyWinner,LegacyRunnerUp,LegacyFinalTwo,LegacyWinnerShare,LegacyEliminationOrder,DirectWinner,DirectRunnerUp,DirectFinalTwo,DirectWinnerShare,DirectEliminationOrder,CanonicalWinner,CanonicalRunnerUp,CanonicalFinalTwo,CanonicalWinnerShare,CanonicalEliminationOrder,ActualWinner,ActualRunnerUp,ActualFinalTwo,ActualWinnerShare,WinnerChanged,FinalTwoChanged,EliminationOrderChanged,WinnerShareDeltaPP,LegacyWinnerMatchedActual,DirectWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,DirectFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual,LegacyAbsoluteWinnerErrorPP,DirectAbsoluteWinnerErrorPP,CanonicalAbsoluteWinnerErrorPP,AbsoluteErrorChangePP,ReviewPriority
Wide Bay,WIDE BAY,LNP,ON,LNP+ON,0.5008142045179855,IND>OTH>GRN>ALP,ON,LNP,LNP+ON,0.5012559871512048,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5061243740838679,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,50.0814,False,False,False,0.5310169565882372,True,False,True,True,True,True,2.0451798554699252e-05,0.04419871512048035,0.5310374083867919,0.5310169565882372,LOW
Greenway,GREENWAY,ALP,ON,ALP+ON,0.603564544384707,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.6148762611602961,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.6085557913390494,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,59.6505,False,False,False,0.49912469543423876,True,True,True,True,True,True,0.7059544384706906,1.8371261160296082,1.2050791339049294,0.49912469543423876,LOW
Gorton,GORTON,ALP,ON,ALP+ON,0.5645917529682095,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5784322219125134,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5692002950552915,OTH>GRN>LNP,ALP,ON,ALP+ON,56.0268,False,False,False,0.4608542087081946,True,True,True,True,True,True,0.43237529682095266,1.8164221912513434,0.8932295055291473,0.4608542087081946,LOW
Bowman,BOWMAN,LNP,ALP,ALP+LNP,0.5544786322253784,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5568052377526038,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5500182687493307,OTH>GRN>ON,LNP,ALP,ALP+LNP,55.1023,False,False,False,-0.4460363476047724,True,True,True,True,True,True,0.3455632225378369,0.578223775260378,0.10047312506693551,-0.24509009747090138,LOW
New England,NEW ENGLAND,LNP,ON,LNP+ON,0.5805235372336627,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5902752447092883,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5849012641315131,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,58.0524,False,False,False,0.43777268978504313,True,True,True,True,True,True,4.627663373613089e-05,0.9751244709288232,0.437726413151307,0.4376801365175709,LOW
Lyons,LYONS,ALP,ON,ALP+ON,0.5670060999217411,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5695853406147395,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5711456925121969,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,54.0679,False,False,False,0.41395925904558206,True,True,True,True,True,True,2.6327099921741093,2.890634061473951,3.0466692512196913,0.41395925904558206,LOW
Lalor,LALOR,ALP,ON,ALP+ON,0.5881277439434015,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,0.5899636329966552,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,0.5918599233784466,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,58.8128,False,False,False,0.3732179435045113,True,True,True,True,True,True,2.5605659847993678e-05,0.18356329966552343,0.3731923378446633,0.37316673218481533,LOW
Canberra,CANBERRA,ALP,GRN,ALP+GRN,0.6360494698174132,OTH>ON>LNP>IND,ALP,GRN,ALP+GRN,0.6324952840022213,OTH>ON>LNP>IND,ALP,GRN,ALP+GRN,0.6324897303802225,OTH>ON>LNP>IND,ALP,GRN,ALP+GRN,63.8042,False,False,False,-0.3559739437190679,True,True,True,True,True,True,0.1992530182586827,0.5546715997778673,0.5552269619777506,0.3559739437190679,LOW
Dawson,DAWSON,LNP,ON,LNP+ON,0.5172892455096074,GRN>OTH>ALP,LNP,ON,LNP+ON,0.5094283286471201,GRN>OTH>ALP,LNP,ON,LNP+ON,0.5139841381610434,GRN>OTH>ALP,LNP,ON,LNP+ON,51.7289,False,False,False,-0.33051073485640403,True,True,True,True,True,True,2.4550960742164563e-05,0.7860671352879933,0.33048618389566187,0.3304616329349197,LOW
Banks,BANKS,LNP,ALP,ALP+LNP,0.5049754152424992,IND>OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5070704741589257,IND>OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5017399378927809,IND>OTH>GRN>ON,LNP,ALP,ALP+LNP,50.4975,False,False,False,-0.32354773497182965,True,True,True,True,True,True,4.152424991632486e-05,0.20954741589256365,0.3235062107219133,0.323464686471997,LOW
