Electorate,division_key,LegacyWinner,LegacyRunnerUp,LegacyFinalTwo,LegacyWinnerShare,LegacyEliminationOrder,DirectWinner,DirectRunnerUp,DirectFinalTwo,DirectWinnerShare,DirectEliminationOrder,CanonicalWinner,CanonicalRunnerUp,CanonicalFinalTwo,CanonicalWinnerShare,CanonicalEliminationOrder,ActualWinner,ActualRunnerUp,ActualFinalTwo,ActualWinnerShare,WinnerChanged,FinalTwoChanged,EliminationOrderChanged,WinnerShareDeltaPP,LegacyWinnerMatchedActual,DirectWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,DirectFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual,LegacyAbsoluteWinnerErrorPP,DirectAbsoluteWinnerErrorPP,CanonicalAbsoluteWinnerErrorPP,AbsoluteErrorChangePP,ReviewPriority
Berowra,BEROWRA,LNP,ALP,ALP+LNP,0.5455568457888847,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,0.5497537349303045,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,0.5449569431771092,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,54.5557,False,False,False,-0.059990261177556015,True,True,True,True,True,True,1.5421111532187837e-05,0.419673493030448,0.0600056822890882,0.059990261177556015,LOW
Boothby,BOOTHBY,ALP,LNP,ALP+LNP,0.6192758341331752,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,0.6198189913626044,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,0.6198374986207079,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,62.0564,False,False,False,0.056166448753269815,True,True,True,True,True,True,0.12881658668247864,0.07450086373955722,0.07265013792920882,-0.056166448753269815,LOW
Leichhardt,LEICHHARDT,ON,ALP,ALP+ON,0.5462900868085168,GRN>OTH>LNP,ON,ALP,ALP+ON,0.5471175253936194,GRN>OTH>LNP,ON,ALP,ALP+ON,0.5457913681095021,GRN>OTH>LNP,ON,ALP,ALP+ON,53.9568,False,False,False,-0.049871869901463306,True,True,True,True,True,True,0.6722086808516714,0.7549525393619305,0.6223368109502081,-0.049871869901463306,LOW
Gilmore,GILMORE,ALP,LNP,ALP+LNP,0.5282701595268813,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,0.5353661227933135,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,0.5287437452309269,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,52.827,False,False,False,0.04735857040456537,True,True,True,True,True,True,1.5952688126041892e-05,0.7096122793313508,0.04737452309269141,0.04735857040456537,LOW
Maribyrnong,MARIBYRNONG,ALP,ON,ALP+ON,0.6027174534796528,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6031506697649622,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6031708864649199,OTH>LNP>GRN,ALP,ON,ALP+ON,60.2717,False,False,False,0.04534329852671215,True,True,True,True,True,True,4.534796527178031e-05,0.04336697649621746,0.04538864649198393,0.04534329852671215,LOW
Deakin,DEAKIN,ALP,LNP,ALP+LNP,0.5055458184974865,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,0.5050242151579661,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,0.5059269583546283,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,50.5546,False,False,False,0.03811398571418323,True,True,True,True,True,True,1.8150251357429426e-05,0.05217848420339122,0.0380958354628258,0.03807768521146837,LOW
McMahon,MCMAHON,ALP,ON,ALP+ON,0.5676125148468434,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,0.5680223751858945,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,0.5679711999552184,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,56.845,False,False,False,0.03586851083750009,True,True,True,True,True,True,0.08374851531566252,0.042762481410552056,0.04788000447816243,-0.03586851083750009,LOW
Wright,WRIGHT,ON,LNP,LNP+ON,0.5541308189640637,GRN>OTH>ALP,ON,LNP,LNP+ON,0.5545730478204249,GRN>OTH>ALP,ON,LNP,LNP+ON,0.5537930899722447,GRN>OTH>ALP,ON,LNP,LNP+ON,55.0105,False,False,False,-0.03377289918189419,True,True,True,True,True,True,0.4025818964063732,0.44680478204249807,0.368808997224479,-0.03377289918189419,LOW
Menzies,MENZIES,LNP,ALP,ALP+LNP,0.5056683554648412,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,0.5049600417355058,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,0.5053334061716661,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,50.5668,False,False,False,-0.03349492931751241,True,True,True,True,True,True,3.554648412285033e-05,0.07079582644942128,0.03345938283338956,0.03342383634926671,LOW
Herbert,HERBERT,LNP,ALP,ALP+LNP,0.6429420743822185,GRN>OTH>ON,LNP,ALP,ALP+LNP,0.6434786161368827,GRN>OTH>ON,LNP,ALP,ALP+LNP,0.6426126986848967,GRN>OTH>ON,LNP,ALP,ALP+LNP,64.4266,False,False,False,-0.0329375697321832,True,True,True,True,True,True,0.13239256177813852,0.07873838631171637,0.16533013151032172,0.0329375697321832,LOW
Chisholm,CHISHOLM,ALP,LNP,ALP+LNP,0.5504571957214548,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,0.551164531610487,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,0.5501522639732689,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,55.0457,False,False,False,-0.03049317481859104,True,True,True,True,True,True,1.9572145482094072e-05,0.07075316104869778,0.030473602673108946,0.030454030527626852,LOW
Capricornia,CAPRICORNIA,ON,ALP,ALP+ON,0.6107404226023546,GRN>OTH>LNP,ON,ALP,ALP+ON,0.6126041010208217,GRN>OTH>LNP,ON,ALP,ALP+ON,0.6104503684027068,GRN>OTH>LNP,ON,ALP,ALP+ON,60.0421,False,False,False,-0.029005419964778234,True,True,True,True,True,True,1.0319422602354633,1.2183101020821763,1.002936840270685,-0.029005419964778234,LOW
Perth,PERTH,ALP,ON,ALP+ON,0.6324139857413228,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6326859804431857,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6326986734915869,OTH>LNP>GRN,ALP,ON,ALP+ON,63.2414,False,False,False,0.02846877502641343,True,True,True,True,True,True,1.4258677238920825e-06,0.027198044318565984,0.028467349158689537,0.028465923290965645,LOW
Moncrieff,MONCRIEFF,LNP,ON,LNP+ON,0.5702553545704065,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.570229043390747,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5704866931739566,IND>OTH>GRN>ALP,LNP,ALP,ALP+LNP,60.1565,False,False,False,0.023133860355006863,True,True,True,False,False,False,3.130964542959347,3.1335956609253035,3.10783068260434,-0.023133860355006863,LOW
Lindsay,LINDSAY,LNP,ALP,ALP+LNP,0.5322710827036355,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5374749939150191,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5321508100059948,OTH>GRN>ON,LNP,ALP,ALP+LNP,54.3576,False,False,False,-0.012027269764069981,True,True,True,True,True,True,1.1304917296364403,0.6101006084980876,1.1425189994005103,0.012027269764069981,LOW
Hinkler,HINKLER,ON,LNP,LNP+ON,0.5112492157948659,IND>GRN>OTH>ALP,ON,LNP,LNP+ON,0.5114058377187564,IND>GRN>OTH>ALP,ON,LNP,LNP+ON,0.5111296040509057,IND>GRN>OTH>ALP,ON,LNP,LNP+ON,51.1697,False,False,False,-0.01196117439602462,True,True,True,True,True,True,0.04477842051340275,0.029116228124359544,0.05673959490942737,0.01196117439602462,LOW
Melbourne,MELBOURNE,GRN,ALP,ALP+GRN,0.5206501355375479,OTH>IND>LNP>ON,GRN,ALP,ALP+GRN,0.5207407524579373,OTH>IND>LNP>ON,GRN,ALP,ALP+GRN,0.5207407524579373,OTH>IND>LNP>ON,GRN,ALP,ALP+GRN,52.065,False,False,False,0.009061692038936364,True,True,True,True,True,True,1.3553754796280515e-05,0.009075245793732645,0.009075245793732645,0.009061692038936364,LOW
Maranoa,MARANOA,LNP,ON,LNP+ON,0.5569079459690064,GRN>OTH>ALP,LNP,ON,LNP+ON,0.5556099123580368,GRN>OTH>ALP,LNP,ON,LNP+ON,0.5569967496972485,GRN>OTH>ALP,LNP,ON,LNP+ON,55.6908,False,False,False,0.008880372824215943,True,True,True,True,True,True,5.403099367917719e-06,0.12980876419632636,0.008874969724848025,0.008869566625480108,LOW
Wannon,WANNON,LNP,IND,IND+LNP,0.5263569202888894,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5260808175563265,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5262889368352928,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,53.8732,False,False,False,-0.006798345359659841,True,True,True,True,True,True,1.2375079711110626,1.265118244367347,1.2443063164707224,0.006798345359659841,LOW
Indi,INDI,IND,ON,IND+ON,0.5506475915282936,ALP>GRN>OTH>LNP,IND,ON,IND+ON,0.5507025364756084,ALP>GRN>OTH>LNP,IND,ON,IND+ON,0.5507025364756084,ALP>GRN>OTH>LNP,IND,ON,IND+ON,55.0648,False,False,False,0.00549449473148389,True,True,True,True,True,True,4.0847170645896824e-05,0.005453647560837993,0.005453647560837993,0.005412800390192096,LOW
Bruce,BRUCE,ALP,ON,ALP+ON,0.5769449147804486,OTH>GRN>LNP,ALP,ON,ALP+ON,0.573208654758715,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5769018331115487,OTH>GRN>LNP,ALP,ON,ALP+ON,56.7583,False,False,False,-0.00430816688998803,True,True,True,True,True,True,0.9361914780448677,0.5625654758715015,0.9318833111548797,-0.00430816688998803,LOW
Cook,COOK,LNP,ALP,ALP+LNP,0.600113146419018,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5995132612240699,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.6001528183714723,OTH>GRN>ON,LNP,ALP,ALP+LNP,60.0113,False,False,False,0.0039671952454245485,True,True,True,True,True,True,1.4641901802114887e-05,0.059973877593011427,0.003981837147226663,0.0039671952454245485,LOW
Bullwinkel,BULLWINKEL,LNP,ALP,ALP+LNP,0.5424620511592101,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5342388378976854,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5424899949499056,OTH>GRN>ON,LNP,ALP,ALP+LNP,54.2462,False,False,False,0.0027943790695483806,True,True,True,True,True,True,5.115921009046787e-06,0.8223162102314552,0.0027994949905574273,0.0027943790695483806,LOW
Fairfax,FAIRFAX,LNP,ALP,ALP+LNP,0.5689830460538976,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,0.5703683085831783,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,0.56901066557593,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,57.6867,False,False,False,0.002761952203245155,True,True,True,True,True,True,0.7883953946102418,0.6498691416821689,0.7856334424069966,-0.002761952203245155,LOW
La Trobe,LA TROBE,LNP,ALP,ALP+LNP,0.5552964524221192,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5549720487743771,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5553236520989328,OTH>GRN>ON,LNP,ALP,ALP+LNP,55.5296,False,False,False,0.002719967681352742,True,True,True,True,True,True,4.524221192125921e-05,0.032395122562289824,0.002765209893274001,0.002719967681352742,LOW
McPherson,MCPHERSON,LNP,ALP,ALP+LNP,0.5767714019634428,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,0.584889662961124,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,0.5767981769051319,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,57.182,False,False,False,0.0026774941689122755,True,True,True,True,True,True,0.4951401963442792,1.3069662961123996,0.49781769051319147,0.0026774941689122755,LOW
Petrie,PETRIE,LNP,ALP,ALP+LNP,0.523384049947725,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5248890199621301,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5234104622730307,OTH>GRN>ON,LNP,ALP,ALP+LNP,52.0378,False,False,False,0.0026412325305646966,True,True,True,True,True,True,0.300604994772502,0.4511019962130103,0.3032462273030667,0.0026412325305646966,LOW
Solomon,SOLOMON,ALP,LNP,ALP+LNP,0.5080699668457712,OTH>GRN>IND>ON,ALP,LNP,ALP+LNP,0.5087783455617214,OTH>GRN>IND>ON,ALP,LNP,ALP+LNP,0.5080449808848034,OTH>GRN>IND>ON,ALP,LNP,ALP+LNP,51.0367,False,False,False,-0.0024985960967782717,True,True,True,True,True,True,0.22970331542288003,0.15886544382786028,0.2322019115196583,0.0024985960967782717,LOW
Hughes,HUGHES,LNP,ALP,ALP+LNP,0.504408798941236,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5058329626759561,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5044331879783714,OTH>GRN>ON,LNP,ALP,ALP+LNP,50.4409,False,False,False,0.00243890371354194,True,True,True,True,True,True,2.010587639711403e-05,0.14239626759561252,0.002418797837144826,0.002398691960747712,LOW
Bonner,BONNER,ALP,LNP,ALP+LNP,0.5164943501602053,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5103176313447928,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5164719206934866,OTH>GRN>ON,ALP,LNP,ALP+LNP,51.309,False,False,False,-0.002242946671870971,True,True,True,True,True,True,0.34043501602053494,0.2772368655207136,0.33819206934866397,-0.002242946671870971,LOW
Moore,MOORE,LNP,ALP,ALP+LNP,0.5081762092942124,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,0.5081979794438198,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,0.5081979794438198,OTH>GRN>IND>ON,LNP,ALP,ALP+LNP,50.8176,False,False,False,0.002177014960746959,True,True,True,True,True,True,2.092942124054531e-05,0.0021979443819875044,0.0021979443819875044,0.002177014960746959,LOW
Mitchell,MITCHELL,LNP,ALP,ALP+LNP,0.569097897771259,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5691191178174285,OTH>GRN>ON,LNP,ALP,ALP+LNP,0.5691191178174285,OTH>GRN>ON,LNP,ALP,ALP+LNP,56.9098,False,False,False,0.002122004616955664,True,True,True,True,True,True,1.0222874102794322e-05,0.0021117817428528696,0.0021117817428528696,0.0021015588687500752,LOW
Tangney,TANGNEY,ALP,LNP,ALP+LNP,0.5473477395775006,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5405139412613231,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5473277029257051,OTH>GRN>ON,ALP,LNP,ALP+LNP,54.7348,False,False,False,-0.002003665179550751,True,True,True,True,True,True,2.6042249934299377e-05,0.6834058738676818,0.0020297074294850503,0.002003665179550751,LOW
Bennelong,BENNELONG,ALP,LNP,ALP+LNP,0.563855770210438,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5592613090741514,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5638377079423411,OTH>GRN>ON,ALP,LNP,ALP+LNP,56.3856,False,False,False,-0.0018062268096863399,True,True,True,True,True,True,2.297895619340906e-05,0.45946909258485213,0.001829205765879749,0.0018062268096863399,LOW
Whitlam,WHITLAM,ALP,ON,ALP+ON,0.5190691629338962,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,0.5190691629368319,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,0.5190691629368319,OTH>IND>GRN>LNP,ALP,ON,ALP+ON,51.883,False,False,False,2.9357627440163014e-10,True,True,True,True,True,True,0.023916293389614207,0.02391629368319048,0.02391629368319048,2.9357627440163014e-10,LOW
Parkes,PARKES,ON,LNP,LNP+ON,0.5185007907131345,IND>GRN>ALP>OTH,ON,LNP,LNP+ON,0.5185007907135473,IND>GRN>ALP>OTH,ON,LNP,LNP+ON,0.5185007907135473,IND>GRN>ALP>OTH,ON,LNP,LNP+ON,51.8501,False,False,False,4.127809205556332e-11,True,True,True,True,True,True,2.0928686550458764e-05,2.0928645272366708e-05,2.0928645272366708e-05,-4.127809205556332e-11,LOW
Kingsford Smith,KINGSFORD SMITH,ALP,ON,ALP+ON,0.6354270981378157,IND>LNP>GRN,ALP,ON,ALP+ON,0.6354270981381978,IND>LNP>GRN,ALP,ON,ALP+ON,0.6354270981381978,IND>LNP>GRN,ALP,ON,ALP+ON,63.5427,False,False,False,3.8202774277351637e-11,True,True,True,True,True,True,9.813781565171098e-06,9.813819767945375e-06,9.813819767945375e-06,3.8202774277351637e-11,LOW
Grayndler,GRAYNDLER,ALP,GRN,ALP+GRN,0.6082995522704934,OTH>IND>LNP>ON,ALP,GRN,ALP+GRN,0.6082995522703467,OTH>IND>LNP>ON,ALP,GRN,ALP+GRN,0.6082995522703467,OTH>IND>LNP>ON,ALP,GRN,ALP+GRN,60.83,False,False,False,-1.4666046155298318e-11,True,True,True,True,True,True,4.4772950658078514e-05,4.477296532412467e-05,4.477296532412467e-05,1.4666046155298318e-11,LOW
Spence,SPENCE,ALP,ON,ALP+ON,0.5866431626640002,IND>LNP>OTH>GRN,ALP,ON,ALP+ON,0.586643162663963,IND>LNP>OTH>GRN,ALP,ON,ALP+ON,0.586643162663963,IND>LNP>OTH>GRN,ALP,ON,ALP+ON,58.6643,False,False,False,-3.7192471324942744e-12,True,True,True,True,True,True,1.6266400015840787e-05,1.6266396296593655e-05,1.6266396296593655e-05,-3.7192471324942744e-12,LOW
Burt,BURT,ALP,ON,ALP+ON,0.605890004257673,IND>LNP>OTH>GRN,ALP,ON,ALP+ON,0.6058900042576681,IND>LNP>OTH>GRN,ALP,ON,ALP+ON,0.6058900042576681,IND>LNP>OTH>GRN,ALP,ON,ALP+ON,60.589,False,False,False,-4.884981308350689e-13,True,True,True,True,True,True,4.257672991947459e-07,4.2576681069661504e-07,4.2576681069661504e-07,-4.884981308350689e-13,LOW
Wentworth,WENTWORTH,IND,LNP,IND+LNP,0.5988988379481364,ALP>ON>GRN,IND,LNP,IND+LNP,0.5988988379481364,ALP>ON>GRN,IND,LNP,IND+LNP,0.5988988379481364,ALP>ON>GRN,IND,LNP,IND+LNP,59.8899,False,False,False,0.0,True,True,True,True,True,True,1.6205186359474766e-05,1.6205186359474766e-05,1.6205186359474766e-05,0.0,LOW
Sydney,SYDNEY,ALP,GRN,ALP+GRN,0.6356002327399555,OTH>LNP>ON,ALP,GRN,ALP+GRN,0.6356002327399555,OTH>LNP>ON,ALP,GRN,ALP+GRN,0.6356002327399555,OTH>LNP>ON,ALP,GRN,ALP+GRN,63.56,False,False,False,0.0,True,True,True,True,True,True,2.3273995541917003e-05,2.3273995541917003e-05,2.3273995541917003e-05,0.0,LOW
Warringah,WARRINGAH,IND,LNP,IND+LNP,0.6084591076403167,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,0.6050170228338834,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,0.6084591076403167,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,60.8459,False,False,False,0.0,True,True,True,True,True,True,1.0764031677101826e-05,0.34419771661166054,1.0764031677101826e-05,0.0,LOW
Barton,BARTON,ALP,ON,ALP+ON,0.6087426909050562,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6108586398854982,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6087426909050562,OTH>LNP>GRN,ALP,ON,ALP+ON,60.8743,False,False,False,0.0,True,True,True,True,True,True,3.0909494386222036e-05,0.21156398854981218,3.0909494386222036e-05,0.0,LOW
Blaxland,BLAXLAND,ALP,ON,ALP+ON,0.6720590460196805,OTH>GRN>LNP>IND,ALP,ON,ALP+ON,0.668659232128867,OTH>GRN>LNP>IND,ALP,ON,ALP+ON,0.6720590460196805,OTH>GRN>LNP>IND,ALP,ON,ALP+ON,67.2059,False,False,False,0.0,True,True,True,True,True,True,4.60196805107671e-06,0.33997678711329415,4.60196805107671e-06,0.0,LOW
Watson,WATSON,ALP,IND,ALP+IND,0.6361778939394057,LNP>OTH>GRN>ON,ALP,IND,ALP+IND,0.6361778939394057,LNP>OTH>GRN>ON,ALP,IND,ALP+IND,0.6361778939394057,LNP>OTH>GRN>ON,ALP,IND,ALP+IND,63.6178,False,False,False,0.0,True,True,True,True,True,True,1.0606059430706694e-05,1.0606059430706694e-05,1.0606059430706694e-05,0.0,LOW
Mackellar,MACKELLAR,IND,LNP,IND+LNP,0.5534340084822501,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,0.5573643038973619,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,0.5534340084822501,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,55.3434,False,False,False,0.0,True,True,True,True,True,True,8.482250124508539e-07,0.3930303897361931,8.482250124508539e-07,0.0,LOW
Chifley,CHIFLEY,ALP,ON,ALP+ON,0.6426797196654187,LNP>GRN>OTH,ALP,ON,ALP+ON,0.6426797196654187,LNP>GRN>OTH,ALP,ON,ALP+ON,0.6426797196654187,LNP>GRN>OTH,ALP,ON,ALP+ON,64.268,False,False,False,0.0,True,True,True,True,True,True,2.803345813262581e-05,2.803345813262581e-05,2.803345813262581e-05,0.0,LOW
Fowler,FOWLER,IND,ALP,ALP+IND,0.5639234824776246,LNP>OTH>GRN>ON,IND,ALP,ALP+IND,0.5639234824776246,LNP>OTH>GRN>ON,IND,ALP,ALP+IND,0.5639234824776246,LNP>OTH>GRN>ON,IND,ALP,ALP+IND,56.3923,False,False,False,0.0,True,True,True,True,True,True,4.824776246303841e-05,4.824776246303841e-05,4.824776246303841e-05,0.0,LOW
Macarthur,MACARTHUR,ALP,ON,ALP+ON,0.5908062028919843,OTH>LNP>GRN,ALP,ON,ALP+ON,0.5898541620279896,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5908062028919843,OTH>LNP>GRN,ALP,ON,ALP+ON,59.0806,False,False,False,0.0,True,True,True,True,True,True,2.028919843244381e-05,0.0951837972010372,2.028919843244381e-05,0.0,LOW
Dobell,DOBELL,ALP,ON,ALP+ON,0.5300905066771293,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5359880404867102,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5300905066771293,OTH>GRN>LNP,ALP,ON,ALP+ON,53.7111,False,False,False,0.0,True,True,True,True,True,True,0.7020493322870691,0.11229595132897785,0.7020493322870691,0.0,LOW
Paterson,PATERSON,ALP,ON,ALP+ON,0.5283816101686907,OTH>GRN>IND>LNP,ALP,ON,ALP+ON,0.5340121045904516,OTH>GRN>IND>LNP,ALP,ON,ALP+ON,0.5283816101686907,OTH>GRN>IND>LNP,ALP,ON,ALP+ON,53.1524,False,False,False,0.0,True,True,True,True,True,True,0.31423898313093224,0.24881045904515675,0.31423898313093224,0.0,LOW
Macquarie,MACQUARIE,ALP,ON,ALP+ON,0.5313459106549351,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5320898959059254,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5313459106549351,OTH>GRN>LNP,ALP,ON,ALP+ON,54.2699,False,False,False,0.0,True,True,True,True,True,True,1.135308934506496,1.0609104094074673,1.135308934506496,0.0,LOW
Cunningham,CUNNINGHAM,ALP,ON,ALP+ON,0.6159487920202863,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6178849916579836,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6159487920202863,OTH>LNP>GRN,ALP,ON,ALP+ON,61.5949,False,False,False,0.0,True,True,True,True,True,True,2.0797971378438973e-05,0.19359916579835268,2.0797971378438973e-05,0.0,LOW
Hunter,HUNTER,ALP,ON,ALP+ON,0.5089829266515445,LNP>GRN>OTH,ALP,ON,ALP+ON,0.5089829266515445,LNP>GRN>OTH,ALP,ON,ALP+ON,0.5089829266515445,LNP>GRN>OTH,ALP,ON,ALP+ON,50.8983,False,False,False,0.0,True,True,True,True,True,True,7.334845542050772e-06,7.334845542050772e-06,7.334845542050772e-06,0.0,LOW
Farrer,FARRER,LNP,IND,IND+LNP,0.5287718930608596,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5287718930608596,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5287718930608596,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,52.8772,False,False,False,0.0,True,True,True,True,True,True,1.0693914043180541e-05,1.0693914043180541e-05,1.0693914043180541e-05,0.0,LOW
Goldstein,GOLDSTEIN,IND,LNP,IND+LNP,0.5163569281952162,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,0.5170836393871724,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,0.5163569281952162,OTH>ALP>GRN>ON,IND,LNP,IND+LNP,51.6357,False,False,False,0.0,True,True,True,True,True,True,7.180478378554511e-06,0.07266393871724341,7.180478378554511e-06,0.0,LOW
Hotham,HOTHAM,ALP,ON,ALP+ON,0.633212547718207,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6279080165336232,OTH>LNP>GRN,ALP,ON,ALP+ON,0.633212547718207,OTH>LNP>GRN,ALP,ON,ALP+ON,63.3213,False,False,False,0.0,True,True,True,True,True,True,4.5228179301748384e-05,0.5304983466376867,4.5228179301748384e-05,0.0,LOW
Kooyong,KOOYONG,IND,LNP,IND+LNP,0.5367180965697974,OTH>ALP>ON>GRN,IND,LNP,IND+LNP,0.5361992123476641,OTH>ALP>ON>GRN,IND,LNP,IND+LNP,0.5367180965697974,OTH>ALP>ON>GRN,IND,LNP,IND+LNP,53.6718,False,False,False,0.0,True,True,True,True,True,True,9.656979738092986e-06,0.051878765233592805,9.656979738092986e-06,0.0,LOW
Cooper,COOPER,ALP,GRN,ALP+GRN,0.5838182401471897,LNP>OTH>ON,ALP,GRN,ALP+GRN,0.5838182401471897,LNP>OTH>ON,ALP,GRN,ALP+GRN,0.5838182401471897,LNP>OTH>ON,ALP,GRN,ALP+GRN,58.3818,False,False,False,0.0,True,True,True,True,True,True,2.4014718980058802e-05,2.4014718980058802e-05,2.4014718980058802e-05,0.0,LOW
Wills,WILLS,GRN,ALP,ALP+GRN,0.5321784432806355,LNP>OTH>ON,GRN,ALP,ALP+GRN,0.5321784432806355,LNP>OTH>ON,GRN,ALP,ALP+GRN,0.5321784432806355,LNP>OTH>ON,GRN,ALP,ALP+GRN,53.2178,False,False,False,0.0,True,True,True,True,True,True,4.4328063553145114e-05,4.4328063553145114e-05,4.4328063553145114e-05,0.0,LOW
Fraser,FRASER,ALP,GRN,ALP+GRN,0.5330195128198036,LNP>OTH>ON,ALP,GRN,ALP+GRN,0.5330195128198036,LNP>OTH>ON,ALP,GRN,ALP+GRN,0.5330195128198036,LNP>OTH>ON,ALP,GRN,ALP+GRN,53.302,False,False,False,0.0,True,True,True,True,True,True,4.871801964068112e-05,4.871801964068112e-05,4.871801964068112e-05,0.0,LOW
Gellibrand,GELLIBRAND,ALP,ON,ALP+ON,0.620020745983046,OTH>LNP>GRN,ALP,ON,ALP+ON,0.620020745983046,OTH>LNP>GRN,ALP,ON,ALP+ON,0.620020745983046,OTH>LNP>GRN,ALP,ON,ALP+ON,62.0021,False,False,False,0.0,True,True,True,True,True,True,2.540169539155812e-05,2.540169539155812e-05,2.540169539155812e-05,0.0,LOW
Calwell,CALWELL,ALP,ON,ALP+ON,0.6165551627239251,LNP>GRN>OTH>IND,ALP,ON,ALP+ON,0.6165551627239251,LNP>GRN>OTH>IND,ALP,ON,ALP+ON,0.6165551627239251,LNP>GRN>OTH>IND,ALP,ON,ALP+ON,61.6555,False,False,False,0.0,True,True,True,True,True,True,1.6272392500127353e-05,1.6272392500127353e-05,1.6272392500127353e-05,0.0,LOW
