,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,,,,,,,LNP,,,,,,,GRN,,,,,,,ON,,,,,,,,,,IND,,,,,,,OTH,,,,,,
Division,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 M-Lean,2022 Lean,2025 Primary,2025 Aus Primary,2025 M-Lean,2025 Lean,2025 M-PVI,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI
Grayndler,0.5269992677,,0.2011992677,0.5353992677,,0.1897992677,0.1926492677,0.1785032306,,-0.1784967694,0.1431032306,,-0.1750967694,-0.1759467694,0.2093499125,,0.08684991252,0.2511499125,,0.1291499125,0.1185749125,0.04061132055,,0.818776624,-0.008988679449,0.03161132055,,0.4939268836,-0.03238867945,0.5751393187,-0.02653867945,4.255307635e-05,,-0.05285744692,0.02314255308,,-0.04955744692,-0.0496,0.04449371562,,-0.04750628438,0.01559371562,,-0.06090628438,-0.05755628438
Parramatta,0.4013931783,,0.07559317831,0.4776931783,,0.1320931783,0.1179681783,0.3682332545,,0.01123325445,0.3072332545,,-0.01096674555,-0.00541674555,0.09546183764,,-0.02703816236,0.1210618376,,-0.0009381623624,-0.007463162362,0.01859704702,,0.3749404641,-0.03100295298,0.02729704702,,0.4265163597,-0.03670295298,0.4136223858,-0.03527795298,-2.273896491e-06,,-0.0529022739,0.0154,,-0.0573,-0.0468,0.1163169565,,0.02431695648,0.04081695648,,-0.03568304352,-0.02068304352
Reid,0.4161484415,,0.09034844147,0.4857484415,,0.1401484415,0.1276984415,0.3789095597,,0.02190955966,0.3172095597,,-0.000990440341,0.004734559659,0.09369563512,,-0.02880436488,0.1153956351,,-0.006604364879,-0.01215436488,0.01853720324,,0.3737339362,-0.03106279676,0.02323720324,,0.3630813006,-0.04076279676,0.3657444595,-0.03833779676,7.506644141e-06,,-0.05289249336,0.03060750664,,-0.04209249336,-0.0421,0.09270165387,,0.0007016538724,0.02780165387,,-0.04869834613,-0.03634834613
Watson,0.5411323539,,0.2153323539,0.4800323539,,0.1344323539,0.1546573539,0.2642303668,,-0.09276963324,0.1519303668,,-0.1662696332,-0.1478946332,0.07112322476,,-0.05137677524,0.08932322476,,-0.03267677524,-0.03735177524,0.02948143033,,0.594383676,-0.02011856967,0.03228143033,,0.5043973489,-0.03171856967,0.5268939307,-0.02881856967,2.748388343e-05,,-0.05287251612,0.1474,,0.0747,0.0874,0.0940051404,,0.002005140401,0.0863051404,,0.009805140401,0.007855140401
Berowra,0.2382439845,,-0.08755601551,0.2701439845,,-0.07545601551,-0.07848101551,0.4718569985,,0.1148569985,0.4171569985,,0.09895699848,0.1029319985,0.148945812,,0.02644581199,0.119245812,,-0.002754188011,0.004545811989,0.06131196179,,1.236128262,0.01171196179,0.04071196179,,0.6361244029,-0.02328803821,0.7861253677,-0.01453803821,0.007251031427,,-0.04564896857,0.1137,,0.041,0.01933775786,0.07239021182,,-0.01960978818,0.02839021182,,-0.04810978818,-0.04098478818
Mackellar,0.08369165914,,-0.2421083409,0.1206916591,,-0.2249083409,-0.2292083409,0.40507531,,0.04807531002,0.35447531,,0.03627531002,0.03922531002,0.06341590476,,-0.05908409524,0.06131590476,,-0.06068409524,-0.06028409524,0.01325771813,,0.2672927043,-0.03634228187,0.02525771813,,0.3946518458,-0.03874228187,0.3628120604,-0.03814228187,0.3372358508,,0.2843358508,0.3798,,0.3071,0.3014089627,0.09732355718,,0.005323557181,0.03162355718,,-0.04487644282,-0.03232644282
Mitchell,0.2560227598,,-0.06977724024,0.3322227598,,-0.01337724024,-0.02747724024,0.5240191241,,0.1670191241,0.4633191241,,0.1451191241,0.1505941241,0.1198216617,,-0.002678338339,0.1373216617,,0.01532166166,0.01082166166,0.04401904923,,0.8874808312,-0.005580950773,0.04271904923,,0.6674851442,-0.02128095077,0.7224840659,-0.01735595077,0,,-0.0529,0,,-0.0727,,0.05611740527,,-0.03588259473,0.02441740527,,-0.05208259473,-0.04803259473
Chifley,0.5300171002,,0.2042171002,0.5265171002,,0.1809171002,0.1867421002,0.2461825754,,-0.1108174246,0.1969825754,,-0.1212174246,-0.1186174246,0.05676861342,,-0.06573138658,0.09756861342,,-0.02443138658,-0.03475638658,0.04649982329,,0.9374964374,-0.003100176706,0.05969982329,,0.932809739,-0.004300176706,0.9339814136,-0.004000176706,-1.16089203e-05,,-0.05291160892,0.01698839108,,-0.05571160892,-0.0557,0.1205434965,,0.02854349654,0.1022434965,,0.02574349654,0.02644349654
Fowler,0.3660160021,,0.04021600207,0.3756160021,,0.03001600207,0.03256600207,0.1759054596,,-0.1810945404,0.1227054596,,-0.1954945404,-0.1918945404,0.04875800856,,-0.07374199144,0.06765800856,,-0.05434199144,-0.05919199144,0.04366406852,,0.8803239621,-0.005935931481,0.04126406852,,0.6447510706,-0.02273593148,0.7036442935,-0.01853593148,0.2829177688,,0.2300177688,0.3347177688,,0.2620177688,0.2540177688,0.08273869246,,-0.009261307538,0.05803869246,,-0.01846130754,-0.01616130754
Greenway,0.4478311858,,0.1220311858,0.5041311858,,0.1585311858,0.1494061858,0.3348311566,,-0.02216884337,0.2747311566,,-0.04346884337,-0.03814384337,0.07642592575,,-0.04607407425,0.1072259257,,-0.01477407425,-0.02259907425,0.04063986667,,0.8193521507,-0.008960133327,0.04573986667,,0.7146854168,-0.01826013333,0.7408521002,-0.01593513333,-1.685562746e-05,,-0.05291685563,0.02638314437,,-0.04631685563,-0.0463,0.1002887207,,0.008288720744,0.04178872074,,-0.03471127926,-0.02396127926
