(VIC)",FULL DISTRIBUTION,,,,,,,,MARIBYRNONG (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"MARIBYRNONG
(VIC)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIC,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02770416905,0.02770416905,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02268190799,0.02268190799,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.01644236625,0.01644236625,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,0.07419831882,,,0.3834448373,-0.4576431561,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.002731782291,0.002731782291,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.07356054941,-0.3570666529,,0.4306272023,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.07858068124,-0.3538367399,,0.4324174212,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.01822314215,-0.4292073902,,0.4474305324,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.0695400483,-0.3597154201,,0.4292554684,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02546809406,-0.3565968146,,0.3820649087,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.04257039988,-0.3971612448,,0.4397316447,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.04400835052,-0.3678639056,,0.4118722561,,
,,62.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,63.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,64.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL GAIN,,,,,,,,,65.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,66.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,67.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,68.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,69.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,70.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,71.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,72.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,73.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIAL,LA TROBE (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"LA TROBE
(VIC)",FULL DISTRIBUTION,,,,,,,,BALLARAT (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"BALLARAT
(VIC)",FULL DISTRIBUTION,,,,,,,,BENDIGO (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"BENDIGO
(VIC)",FULL DISTRIBUTION,,,,,,,,CORANGAMITE (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"CORANGAMITE
(VIC)",FULL DISTRIBUTION,,,,,,,,CORIO (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"CORIO
(VIC)",FULL DISTRIBUTION,,,,,,,,HAWKE (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"HAWKE
(VIC)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.2458665753,0.2935373203,0.1420610488,0.2384848742,0,0.0822780294,5,1.002227848,,True,True,True,True,False,True,IND,,ROUND 1,0.2453200396,0.2928848174,0.1417452619,0.2379547473,0,0.08209513392,,,Primary,0.3688529654,0.1692023053,0.1618576956,0.2305806253,0.0254,0.04639308399,5,1.002286676,,True,True,True,True,False,True,IND,,ROUND 1,0.3680114426,0.1688162773,0.161488424,0.2300545651,0.02534205095,0.04628724008,,,Primary,0.2962593465,0.2569654065,0.1372183772,0.2099355424,0,0.08473836841,5,0.9851170411,,True,True,True,True,False,True,IND,,ROUND 1,0.3007351758,0.2608475905,0.1392914461,0.2131072082,0,0.08601857939,,,Primary,0.3152147808,0.2280151605,0.1638070227,0.1680684554,0.0412,0.06378919439,5,0.9800946138,,True,True,True,True,False,True,IND,,ROUND 1,0.3216166851,0.2326460704,0.1671338873,0.1714818682,0.0420367579,0.06508473109,,,Primary,0.365397761,0.1362365949,0.1738316297,0.251953354,0.03006264935,0.04635369646,5,1.003835685,,True,True,True,True,False,True,IND,,ROUND 1,0.3640015655,0.1357160309,0.173167414,0.2509906329,0.02994777909,0.04617657763,,,Primary,0.3246057674,0.1796722675,0.1137378936,0.2586228163,0,0.1294736016,5,1.006112346,,True,True,True,True,False,True,IND,,ROUND 1,0.3226337183,0.1785807203,0.1130469117,0.2570516277,0,0.128687022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.07594653575,-0.09842750284,0.01255921311,0.161172721,0,0.0006421045234,,,Eliminated,0.0254,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0554915228,-0.1170360281,0.01815572836,0.1532514276,-0.00272376118,0.003844156096,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.03477417075,-0.141367816,0.02599806886,0.1637529777,-0.01051427071,-0.003094789021,,,Eliminated,0.0412,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05152309568,-0.1085190901,0.02365186457,0.1393438178,-0.001849033295,-0.001104463294,,,Eliminated,0.03006264935,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06439619552,-0.113070564,0.01448578426,0.1516229644,0.0008351297384,0.01052288117,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06862204904,-0.1236915472,0.01500901812,0.1603911578,0,0.01691342035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1829378192,0.12436167017122259,0.16671673175127666,0.18654250525683388,0.0,0.3394412736557525,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.02534205095,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.2283524525,0.21159480485232066,0.4550527426160338,0.05723980099502486,0.0,0.04776019900497512,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.0420367579,,,,,Weights,0.1844181614,0.14348094170403589,0.25505493273542607,0.31204596412556057,0.0,0.10500000000000001,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.02994777909,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.004646620607,0.003158786422,0.004234604986,0.004738179634,,0.008621808351,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.009408121044,0.00871770596,0.018748173,0.002358279801,,0.001967720199,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.005544098521,0.004313417239,0.007667627008,0.009380928401,,0.003156578182,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.2458665753,0.29353732025323787,0.14206104875600767,0.23848487424864037,0.0,0.08227802939643689,6,1.002227848,,True,True,True,True,False,True,OTH,,ROUND 2,0.2453200396,0.2928848174,0.1417452619,0.2379547473,,0.08209513392,,,Round 2,0.373499586,0.17236109176001888,0.1660923006053843,0.23531880494633525,0.0,0.055014892337846746,6,1.002286676,,True,True,True,True,False,True,OTH,,ROUND 2,0.3726474621,0.1719678571,0.1657133679,0.2347819348,,0.05488937813,,,Round 2,0.2962593465,0.2569654065486742,0.13721837722877217,0.20993554240527182,0.0,0.08473836841216692,6,0.9851170411,,True,True,True,True,False,True,OTH,,ROUND 2,0.3007351758,0.2608475905,0.1392914461,0.2131072082,,0.08601857939,,,Round 2,0.3246229019,0.23673286650596448,0.18255519568372525,0.17042673520021542,0.0,0.06575691458470004,6,0.9800946138,,True,True,True,True,False,True,OTH,,ROUND 2,0.3312158819,0.24154083,0.1862628292,0.1738880439,,0.06709241501,,,Round 2,0.3709418595,0.14055001217488822,0.18149925673578235,0.2613342824268658,0.0,0.049510274644597056,6,1.003835685,,True,True,True,True,False,True,OTH,,ROUND 2,0.3695244798,0.1400129665,0.1808057428,0.2603357165,,0.04932109444,,,Round 2,0.3246057674,0.17967226754770416,0.11373789360124066,0.2586228162549818,0.0,0.129473601625938,3,1.006112346,,True,True,True,True,False,True,GRN,,ROUND 2,0.3226337183,0.1785807203,0.1130469117,0.2570516277,,0.128687022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.0822780294,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05501489234,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.08473836841,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.06575691458,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.04951027464,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1137378936,,GRN,ALP+LNP+ON+OTH,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1944312796,0.2546208530805687,0.11279620853080569,0.4381516587677725,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.08209513392,,,,,Weights,0.1962490333,0.24787316318638827,0.14559164733178656,0.41028615622583137,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.05488937813,,,,,Weights,0.1337582398,0.5603527306063649,0.19705766796175844,0.10883136159252632,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.08601857939,,,,,Weights,0.205052838,0.21685347375597236,0.19846664958765853,0.37962703864652625,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.06709241501,,,,,Weights,0.1697304797,0.07104640075352145,0.5778748771625637,0.1813482424065358,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.04932109444,,,,,Weights,0.7011362878,0.1562988935580529,0.0,0.056090661787717565,0.0,0.08647415681648572,,Calibrate,,,,,,,,,,ELIMINATED,GREENS,,,0.1130469117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01599742254,0.02094970203,0.009280649761,0.03605025506,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01079661944,0.01363671539,0.008009708803,0.02257184871,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01133445501,0.04748337613,0.01669834527,0.009222192013,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01348364195,0.01425961535,0.01305055452,0.02496310275,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.008403402664,0.003517526814,0.02861074388,0.008978601288,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.07974576451,0.01777710693,,0.006379633722,,0.009835388447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.2618639978,0.3144870222879467,0.1513416985173119,0.2745351293088327,0.0,0.0,3,1.002227848,,True,True,True,True,False,False,GRN,,ROUND 3,0.2612819015,0.3137879504,0.1510052817,0.2739248664,,,,,Round 3,0.3842962054,0.18599780714615954,0.1741020094086323,0.2578906536588083,0.0,0.0,3,1.002286676,,True,True,True,True,False,False,GRN,,ROUND 3,0.3834194495,0.1855734608,0.1737048029,0.2573022868,,,,,Round 3,0.3075938015,0.3044487826755601,0.1539167224949581,0.21915773441869707,0.0,0.0,3,0.9851170411,,True,True,True,True,False,False,GRN,,ROUND 3,0.3122408696,0.3090483364,0.1562420667,0.2224687273,,,,,Round 3,0.3381065438,0.25099248185713147,0.19560575020857252,0.19538983795453768,0.0,0.0,4,0.9800946138,,True,True,True,True,False,False,ON,,ROUND 3,0.344973372,0.2560900533,0.199578436,0.1993581387,,,,,Round 3,0.3793452622,0.14406753898870517,0.21011000061431367,0.27031288371472834,0.0,0.0,2,1.003835685,,True,True,True,True,False,False,LNP,,ROUND 3,0.3778957728,0.1435170527,0.2093071642,0.2692800103,,,,,Round 3,0.4043515319,0.19744937447320163,0.0,0.2650024499774164,0.0,0.13930899007318845,6,1.006112346,,True,True,False,True,False,True,OTH,,ROUND 3,0.4018950104,0.1962498275,,0.2633925038,,0.1384626583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1513416985,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1741020094,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1539167225,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.195389838,,ON,ALP+LNP+GRN,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.144067539,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1393089901,,OTH,ALP+LNP+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.6884945463,0.20650545367373846,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1510052817,,,,,Weights,0.7555117389,0.1394882610867514,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1737048029,,,,,Weights,0.7381681143,0.15683188568226397,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1562420667,,,,,Weights,0.1760947595,0.6668297261606392,0.1570755143005252,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1993581387,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1435170527,,,,,Weights,0.2363383383,0.23897158741993169,0.0,0.5246900742864689,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.1384626583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1041979341,0.03125288611,,0.01589087834,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1315361119,0.02428518654,,0.01828071099,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1136164168,0.02413904983,,0.01616125586,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.03440712653,0.1302917521,0.03069095929,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.020581077,,0.0102905385,0.1131959235,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.03292405522,0.0332908905,,0.07309404435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.3660619319,0.3457399084000184,0.0,0.29042600765315046,0.0,0.0,4,1.002227848,,True,True,False,True,False,False,ON,,3CP,0.3652482144,0.3449713646,,0.2897804209,,,,,Round 4 (3CP),0.5158323173,0.2102829936902789,0.0,0.2761713646467147,0.0,0.0,2,1.002286676,,True,True,False,True,False,False,LNP,,3CP,0.5146554672,0.2098032417,,0.2755412911,,,,,Round 4 (3CP),0.4212102184,0.3285878325024781,0.0,0.23531899028066766,0.0,0.0,4,0.9851170411,,True,True,False,True,False,False,ON,,3CP,0.4275737814,0.3335520743,,0.2388741443,,,,,Round 4 (3CP),0.3725136703,0.3812842339949275,0.2262967094943778,0.0,0.0,0.0,3,0.9800946138,,True,True,True,False,False,False,GRN,,3CP,0.3800792955,0.3890279863,0.2308927182,,,,,,Round 4 (3CP),0.3999263392,0.0,0.2204005391135069,0.38350880720585384,0.0,0.0,3,1.003835685,,True,False,True,True,False,False,GRN,,3CP,0.3983982089,,0.2195583822,0.3820434088,,,,,Round 4 (3CP),0.4372755871,0.230740264972859,0.0,0.3380964943276906,0.0,0.0,2,1.006112346,,True,True,False,True,False,False,LNP,,3CP,0.4346190449,0.2293384688,,0.3360424863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2904260077,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2102829937,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2353189903,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2262967095,,GRN,ALP+LNP,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2204005391,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.230740265,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.2741915167,0.725808483267361,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2897804209,,,,,Weights,0.301,0.0,0.0,0.699,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2098032417,,,,,Weights,0.2749465617,0.7250534382740331,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2388741443,,,,,Weights,0.8811524017,0.11884759833959281,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.2308927182,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.2195583822,,,,,Weights,0.301,0.0,0.0,0.699,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2293384688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07963234754,0.2107936601,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05972037021,,,0.1505626235,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06470014729,0.170618843,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1994018891,0.02689482044,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1972584825,,,0.02314205661,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06553023525,,,0.1652100297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
