,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025.0,,2PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,,2PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,,2PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,,2PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Labor,,,Swing,Weighted swing,Area swing,Country Liberal,,,Lean,PVI,Elasticity,,Labor,,,,,,Country Liberal,,,,,,Greens,,,,,,One Nation,,,,,,Independent,,,,,,Others,,,,,,,,Labor,,,Swing,Weighted swing,Area swing,Country Liberal,,,Post-redist ALP 2PP,Post-redist COA 2PP,Lean,PVI,Elasticity,Labor,,,,Country Liberal,,,,Greens,,,,,Labor,,,,,,Country Liberal,,,,,,Greens,,,,,,One Nation,,,,,,Independent,,,,,,Others,,,,,,,,Labor,,,Swing,Weighted swing,Area swing,Country Liberal,,,Lean,PVI,Elasticity,,Labor,,,,,,Country Liberal,,,,,,Greens,,,,,,One Nation,,,,,,Independent,,,,,,Others,,,,,,,,Labor,,,Swing,Weighted swing,Area swing,Country Liberal,,,Lean,PVI,Elasticity,,Labor,,,,,,Country Liberal,,,,,,Greens,,,,,,One Nation,,,,,,Independent,,,,,,Others,,,,,
Classification,Division,Votes,Area votes,Votes,%,Area %,,,,Votes,%,Area %,,,,,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,Area votes,Votes,%,Area %,,,,Votes,%,Area %,,,,,,Votes,%,Swing,Area %,Votes,%,Swing,Area %,Votes,%,Swing,Area %,,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,Area votes,Votes,%,Area %,,,,Votes,%,Area %,,,,,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,Area votes,Votes,%,Area %,,,,Votes,%,Area %,,,,,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing
NORTHERN TERRITORY,,105762,,57377,0.5425105425,,-0.01213524139,,,48385,0.4574894575,,,,,,40123,0.3793706624,-0.002057035608,,,,35785,0.3383540402,0.04343119835,,,,10813,0.1022389894,-0.02795779959,,,,8165,0.07720164142,,,,,8194,0.07747584198,0.06472089976,,,,2682,0.02535882453,-0.1143949415,,,,100937,,56065,0.5554454759,,0.01398233552,,,44872,0.4445545241,,,,,,,42941,0.4254237792,,,39714,0.3934533422,,,18282,0.1811228786,,,,38522,0.3816439958,-0.04034777931,,,,29664,0.2938862855,-0.08145540188,,,,13182,0.1305963126,0.02851994511,,,,5418,0.05367704608,0.05368154691,,,,1357,0.01344402944,0.01343447101,,,,12794,0.1267523307,0.02617644471,,,,103518,,56103,0.5419637165,,-0.02859636005,,,47415,0.4580362835,,0.057,,,,43755,0.4226801136,0.01662868327,,,,38837,0.3751714678,0.04216986819,,,,10512,0.1015475569,0.03055590855,,,,0,,,,,,4807,0.04643636855,0.04658584936,,,,5607,0.05416449313,0.02903821789,,,,97460,,55614,0.5706341063,,0.0746158937,,,41846,0.4293658937,,,,,,39364,0.4038990355,0.028198091,,,,32409,0.3325364252,-0.08626342164,,,,8858,0.09088856967,0.01217845729,,,,0,,,,,,5377,0.05517135235,0.05309678145,,,,11452,0.1175046173,0,,,
Inner metro,Solomon,60130,,30853.0,0.5131049393,,-0.0709,-4263.217,,29277.0,0.4868950607,,,,,,19751.0,0.3284716448,-0.0597,-3589.761,,,21642.0,0.359920173,0.1028,6181.364,,,6167.0,0.1025611176,-0.0428,-2573.564,,,4033.0,0.06707134542,0.0128,769.664,,,8194.0,0.1362714119,0.1363,8195.719,,,343,0.005704307334,-0.1493,-8977.409,,,55125,,32726.0,0.5936689342,,0.063,3472.875,,22399.0,0.4063310658,,0.584,0.416,,,,24281.0,0.4404716553,,,19710.0,0.3575510204,,,11134.0,0.2019773243,,,,21775.0,0.3950113379,-0.0054,-297.675,,,13771.0,0.249814059,-0.1307,-7204.8375,,,8164.0,0.1480997732,0.0297,1637.2125,,,2948.0,0.05347845805,0.0535,2949.1875,,,,0,,0,,,8467,0.1535963719,0.053,2921.625,,,55084,,29240.0,0.5308256481,,-0.03,-1652.52,,25844.0,0.4691743519,,0.046,,,,22057.0,0.4004248058,-0.009,-541.17,,,20962.0,0.3805460751,0.036,2164.68,,,6521.0,0.1183828335,0.0158,950.054,,,,,,0,,,2684.0,0.04872558275,0.0487,2928.331,,,2860,0.05192070293,0.034,2044.42,,,54585,,30566.0,0.5599706879,,0.074,4039.29,,24019.0,0.4400293121,,,,,,22308.0,0.4086837043,0.0544,2969.424,,,18804.0,0.3444902446,-0.1024,-6157.312,,,5553.0,0.1017312448,0.0218,1310.834,,,,,,0,,,1644.0,0.03011816433,0.0301,1809.913,,,6276,0.1149766419,,0,,
Rural,Lingiari,45632,,26524.0,0.5812587658,,0.0653,2979.7696,,19108.0,0.4187412342,,,,,,20372.0,0.446441094,0.0739,3372.2048,,,14143.0,0.3099360098,-0.0348,-1587.9936,,,4646.0,0.1018145161,-0.0084,-383.3088,,,4132.0,0.09055049088,0.0377,1720.3264,,,,0,-0.0296,-1350.7072,,,2339,0.0512578892,-0.0684,-3121.2288,,,45812,,23339.0,0.5094516721,,-0.045,-2061.54,,22473.0,0.4905483279,,0.516,0.484,,,,18660.0,0.4073168602,,,20004.0,0.4366541518,,,7148.0,0.156028988,,,,16747.0,0.3655592421,-0.0824,-3774.9088,,,15893.0,0.3469178381,-0.0222,-1017.0264,,,5018.0,0.1095346198,0.0271,1241.5052,,,2470.0,0.05391600454,0.0539,2469.2668,,,1357.0,0.02962105998,0.0296,1356.0352,,,4327,0.09445123548,-0.0061,-279.4532,,,48434,,26863.0,0.5546310443,,-0.027,-1307.718,,21571.0,0.4453689557,,0.07,,,,21698.0,0.4479910806,0.0504,2299.8528,,,17875.0,0.3690589255,0.0503,2295.2896,,,3991.0,0.08240079283,0.05,2281.6,,,,,,0,,,2123.0,0.0438328447,0.0438,1998.6816,,,2747,0.05671635628,0.0225,1026.72,,,42875,,25048.0,0.5842099125,,0.0754,3232.775,,17827.0,0.4157900875,,,,,,17056.0,0.3978075802,0.0003,12.8625,,,13605.0,0.3173177843,-0.065,-2966.08,,,3305.0,0.0770845481,-0.0005,-22.816,,,,,,0,,,3733.0,0.08706705539,0.0834,3805.7088,,,5176,0.1207230321,,0,,
