,,,,,,,,,,,,,,,,,,,,,,,,,,2028 FEDERAL ELECTION PROJECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEATS PROJECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST PREFERENCE,,,,,,,TWO-PARTY-PREFERRED,,,,,,,THREE-PARTY-PREFERRED,,,,,,,TWO-PARTY-PREFERRED,,,,,SEATS,,,,,,,,,,,,150,OUT OF,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,SEATS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,NATIONAL,,,GRN,ALP,OTH,IND,LNP,ON,,ALP,,SWING,,LNP,,,ALP,,ON,,LNP,,,ALP,,ON,,,ALP,,GRN,,IND,,OTH,,ON,,LNP,,NATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,,GRN,IND,OTH,ON,LNP
,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,ALP,GRN,SWING,,RESULT,,,,STATE PRIMARIES,,,GRN,ALP,OTH,IND,LNP,ON,,ALP,,SWING,,LNP,,,ALP,,ON,,LNP,,,ALP,,ON,,,ALP,,GRN,,IND,,OTH,,ON,,LNP,,STATE 2PP,,,,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,LNP,GRN,SWING,,RESULT,,,,,,,,,,,,
,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,NSW,,,0.126125,0.28685,0.058125,0.0935,0.2146,0.2216,,0.5085438631,,-0.04415613688,,0.4914561369,,,0.460274446,,0.255889148,,0.283836406,,,0.5408839853,,0.4591160147,,,25,-3,1,+1,5,-1,0,-,2,+2,13,+1,NSW,,,,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,,,,,,
,Griffith (QLD),,0.279846983,-0.06523130657,0.1690529534,-0.09671025511,0.3535616236,0.0370246764,0.1645066521,0.1399301481,0,0,0.03303178796,-0.01501326286,0.4851013441,0.5148986559,-0.1207039851,,GREENS GAIN,,,,,,,0.015125,-0.06515,-0.006575,-0.0038,-0.1004,0.1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan (QLD),,0.2156602123,-0.06673332353,0.2531000128,-0.09297874076,0.3237100619,0.03388384548,0.1545661359,0.1320747864,0,0,0.05296357721,-0.006246567576,0.4555442159,0.5444557841,0.01177711943,,GREENS RETAIN,,,,,,,,,,,,
,Melbourne (VIC),,0.2482680584,-0.06514011825,0.08764348306,-0.1100722217,0.4429138143,0.04827256976,0.143705398,0.1186869266,0.04870487064,-0.0007471447976,0.02876437556,0.008999988398,0.4793498645,0.5206501355,-0.05080981044,,GREENS GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brisbane (QLD),,0.2580797371,-0.06344267922,0.2473523745,-0.09533578296,0.2908531109,0.03203329964,0.1597752494,0.1345100004,0,0,0.04393952798,-0.007764837902,0.4508515527,0.5491484473,-0.5895977245,,GREENS GAIN,,,,,,,,,,,,
,Wills (VIC),,0.3051282385,-0.05075301597,0.02468665983,-0.1039421557,0.3748755914,0.02113496237,0.1773328169,0.1423358684,0,0,0.1179766933,-0.008775659101,0.4678215567,0.5321784433,-0.04646597936,,GREENS GAIN,,,,VIC,,,0.154125,0.2766,0.066275,0.07485,0.21135,0.2176,,0.5453825343,,-0.01761746571,,0.4546174657,,,0.477856256,,0.2451105048,,0.2770332392,,,0.556533696,,0.443466304,,,22,-5,2,+2,4,+2,0,-,1,+1,9,-,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fraser (VIC),,0.3696488377,-0.05639822789,0.0759874046,-0.09266902016,0.2585036126,0.005672510993,0.1971831603,0.1494010505,0,0,0.0986769847,-0.006006313433,0.5330195128,0.4669804872,-0.05924601987,,LABOR RETAIN,,,,,,,0.018125,-0.0634,-0.002625,-0.00025,-0.11065,0.1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cooper (VIC),,0.3602591658,-0.0593958079,0.04166089306,-0.1096599108,0.2814602259,0.02935493343,0.2030791389,0.150246986,0,0,0.1135405763,-0.01054620077,0.5838182401,0.4161817599,-0.01334124161,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP v IND,,PRIMARY,,,,,,,,,,,,2CP,,LNP v IND,,,,,,,,,,,,,,
,Newcastle (NSW),,0.3948642108,-0.05822355454,0.09209283975,-0.09853025522,0.2379348245,0.01569515554,0.2113595833,0.1578894264,0,-0.008202020948,0.06374854171,-0.008628751258,0.585974191,0.414025809,-0.07207173293,,LABOR RETAIN,,,,QLD,,,0.138625,0.24035,0.096975,0.03515,0.24785,0.24185,,0.4822058294,,-0.01199417061,,0.5177941706,,,0.400624827,,0.2881990195,,0.3111761535,,,0.4889988546,,0.5110011454,,,6,-6,3,+2,0,-,1,-,8,+8,12,-4,QLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grayndler (NSW),,0.4824787883,-0.05292047937,0.03986540688,-0.1032378237,0.2639524041,0.01280249154,0.1801766459,0.1485653254,0.02082425163,-0.002318301449,0.01270250319,-0.002891212422,0.6082995523,0.3917004477,-0.06034526452,,LABOR RETAIN,,,,,,,0.020625,-0.06965,-0.011125,-0.00175,-0.10115,0.16385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,LNP,IND,SWING,,RESULT,,,,,,,,,,,,
,Sydney (NSW),,0.4956234404,-0.05592482577,0.06947668108,-0.1063757744,0.2440125123,0.02804779472,0.1712912194,0.1368107114,0,0,0.01959614681,-0.002557905904,0.6356002327,0.3643997673,-0.07386092774,,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,,,,,,
