SOLOMON (NT),RAW,,,,,,,,SOLOMON (NT),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
OTH,0.3505771697,0.1274048739,0.3377511757,0.1842667807,0,0.0,,,OTH,0.3505771697,0.1274048739,0.3377511757,0.1842667807,0,0,,OTH,0.3505771697,0.1274048739,0.3377511757,0.1842667807,0,0,1,,0.3656189912835789,0.42342202909286564,0.1618724333894102,0.0490865462341453,0.0,0.0,0.716196161014233,0.5508269029705912,0.4996236091055282,0.23335332690964763,0.0,0.0,0.3580980805071165,0.2754134514852956,0.2498118045527641,0.11667666345482382,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN TERRITORY,RAW,,,,,,,,NORTHERN TERRITORY,HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,163.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.5386268238,0.1596896849,0.0779607987,0.2237226926,0,1,,0.5673692536,0.15686917294397368,0.08372016413248509,0.03666358896183068,0.15537782036189718,0.0,0.5673692536,0.6954959967610204,0.24340984905583396,0.11462438765761732,0.3791005129257149,0.0,0,0.34774799838051024,0.12170492452791701,0.05731219382880867,0.1895502564628575,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.5971688377,0,0.1394272244,0.06806862811,0.1953353097,0,1,,0.2145397969042169,0.45861575160517115,0.1028887463776321,0.04655575954509675,0.17739994556788297,0.0,0.8117086346269228,0.45861575160517115,0.24231597080703596,0.11462438765761732,0.3727352553032526,0.0,0.4058543173134615,0.0,0.121157985403518,0.05731219382880867,0.18636762765162632,0.0
GRN,0.5705956508,0.1927986133,0.0,0,0.2366057359,0,,,GRN,0.5705956508,0.1927986133,0,0,0.2366057359,0,,GRN,0.5705956508,0.1927986133,0,0,0.2366057359,0,1,,0.26974356114386167,0.3893336216477009,0.1179996152216864,0.05760762977830323,0.16531557220844764,0.0,0.8403392119475175,0.5821322349474173,0.1179996152216864,0.05760762977830323,0.4019213081050754,0.0,0.42016960597375885,0.2910661174737087,0.0,0.02880381488915162,0.20096065405253777,0.0
ON,0.1078498294,0.6227531286,0.1105802048,0.0,0.1588168373,0,,,ON,0.1078498294,0.6227531286,0.1105802048,0,0.1588168373,0,,ON,0.1078498294,0.6227531286,0.1105802048,0,0.1588168373,0,1,,0.5387643553583559,0.13444834900809804,0.10405124548735965,0.05079800994898103,0.17193804019720532,0.0,0.6466141847098917,0.7572014775632743,0.21463145026551667,0.05079800994898103,0.3307548775123361,0.0,0.3233070923549459,0.37860073878163725,0.10731572513275836,0.0,0.1653774387561681,0.0
IND,0.6534509265,0.3465490735,0,0,0.0,0,,,IND,0.6534509265,0.3465490735,0,0,0,0,,IND,0.6534509265,0.3465490735,0,0,0,0,1,,0.206948307465519,0.35196619703426396,0.15266774801133604,0.07453267614476078,0.2138850713441201,0.0,0.860399233915879,0.698515270583904,0.15266774801133604,0.07453267614476078,0.2138850713441201,0.0,0.4301996169579396,0.34925763529195203,0.07633387400566803,0.037266338072380396,0.0,0.0
OTH,0.2927407407,0.1173333333,0.2687407407,0.1851851852,0.136,0.0,,,OTH,0.2927407407,0.1173333333,0.2687407407,0.1851851852,0.136,0,,OTH,0.2927407407,0.1173333333,0.2687407407,0.1851851852,0.136,0,1,,0.33225162477112075,0.3719461849778829,0.08358495335249207,0.030809020990813434,0.18140821590769082,0.0,0.6249923655118614,0.48927951831121624,0.3523256940932328,0.2159942061759986,0.31740821590769086,0.0,0.3124961827559308,0.24463975915560818,0.17616284704661642,0.10799710308799933,0.15870410795384546,0.0
