,,150,150.0,1,,,ALP,,,,,,,,,,,,,,LNP,,,,,,,,,,,,,,GRN,,,,,,,,,,,,,,ON,,,,,,,,,,,,,,IND,,,,,,,,,,,,,,OTH,,,,,,,,,,,,,,STATUS
,,,,,,,,,,3CP,,,,,,,,,,,,,,3CP,,,,,,,,,,,,,,Exclusion,,,,,,,,,,,,,,Exclusion,,,,,,,,,,,,,,Exclusion,,,,,,,,,,,,,,Exclusion,,,,,,,,,,,
Notes,Division,3CP,,,2CP,,Votes at elim,%,Position,Votes LNP,% to LNP,Votes to GRN,% to GRN,Votes to ON,% to ON,Votes to IND,% to IND,Votes to OTH,% to OTH,TOTAL,Votes at elim,%,Position,Votes to ALP,% to ALP,Votes to GRN,% to GRN,Votes to ON,% to ON,Votes to IND,% to IND,Votes to OTH,% to OTH,TOTAL,Votes at elim,%,Position,Votes to ALP,% to ALP,Votes LNP,% to LNP,Votes to ON,% to ON,Votes to IND,% to IND,Votes to OTH,% to OTH,TOTAL,Votes at elim,%,Position,Votes to ALP,% to ALP,Votes LNP,% to LNP,Votes to GRN,% to GRN,Votes to IND,% to IND,Votes to OTH,% to OTH,TOTAL,Votes at elim,Candidates,Position,Votes to ALP,% to ALP,Votes LNP,% to LNP,Votes to GRN,% to GRN,Votes to ON,% to ON,Votes to OTH,% to OTH,TOTAL,Votes at elim,Candidates,Position,Votes to ALP,% to ALP,Votes LNP,% to LNP,Votes to GRN,% to GRN,Votes to ON,% to ON,Votes to IND,% to IND,TOTAL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rethrow prefs,Cook,LIB,ALP,GRN,LIB,ALP,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,12561.0,,Third,10259.0,0.8167343364,2302.0,0.1832656636,,0,,0,,0,1,7484.0,,Fourth,946.0,0.1264029931,5256.0,0.7022982362,1282.0,0.1712987707,,0,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,6524.0,,Fifth,851.0,0.130441447,2155.0,0.3303188228,704.0,0.1079092581,2814.0,0.4313304721,,0,1,Y
Rethrow prefs,Barton,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,18170.0,,Third,15134.0,0.8329113924,3036.0,0.1670886076,,0,,0,,0,1,9524.0,,Fourth,2752.0,0.2889542209,5436.0,0.5707685846,1336.0,0.1402771945,,0,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,7233.0,,Fifth,987.0,0.1364579013,1346.0,0.186091525,949.0,0.131204203,3951.0,0.5462463708,,0,1,Y
Rethrow prefs,Blaxland,ALP,LIB,IND,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,7547.0,,Fourth,3638.0,0.482045846,588.0,0.07791175301,,0,3321.0,0.440042401,,0,1,4690.0,,Fifth,686.0,0.1462686567,2727.0,0.5814498934,389.0,0.0829424307,888.0,0.1893390192,,0,1,21041.0,,Third,17692.0,0.8408345611,3349.0,0.1591654389,,0,,0,,0,1,3620.0,,Sixth,457.0,0.1262430939,725.0,0.2002762431,304.0,0.08397790055,1604.0,0.4430939227,530.0,0.1464088398,1,Y
Rethrow prefs,Grayndler,ALP,GRN,LIB,ALP,GRN,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,20213.0,,Third,13176.0,0.6518577153,7037.0,0.3481422847,,0,,0,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,4788.0,,Fourth,603.0,0.1259398496,3531.0,0.7374686717,654.0,0.1365914787,,0,,0,1,2806.0,,Fifth,829.0,0.2954383464,430.0,0.1532430506,1061.0,0.3781183179,486.0,0.1732002851,,0,1,1729.0,,Sixth,166.0,0.0960092539,385.0,0.2226720648,141.0,0.08155002892,797.0,0.4609600925,240.0,0.1388085599,1,Y
"Rethrow prefs
Base merges IND when it should exclude lowest 2",Parramatta*,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,14588.0,,Third,12439.0,0.8526871401,2149.0,0.1473128599,,0,,0,,0,1,4782.0,,Fourth,665.0,0.1390631535,3204.0,0.6700125471,913.0,0.1909242995,,0,,0,1,2760.0,,Fifth,737.0,0.2670289855,430.0,0.1557971014,790.0,0.2862318841,407.0,0.1474637681,396.0,0.1434782609,1,4363.0,,Sixth,522.0,0.1196424479,757.0,0.1735044694,1119.0,0.2564749026,1722.0,0.3946825579,243.0,0.05569562228,1,Y
Rethrow prefs,Reid,ALP,LIB,GRN,ALP,LIB,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,13895.0,,Third,11562.0,0.8320978769,2333.0,0.1679021231,,0,,0,,0,1,4233.0,,Fourth,700.0,0.1653673518,2855.0,0.6744625561,678.0,0.1601700921,,0,,0,1,3566.0,,Fourth,1086.0,0.3045429052,569.0,0.1595625351,1350.0,0.3785754347,561.0,0.1573191251,,0,1,2804.0,,Sixth,238.0,0.08487874465,591.0,0.2107703281,187.0,0.06669044223,1320.0,0.4707560628,468.0,0.1669044223,1,Y
2 IND. Khan treated as OTH,Watson*,ALP,IND,LIB,ALP,IND,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,17512.0,,Third,8476.0,0.4840109639,,0,,0,9036.0,0.5159890361,,0,1,8717.0,,Fourth,4433.0,0.5085465183,1042.0,0.1195365378,,0,3242.0,0.3719169439,,0,1,3705.0,,Sixth,520.0,0.1403508772,1339.0,0.3614035088,339.0,0.09149797571,551.0,0.1487179487,956.0,0.2580296896,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,8749.0,,Fifth,1907.0,0.2179677677,2919.0,0.3336381301,1073.0,0.1226425877,,0,2850.0,0.3257515145,1,Y
Base merges IND when it should exclude lowest,Berowra*,LIB,ALP,IND,LIB,ALP,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,14626.0,,Fourth,7318.0,0.500341857,1005.0,0.06871325038,,0,6303.0,0.4309448927,,0,1,5954.0,,Fifth,524.0,0.08800806181,3726.0,0.625797783,336.0,0.05643265032,1368.0,0.2297615049,,0,1,22150.0,,Third,16309.0,0.7362979684,5841.0,0.2637020316,,0,,0,,0,1,4517.0,,Sixth,524.0,0.1160061988,891.0,0.1972548151,509.0,0.1126854107,1249.0,0.2765109586,1344.0,0.2975426168,1,Y
Base merges IND when it should exclude lowest 2,Mackellar*,IND,LIB,ALP,IND,LIB,16409.0,,Third,3674.0,0.2239015175,,0,,0,12735.0,0.7760984825,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,8252.0,,Fourth,2139.0,0.2592098885,1419.0,0.1719583131,,0,4694.0,0.5688317984,,0,1,5613.0,,Fifth,332.0,0.05914840549,3467.0,0.6176732585,857.0,0.1526812756,957.0,0.1704970604,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,6536.0,,Sixth,439.0,0.06716646267,1385.0,0.2119033048,537.0,0.08216034272,2788.0,0.4265605875,1387.0,0.2122093023,1,Y
,Mitchell,LIB,ALP,GRN,LIB,ALP,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,16129.0,,Third,12795.0,0.7932915866,3334.0,0.2067084134,,0,,0,,0,1,6039.0,,Fourth,1051.0,0.1740354363,4174.0,0.6911740354,814.0,0.1347905282,,0,,0,1,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,2675.0,,Fifth,362.0,0.1353271028,683.0,0.2553271028,271.0,0.1013084112,1359.0,0.5080373832,,0,1,Y
