Division,State,ALP,LNP,GRN,ON,IND,OTH
Hawke,VIC,1.133808,0.847118,0.801149,1.200157,0.000000,1.662752
Herbert,QLD,0.587241,1.766842,0.774765,0.996433,0.000000,1.779027
Hindmarsh,SA,1.458430,0.690484,1.117458,0.969414,0.000000,0.957697
Hinkler,QLD,0.803351,1.299711,0.605679,1.371941,0.332175,1.217136
Holt,VIC,1.327561,0.702841,0.870743,1.150050,0.000000,1.355131
Hotham,VIC,1.479783,0.732356,1.197547,0.898287,0.000000,0.815968
Hughes,NSW,1.081716,1.265965,0.864705,0.906379,0.000000,1.410523
Hume,NSW,0.706949,1.508643,0.669638,1.134895,0.574677,1.316420
Hunter,NSW,1.269801,0.400332,0.671956,1.541600,0.000000,1.670336
Indi,VIC,0.081467,0.915009,0.380558,1.093024,5.979833,0.851112
Isaacs,VIC,1.487788,0.835857,1.104220,0.914657,0.000000,0.629467
Jagajaga,VIC,1.280895,0.868858,1.265814,0.837153,0.808172,0.468796
Kennedy,QLD,0.394946,0.707846,0.608975,0.764032,0.000000,6.316032
Kingsford Smith,NSW,1.541721,0.746179,1.126770,0.988818,0.461557,0.000000
Kingston,SA,1.560933,0.419031,1.025562,1.004113,0.593454,0.840013
Kooyong,VIC,0.216392,1.636777,0.771023,0.493169,5.013343,0.235690
La Trobe,VIC,0.862109,1.389332,1.004529,1.110994,0.000000,1.060741
Lalor,VIC,1.291607,0.686836,1.122667,1.057913,0.348631,1.002481
Leichhardt,QLD,0.997491,0.875139,0.803247,1.180753,0.000000,2.137504
Lilley,QLD,1.388863,0.814805,1.320178,0.918326,0.000000,0.646613
Lindsay,NSW,0.920796,1.440714,0.784212,1.083466,0.000000,1.182869
Lingiari,NT,1.236170,0.934605,0.826556,1.127168,0.621571,0.625901
Longman,QLD,0.988196,1.187913,0.771314,1.252103,0.000000,1.180492
Lyne,NSW,0.482411,1.234358,0.588203,1.031679,2.056998,1.945164
Lyons,TAS,1.170872,0.833452,0.902633,1.068909,0.404948,1.365416
Macarthur,NSW,1.459506,0.629244,0.941980,1.163128,0.000000,0.904385
Mackellar,NSW,0.190021,1.283839,0.601427,0.723268,5.495469,0.518218
Macnamara,VIC,1.078940,1.025070,2.129293,0.749297,0.000000,0.205985
Macquarie,NSW,1.270191,1.007424,0.950775,1.173367,0.000000,0.525997
Makin,SA,1.455405,0.637901,0.987938,1.063381,0.000000,1.088146
Mallee,VIC,0.351102,1.482757,0.593745,1.108959,1.730438,1.830969
Maranoa,QLD,0.339755,2.000313,0.480795,1.383440,0.000000,1.517973
Maribyrnong,VIC,1.261279,0.873777,1.565313,1.010500,0.000000,0.253069
Mayo,SA,0.504941,0.627978,1.064774,1.014306,0.000000,4.605512
McEwen,VIC,1.098353,1.009260,0.964537,1.071094,0.000000,1.410730
McMahon,NSW,1.371629,0.729244,0.698510,1.175743,1.289896,0.164948
McPherson,QLD,0.583041,1.226991,0.825514,0.945290,1.996164,1.458188
Melbourne,VIC,0.872469,0.415744,3.138874,0.670948,0.676928,0.371657
Menzies,VIC,1.014841,1.442892,0.969682,0.674814,0.876386,0.809171
Mitchell,NSW,0.899332,1.757512,1.083200,0.926684,0.000000,0.287645
Monash,VIC,0.541949,1.034035,0.558112,1.162717,3.219124,0.883751
Moncrieff,QLD,0.603114,1.471633,0.830163,1.041101,1.190438,1.193465
Moore,WA,0.903022,1.054518,0.945601,0.882572,2.173440,0.541321
Moreton,QLD,1.265464,0.795304,1.693046,0.811922,0.000000,0.768096
New England,NSW,0.491334,1.900090,0.670567,1.267968,0.498207,0.744050
Newcastle,NSW,1.387640,0.436853,1.686215,0.986824,0.000000,0.823694
Nicholls,VIC,0.444686,1.333276,0.499263,1.062517,3.109020,0.913223
O'Connor,WA,0.571648,1.206935,0.843685,1.272614,0.000000,2.471496
Oxley,QLD,1.602172,0.564086,1.108443,1.033864,0.000000,0.611559
Page,NSW,0.542445,1.626673,1.102923,0.878501,0.448742,1.636419
Parkes,NSW,0.470614,1.447773,0.528121,1.441279,0.355413,1.965139
Parramatta,NSW,1.481174,1.052920,0.994763,0.765499,0.000000,0.674871
Paterson,NSW,1.080665,0.851283,0.643630,1.106993,1.591300,0.912448
Pearce,WA,1.210934,0.833376,0.952964,1.167395,0.000000,1.230457
Perth,WA,1.278119,0.722475,1.838426,0.991148,0.000000,0.158888
Petrie,QLD,1.010465,1.326944,0.956976,1.071929,0.000000,0.880017
Rankin,QLD,1.471046,0.509943,0.896128,1.108520,0.000000,1.421648
Reid,NSW,1.486779,1.081647,0.940194,0.711372,0.402391,0.451211
Richmond,NSW,0.927252,0.678905,2.184726,0.680048,0.000000,1.797168
Riverina,NSW,0.468614,1.245719,0.462815,1.221172,2.156678,1.576479
Robertson,NSW,1.285341,1.010194,0.774744,1.108548,0.421432,0.571272
Ryan,QLD,0.757877,1.200607,2.294091,0.721657,0.000000,0.684342
Scullin,VIC,1.373773,0.451653,0.817974,1.089489,0.000000,2.133240
Shortland,NSW,1.296284,0.755306,0.891748,1.175257,0.571188,0.688154
Solomon,NT,0.962939,1.017423,0.900635,1.042464,1.799486,0.409205
