,,,,,,,,2028 FEDERAL ELECTION CALCULATOR,,,,,,,,,,
,GRN v ALP CONTESTS,,,,,,,,,,,,,,IND v LNP CONTESTS,,,
,GRN,ALP,,,,,,ALP (94),,,LNP (43),,,,IND,LNP,,
SEAT,,,Swing,Status,,,NATIONAL 2PP,0.53,,,0.47,,,SEAT,,,Swing,Status
Richmond (NSW),,,,,,,,,,,,,,Curtin (WA),0.5054104,0.4945896,0.0075896,IND RETAIN
Grayndler (NSW),0.31728,0.68272,0.01172,ALP RETAIN,,,,2PP,SEATS,SWING,SEATS,2PP,,Kooyong (VIC),0.5167984,0.4832016,0.0022016,IND RETAIN
,,,,,,,Paterson (NSW),0.5432,0.4568,-0.025699999999999945,ALP RETAIN,,,,,,,
,,,,,,,Tangney (WA),0.5446,0.4554,-0.0253000000000001,ALP RETAIN,,,,,,,
,,,,,,,Berowra (NSW),0.4539,0.5461,-0.029799999999999938,LNP RETAIN,,,,,,,
,,,,,,,Bowman (QLD),0.453,0.5469999999999999,-0.022699999999999998,LNP RETAIN,,,,,,,
,,,,,,,Werriwa (NSW),0.5492,0.4508,-0.01849999999999996,ALP RETAIN,,,,,,,
,,,,,,,Lingiari (NT),0.55,0.44999999999999996,-0.031299999999999994,ALP RETAIN,,,,,,,
,,,,,,,Lindsay (NSW),0.4489,0.5510999999999999,-0.023299999999999987,LNP RETAIN,,,,,,,
,,,,,,,La Trobe (VIC),0.4485,0.5515,-0.030899999999999983,LNP RETAIN,,,,,,,
,,,,,,,Monash (VIC),0.4474,0.5526,-0.012199999999999989,LNP RETAIN,,,,,,,
,,,,,,,Whitlam (NSW),0.5527000000000001,0.4472999999999999,-0.00979999999999992,ALP RETAIN,,,,,,,
,,,,,,,Bennelong (NSW),0.5544,0.4456,-0.03820000000000001,ALP RETAIN,,,,,,,
,,,,,,,Eden-Monaro (NSW),0.5544,0.4456,-0.01770000000000005,ALP RETAIN,,,,,,,
,,,,,,,Dunkley (VIC),0.5551,0.44489999999999996,-0.015699999999999936,ALP RETAIN,,,,,,,
,,,,,,,Pearce (WA),0.5554,0.4446,-0.009000000000000008,ALP RETAIN,,,,,,,
,,,,,,,Macquarie (NSW),0.5587,0.4413,-0.018400000000000083,ALP RETAIN,,,,,,,
,,,,,,,Robertson (NSW),0.5609000000000001,0.43909999999999993,-0.03279999999999994,ALP RETAIN,,,,,,,
