Seat,State,DivisionID,Eliminated,AliveSet,Recipient,Votes,ScenarioTotal,Share,Method,VoteBasis,CandidateCount,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,EffectiveEvidenceMultiplier,OverrideApplied,Source
Fenner,ACT,102,OTH,ALP+GRN+LNP,ALP,2206.0,7426.0,0.29706436843522765,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Elizabeth Kikkert,OTH_FFPA,RIGHT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Fenner,ACT,102,OTH,ALP+GRN+LNP,GRN,1383.0,7426.0,0.18623754376514942,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Elizabeth Kikkert,OTH_FFPA,RIGHT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Fenner,ACT,102,OTH,ALP+GRN+LNP,LNP,3836.999999999999,7426.0,0.516698087799623,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Elizabeth Kikkert,OTH_FFPA,RIGHT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,GRN,ALP+LNP,ALP,10066.89792,11756.0,0.85632,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Natalie Hanna,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,GRN,ALP+LNP,LNP,1689.10208,11756.0,0.14368,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Natalie Hanna,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,ON,ALP+GRN+LNP,ALP,514.8644386030792,3666.0,0.14044310927525344,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Todd Nicol,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,ON,ALP+GRN+LNP,GRN,1061.391663537364,3666.0,0.28952309425460016,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Todd Nicol,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,ON,ALP+GRN+LNP,LNP,2089.743897859557,3666.0,0.5700337964701465,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Todd Nicol,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,OTH,ALP+GRN+LNP+ON,ALP,1289.0,8791.0,0.14662723239676942,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Allan Taruste,OTH_CYA,RIGHT,0.3901717665794562,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,OTH,ALP+GRN+LNP+ON,GRN,1555.9999999999998,8791.0,0.17699920373108863,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Allan Taruste,OTH_CYA,RIGHT,0.3901717665794562,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,OTH,ALP+GRN+LNP+ON,LNP,1623.0,8791.0,0.18462063474007512,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Allan Taruste,OTH_CYA,RIGHT,0.3901717665794562,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,OTH,ALP+GRN+LNP+ON,ON,4323.0,8791.0,0.49175292913206686,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Allan Taruste,OTH_CYA,RIGHT,0.3901717665794562,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,GRN,ALP+LNP,ALP,13230.79746835443,15885.0,0.8329113924050633,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Manal Bahsa,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,GRN,ALP+LNP,LNP,2654.2025316455697,15885.0,0.1670886075949367,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Manal Bahsa,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,ON,ALP+GRN+LNP,ALP,1610.3418731625368,5573.0,0.2889542209155817,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Christos Nicolis,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,ON,ALP+GRN+LNP,GRN,781.7648047039058,5573.0,0.1402771944561108,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Christos Nicolis,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,ON,ALP+GRN+LNP,LNP,3180.893322133558,5573.0,0.5707685846283075,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Christos Nicolis,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,OTH,ALP+GRN+LNP+ON,ALP,987.0,7233.0,0.13645790128577354,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2,Thomas Pambris,OTH_CYA,RIGHT,0.5273054057790681,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,OTH,ALP+GRN+LNP+ON,GRN,949.0,7233.0,0.13120420295866161,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2,Thomas Pambris,OTH_CYA,RIGHT,0.5273054057790681,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,OTH,ALP+GRN+LNP+ON,LNP,1346.0,7233.0,0.18609152495506703,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2,Thomas Pambris,OTH_CYA,RIGHT,0.5273054057790681,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,OTH,ALP+GRN+LNP+ON,ON,3951.0,7233.0,0.5462463708004979,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2,Thomas Pambris,OTH_CYA,RIGHT,0.5273054057790681,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,GRN,ALP+LNP,ALP,11343.545383309389,12931.0,0.8772365156066345,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Adam Hart,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,GRN,ALP+LNP,LNP,1587.45461669061,12931.0,0.12276348439336551,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Adam Hart,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,ON,ALP+GRN+LNP,ALP,342.24336377150144,2534.0,0.1350605224039074,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Craig Bennett,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,ON,ALP+GRN+LNP,GRN,534.3516670205988,2534.0,0.2108727967721384,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Craig Bennett,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,ON,ALP+GRN+LNP,LNP,1657.4049692078995,2534.0,0.6540666808239541,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Craig Bennett,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,OTH,ALP+GRN+LNP+ON,ALP,1205.0,6036.0,0.19963552021206096,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Eric Chan,OTH_FFPA,RIGHT,0.3204108681245858,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,OTH,ALP+GRN+LNP+ON,GRN,1390.0,6036.0,0.23028495692511597,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Eric Chan,OTH_FFPA,RIGHT,0.3204108681245858,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,OTH,ALP+GRN+LNP+ON,LNP,1266.0,6036.0,0.20974155069582506,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Eric Chan,OTH_FFPA,RIGHT,0.3204108681245858,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bennelong,NSW,105,OTH,ALP+GRN+LNP+ON,ON,2175.0,6036.0,0.36033797216699803,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Eric Chan,OTH_FFPA,RIGHT,0.3204108681245858,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,GRN,ALP+IND+LNP,ALP,6895.211130862847,13781.0,0.5003418569670451,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Martin Cousins,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,GRN,ALP+IND+LNP,IND,5938.851565704908,13781.0,0.43094489265691227,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Martin Cousins,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,GRN,ALP+IND+LNP,LNP,946.937303432244,13781.0,0.06871325037604262,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Martin Cousins,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,IND,ALP+LNP,ALP,9671.27381489842,13135.0,0.7362979683972912,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Tina Brown,IND_PROMINENT,LEFT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,IND,ALP+LNP,LNP,3463.7261851015805,13135.0,0.2637020316027088,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Tina Brown,IND_PROMINENT,LEFT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Berowra,NSW,106,ON,ALP+GRN+IND+LNP,ALP,414.0779308028216,4705.0,0.08800806180718841,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Gerald Mattinson,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
