,,,,,ScenarioKey,ScenarioTotal,ScenarioShare,Share
,,,,,ALP|GRN|IND|LNP → GRN | ON,1.680890344,0.04532944134,0.04532944134
,,,,,ALP|GRN|IND|LNP → GRN | ON,1.680890344,0.0466433561,0.0466433561
,,,,,ALP|GRN|IND|LNP → GRN | OTH,0.7968414436,0.1610270979,0.1610270979
,,,,,ALP|GRN|IND|LNP → GRN | ON,1.680890344,0.09083357293,0.09083357293
,,,,,ALP|GRN|IND|LNP → GRN | ON,1.680890344,0.06387435871,0.06387435871
,,,,,ALP|GRN|IND|LNP → GRN | OTH,0.7968414436,0.153910905,0.153910905
,,,,,ALP|GRN|IND|LNP → GRN | OTH,0.7968414436,0.3291529237,0.3291529237
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.02137258489,0.02137258489
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.02724759666,0.02724759666
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.02670839364,0.02670839364
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.02830623094,0.02830623094
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04116765918,0.04116765918
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.02895019243,0.02895019243
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.0536087065,0.0536087065
,,,,,ALP|GRN|IND|LNP → IND | OTH,2.156438837,0.1774505652,0.1774505652
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.02606923142,0.02606923142
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.03962444925,0.03962444925
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.05961750048,0.05961750048
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04045143979,0.04045143979
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.03513084523,0.03513084523
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.05049687496,0.05049687496
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04161509249,0.04161509249
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04866197796,0.04866197796
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.0354967924,0.0354967924
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04993097335,0.04993097335
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04670081221,0.04670081221
,,,,,ALP|GRN|IND|LNP → IND | OTH,2.156438837,0.1867818095,0.1867818095
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.05314728494,0.05314728494
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.05656238768,0.05656238768
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04054781022,0.04054781022
,,,,,ALP|GRN|IND|LNP → IND | OTH,2.156438837,0.1510599368,0.1510599368
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04892706187,0.04892706187
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.04640032642,0.04640032642
,,,,,ALP|GRN|IND|LNP → IND | ON,6.540164444,0.05325777505,0.05325777505
,,,,,ALP|GRN|IND|LNP → IND | OTH,2.156438837,0.2962823998,0.2962823998
,,,,,ALP|GRN|IND|LNP → IND | OTH,2.156438837,0.1884252887,0.1884252887
,,,,,ALP|GRN|IND|LNP → LNP | OTH,1.155770225,0.1775802241,0.1775802241
,,,,,ALP|GRN|IND|LNP → LNP | OTH,1.155770225,0.1118289052,0.1118289052
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.02901125643,0.02901125643
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.02872398459,0.02872398459
,,,,,ALP|GRN|IND|LNP → LNP | OTH,1.155770225,0.2945787166,0.2945787166
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.05391789828,0.05391789828
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04389495436,0.04389495436
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04993035995,0.04993035995
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04450947188,0.04450947188
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.03983514206,0.03983514206
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04352334959,0.04352334959
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.05133044227,0.05133044227
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.05155183724,0.05155183724
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.03704813162,0.03704813162
,,,,,ALP|GRN|IND|LNP → LNP | ON,13.45146507,0.04322576689,0.04322576689
,,,,,ALP|GRN|IND|LNP → LNP | OTH,1.155770225,0.2886716779,0.2886716779
