(NSW)",FULL DISTRIBUTION,,,,,,,,GRAYNDLER (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"GRAYNDLER
(NSW)",FULL DISTRIBUTION,,,,,,,,PARRAMATTA (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,PARRAMATTA (NSW),FULL DISTRIBUTION,,,,,,,,REID (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,REID (NSW),FULL DISTRIBUTION,,,,,,,,WATSON (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,WATSON (NSW),FULL DISTRIBUTION,,,,,
,NSW,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH
,Eliminated,0.1426596582,,ON,LNP+GRN+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.06865718969,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1630934736,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1479761159,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1389627059,,ON,ALP+LNP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.138614164,,GRN,LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1418974167,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1223186026,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.152853858,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1188228697,,LNP,ALP+ON+IND,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0452149525,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1459314188,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1410213235,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1159310173,,GRN,ALP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,
,Weights,0,0.7224131347842687,0.08591065292096219,0.0,0.19167621229476897,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.150345581,,,,,Weights,0.4279181025,0.0,0.15958189754192512,0.41250000000000003,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.07079628693,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1631366249,,,,,Weights,0.7851266815,0.10987331853206216,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1547313329,,,,,Weights,0.09045826369,0.6847966627073091,0.0,0.0,0.22474507360142837,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1518980474,,,,,Weights,0,0.09563679565512562,0.0,0.105,0.7993632043448744,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1472880707,,,,,Weights,0.7664064,0.12859360000000003,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1443071631,,,,,Weights,0.7309772311,0.1640227688878274,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1240320274,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1533964346,,,,,Weights,0.125,0.0,0.0,0.6875,0.18749999999999997,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1164128693,,,,,Weights,0.3829664078,0.0,0.20453359224261614,0.4125,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.04615527197,,,,,Weights,0.7631549904,0.13184500959692896,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1545531021,,,,,Weights,0.7447275999,0.15027240014393667,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1463399079,,,,,Weights,0.516942671,0.0,0.0,0.105,0.378057328990228,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1146269674,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1030592109,0.01225598438,,0.02734446294,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02937965433,,0.01095644461,0.02832109075,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02329906766,,0.01164953383,0.1281448721,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1161799968,0.01625862692,,0.01553749217,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0125703251,0.09516119726,,,0.03123118357,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.01325661448,,0.01455448722,0.1108030623,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1087510883,0.01824709964,,0.01489922875,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.08941211342,0.02006303588,,0.01284345327,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02183626543,,0.01091813272,0.1200994599,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01485285871,,,0.08169072291,0.02227928807,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01731580794,,0.009247976658,0.01865116791,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1113682905,0.01924032931,,0.01532279897,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1050224718,0.02119161275,,0.01480723896,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05992968974,,,0.01217275682,0.04382857075,
,Round 4 (3CP),0,0.3641109583295728,0.16757058322588578,0.0,0.4171967509524206,0.0,3,0.9488782925,,False,True,True,False,True,False,GRN,,3CP,,0.3837277775,0.1765986055,,0.439673617,,,,Round 4 (3CP),0.5139631032,0.0,0.25996959217802806,0.1958524822776036,0.0,0.0,4,0.9697851776,,True,False,True,True,False,False,ON,,3CP,0.5299762411,,0.2680692572,0.2019545017,,,,,Round 4 (3CP),0.471310076,0.0,0.18318317913842122,0.3452422349253287,0.0,0.0,3,0.9997354901,,True,False,True,True,False,False,GRN,,3CP,0.4714347752,,0.1832316457,0.3453335791,,,,,Round 4 (3CP),0.4897145496,0.2825967528638857,0.0,0.18403097894444778,0.0,0.0,4,0.9563422814,,True,True,False,True,False,False,ON,,3CP,0.5120703739,0.2954974995,,0.1924321266,,,,,Round 4 (3CP),0.1974607072,0.3921559702019383,0.0,0.0,0.32522527302489773,0.0,1,0.9148419504,,True,True,False,False,True,False,ALP,,3CP,0.2158413342,0.428659803,,,0.3554988628,,,,Round 4 (3CP),0,0.2414281522675885,0.0,0.16211068076295365,0.5375704053254063,0.0,4,0.9411092384,,False,True,False,True,True,False,ON,,3CP,,0.2565357372,,0.1722549032,0.5712093596,,,,Round 4 (3CP),0.4220181276,0.32421634502895963,0.0,0.23706679704017314,0.0,0.0,4,0.9833012697,,True,True,False,True,False,False,ON,,3CP,0.4291849717,0.3297222886,,0.2410927397,,,,,Round 4 (3CP),0.332404123,0.42113179732260886,0.0,0.23264970540534888,0.0,0.0,4,0.9861856258,,True,True,False,True,False,False,ON,,3CP,0.3370604016,0.4270309629,,0.2359086356,,,,,Round 4 (3CP),0.4425945814,0.0,0.18323456269904692,0.3706337689045167,0.0,0.0,3,0.996462913,,True,False,True,True,False,False,GRN,,3CP,0.4441656339,,0.1838849799,0.3719493862,,,,,Round 4 (3CP),0.4770885904,0.0,0.0,0.2904214166191089,0.2531921748072623,0.0,5,1.020702182,,True,False,False,True,True,False,IND,,3CP,0.4674121393,,,0.284531004,0.2480568567,,,,Round 4 (3CP),0.4976970387,0.0,0.27720440982138933,0.2047255923864827,0.0,0.0,4,0.9796270409,,True,False,True,True,False,False,ON,,3CP,0.508047469,,0.2829693325,0.2089831985,,,,,Round 4 (3CP),0.5155848793,0.23788497600520173,0.0,0.19074554269717467,0.0,0.0,4,0.944215398,,True,True,False,True,False,False,ON,,3CP,0.5460458285,0.2519393101,,0.2020148613,,,,,Round 4 (3CP),0.5245229025,0.2539128176582766,0.0,0.18522023351499323,0.0,0.0,4,0.9636559536,,True,True,False,True,False,False,ON,,3CP,0.5443051542,0.2634890769,,0.1922057689,,,,,Round 4 (3CP),0.5347541863,0.0,0.0,0.22380020663971517,0.252822074513056,0.0,4,1.011376467,,True,False,False,True,True,False,ON,,3CP,0.5287390042,,,0.2212827902,0.2499782056,
,Eliminated ,0.1675705832,,GRN,LNP+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1958524823,,ON,ALP+GRN,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1831831791,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1840309789,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1974607072,,ALP,LNP+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1621106808,,ON,LNP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.237066797,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2326497054,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1832345627,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2531921748,,IND,ALP+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2047255924,,ON,ALP+GRN,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1907455427,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1852202335,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2238002066,,ON,ALP+IND,4,,,,,,,,,,,,,SWING,,,,,,
,Weights,0,0.09837781266352694,0.0,0.0,0.901622187336473,0.0,,,True,,,,,,,,,ELIMINATED,GREENS,,,0.1765986055,,,,,Weights,0.5230088496,0.0,0.4769911504424778,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2019545017,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1832316457,,,,,Weights,0.2691099311,0.7308900688828083,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1924321266,,,,,Weights,0,0.3227926930528647,0.0,0.0,0.6772073069471354,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.2158413342,,,,,Weights,0,0.7837521756285528,0.0,0.0,0.21624782437144727,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1722549032,,,,,Weights,0.2594594844,0.7405405156490461,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2410927397,,,,,Weights,0.2663168809,0.7336831190777348,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2359086356,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1838849799,,,,,Weights,0.825,0.0,0.0,0.175,0.0,0.0,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.2480568567,,,,,Weights,0.4797136038,0.0,0.5202863961813842,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2089831985,,,,,Weights,0.2692190205,0.7307809795216224,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2020148613,,,,,Weights,0.2729730297,0.7270269703194059,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1922057689,,,,,Weights,0.4855275444,0.0,0.0,0.0,0.5144724556489262,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2212827902,,
,,,,,,,,,,True,,,,,,,,,DISTRIBUTED,,0.01648522744,,,0.1510853558,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1024325814,,0.09341990084,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1639489453,,,0.01923423381,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.04952456407,0.1345064149,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.06373887344,,,0.1337218337,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1270545987,,,0.03505608202,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06474017511,0.1723266219,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06195854389,0.1706911615,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1639949336,,,0.01923962908,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.2088835442,,,0.04430863059,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.09820965172,,0.1065159407,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05135232817,0.1393932145,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0505601283,0.1346601052,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1086611648,,,,0.1151390419,
,Round 5 (2CP),0,0.38059618577408694,0.0,0.0,0.5682821067337922,0.0,2.0,0.9488782925,,False,True,False,False,True,False,LNP,,2CP,,0.4011011621,,,0.5988988379,,,,Round 5 (2CP),0.6163956846,0.0,0.3533894930166372,0.0,0.0,0.0,2.0,0.9697851776,,True,False,True,False,False,False,GRN,,2CP,0.6356002327,,0.3643997673,,,,,,Round 5 (2CP),0.6352590214,0.0,0.0,0.3644764687348629,0.0,0.0,2.0,0.9997354901,,True,False,False,True,False,False,ON,,2CP,0.6354270981,,,0.3645729019,,,,,Round 5 (2CP),0.5392391137,0.41710316774116374,0.0,0.0,0.0,0.0,2.0,0.9563422814,,True,True,False,False,False,False,LNP,,2CP,0.5638557702,0.4361442298,,,,,,,Round 5 (2CP),0,0.455894843645345,0.0,0.0,0.4589471067635089,0.0,2.0,0.9148419504,,False,True,False,False,True,False,LNP,,2CP,,0.4983318085,,,0.5016681915,,,,Round 5 (2CP),0,0.3684827510081792,0.0,0.0,0.5726264873477693,0.0,2.0,0.9411092384,,False,True,False,False,True,False,LNP,,2CP,,0.3915408924,,,0.6084591076,,,,Round 5 (2CP),0.4867583028,0.4965429669614543,0.0,0.0,0.0,0.0,2.0,0.9833012697,,True,True,False,False,False,False,ALP,,2CP,0.4950245848,0.5049754152,,,,,,,Round 5 (2CP),0.3943626669,0.5918229588369214,0.0,0.0,0.0,0.0,2.0,0.9861856258,,True,True,False,False,False,False,ALP,,2CP,0.3998868536,0.6001131464,,,,,,,Round 5 (2CP),0.606589515,0.0,0.0,0.38987339798791665,0.0,0.0,2.0,0.996462913,,True,False,False,True,False,False,ON,,2CP,0.6087426909,,,0.3912573091,,,,,Round 5 (2CP),0.6859721346,0.0,0.0,0.3347300472103798,0.0,0.0,2.0,1.020702182,,True,False,False,True,False,False,ON,,2CP,0.672059046,,,0.327940954,,,,,Round 5 (2CP),0.5959066904,0.0,0.38372035049025144,0.0,0.0,0.0,2.0,0.9796270409,,True,False,True,False,False,False,GRN,,2CP,0.6082995523,,0.3917004477,,,,,,Round 5 (2CP),0.5669372075,0.37727819053682643,0.0,0.0,0.0,0.0,2.0,0.944215398,,True,True,False,False,False,False,LNP,,2CP,0.6004320716,0.3995679284,,,,,,,Round 5 (2CP),0.5750830308,0.38857292287253503,0.0,0.0,0.0,0.0,2.0,0.9636559536,,True,True,False,False,False,False,LNP,,2CP,0.5967721453,0.4032278547,,,,,,,Round 5 (2CP),0.643415351,0.0,0.0,0.0,0.3679611163977274,0.0,2.0,1.011376467,,True,False,False,False,True,False,IND,,2CP,0.6361778939,,,,0.3638221061,
,,Primary row,,,,3,,,,,,,,,,,,,SWING,,-0.01546664952,,,0.01546664952,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.07386092774,,0.07386092774,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03644474952,-0.3281281524,,0.3645729019,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02875705898,0.02875705898,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,,-0.001552329031,,,0.001552329031,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,,0.003560562509,,,-0.003560562509,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02885472992,0.02885472992,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02817151204,0.02817151204,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.05129072549,-0.3399665836,,0.3912573091,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.04697509065,-0.2809658633,,0.327940954,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.06034526452,,0.06034526452,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02504380039,0.02504380039,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02330155776,0.02330155776,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02899582699,,,,0.02899582699,
,,5.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT RETAIN,,,,,,,,,6.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,7.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,8.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,9.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT RETAIN,,,,,,,,,10.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT RETAIN,,,,,,,,,11.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL GAIN,,,,,,,,,12.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,,,,,13.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,14.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,15.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,16.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,17.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,18.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTER METRO,BEROWRA (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"BEROWRA
(NSW)",FULL DISTRIBUTION,,,,,,,,MACKELLAR (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,MACKELLAR (NSW),FULL DISTRIBUTION,,,,,,,,MITCHELL (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,MITCHELL (NSW),FULL DISTRIBUTION,,,,,,,,CHIFLEY (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,CHIFLEY (NSW),FULL DISTRIBUTION,,,,,,,,FOWLER (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,FOWLER (NSW),FULL DISTRIBUTION,,,,,,,,GREENWAY (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,GREENWAY (NSW),FULL DISTRIBUTION,,,,,,,,LINDSAY (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,LINDSAY (NSW),FULL DISTRIBUTION,,,,,,,,MCMAHON (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,MCMAHON (NSW),FULL DISTRIBUTION,,,,,,,,HUGHES (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,HUGHES (NSW),FULL DISTRIBUTION,,,,,,,,HUME (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,HUME (NSW),FULL DISTRIBUTION,,,,,,,,MACARTHUR (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,MACARTHUR (NSW),FULL DISTRIBUTION,,,,,,,,WERRIWA (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,WERRIWA (NSW),FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.2015189845,0.3179319985,0.144545812,0.1997966103,0.08933775786,0.02901521182,6,0.9821463749,,True,True,True,True,True,False,OTH,,ROUND 1,0.2051822311,0.3237114208,0.1471733905,0.2034285473,0.09096175492,0.02954265531,,,Primary,0.05079165914,0.25422531,0.07971590476,0.1455117899,0.3714089627,0.03767355718,6,0.9393271837,,True,True,True,True,True,False,OTH,,ROUND 1,0.05407238289,0.2706461757,0.08486489707,0.1549106557,0.3953989293,0.04010695936,,,Primary,0.2525227598,0.3655941241,0.1508216617,0.1958502143,0,0.02196740527,5,0.9867561651,,True,True,True,True,False,True,IND,,ROUND 1,0.2559120163,0.3705009779,0.1528459279,0.1984788352,0,0.02226224274,,,Primary,0.4667421002,0.09638257544,0.1052436134,0.2187374453,0,0.09644349654,5,0.9835492309,,True,True,True,True,False,True,IND,,ROUND 1,0.4745487928,0.09799466301,0.10700391,0.222396031,0,0.09805660308,,,Primary,0.3125660021,0.02310545955,0.08080800856,0.1935574541,0.3240177688,0.05383869246,2,0.9878933855,,True,False,True,True,True,True,LNP,,ROUND 1,0.3163964924,0.02338861652,0.08179830916,0.1959294969,0.3279886004,0.0544984846,,,Primary,0.4294061858,0.1768561566,0.1174009257,0.1984431313,0.0237,0.04603872074,5,0.9918451202,,True,True,True,True,False,True,IND,,ROUND 1,0.4329367328,0.1783102553,0.1183661878,0.2000747165,0.02389485971,0.04641724782,,,Primary,0.2598457986,0.3011977544,0.1097387036,0.2301340918,0,0.09078769435,5,0.9917040427,,True,True,True,True,False,True,IND,,ROUND 1,0.2620195012,0.3037173808,0.1106567069,0.2320592454,0,0.09154716573,,,Primary,0.402050635,0.1583568061,0.1015295791,0.2593992822,0.0956,0.01315,6,1.030086302,,True,True,True,True,True,False,OTH,,ROUND 1,0.3903077189,0.153731591,0.09856414836,0.2518228634,0.09280775773,0.01276592065,,,Primary,0.3016087975,0.2615001539,0.119556366,0.1902185285,0,0.106966776,5,0.9798506219,,True,True,True,True,False,True,IND,,ROUND 1,0.3078109977,0.2668775709,0.1220148902,0.1941301299,0,0.1091664113,,,Primary,0.2038557233,0.3222871364,0.09575306634,0.2463217965,0.0419,0.1032445052,5,1.013362228,,True,True,True,True,False,True,IND,,ROUND 1,0.201167675,0.3180374476,0.09449046325,0.2430737892,0.04134750522,0.1018831198,,,Primary,0.4179784725,0.1335022922,0.1337711427,0.2507191945,0,0.07044339719,5,1.006414499,,True,True,True,True,False,True,IND,,ROUND 1,0.4153144384,0.1326513999,0.1329185368,0.2491212068,0,0.06999441807,,,Primary,0.3435142905,0.1955041683,0.1179243437,0.1904650851,0.0228,0.117620277,5,0.9878281646,,True,True,True,True,False,True,IND,,ROUND 1,0.3477470099,0.1979131344,0.1193773856,0.1928119606,0.02308093737,0.1190695722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
