Division,Classification,ALP primary,LNP primary,GRN primary,ON primary,IND primary,OTH primary
Fraser,InnerMetro,0.3696488377,0.0759874046,0.2585036126,0.1971831603,0,0.0986769847
Gellibrand,InnerMetro,0.3994644327,0.1527671941,0.1862715539,0.2118567502,0,0.04964006914
Maribyrnong,InnerMetro,0.3589071461,0.1842011968,0.2208752195,0.2164308246,0,0.01958561301
Aston,OuterMetro,0.3049778638,0.2812448338,0.1371512064,0.1782327895,0.03933677143,0.05905653504
Deakin,OuterMetro,0.2882964019,0.2870563379,0.145634344,0.1593649581,0.0702099813,0.04943797685
Menzies,OuterMetro,0.2887814234,0.3041757781,0.1368281398,0.1445331103,0.06305641145,0.06262513698
Calwell,OuterMetro,0.320586675,0.07310735212,0.1194567158,0.2259054452,0.1350726897,0.1258711221
Jagajaga,OuterMetro,0.3644894393,0.1831643792,0.1786135634,0.1793025203,0.05814803009,0.03628206768
Scullin,OuterMetro,0.3909176735,0.09521271702,0.1154212984,0.2333485472,0,0.165099764
Bruce,OuterMetro,0.3789561689,0.1383411447,0.1323503624,0.2406503852,0,0.1097019388
Dunkley,OuterMetro,0.3281737829,0.2092575201,0.131549202,0.2189194629,0.02694816055,0.08515187162
Holt,OuterMetro,0.3777675519,0.1481661502,0.1228671016,0.2463201366,0,0.1048790597
Isaacs,OuterMetro,0.4233616338,0.1762069015,0.1558115529,0.1959030354,0,0.04871687639
Gorton,OuterMetro,0.365024016,0.174183154,0.1212031968,0.2324649245,0,0.1071247087
Lalor,OuterMetro,0.3675374573,0.1447921354,0.1584150911,0.2265856086,0.02508418764,0.07758551986
La Trobe,Provincial,0.2453200396,0.2928848174,0.1417452619,0.2379547473,0,0.08209513392
Ballarat,Provincial,0.3680114426,0.1688162773,0.161488424,0.2300545651,0.02534205095,0.04628724008
Bendigo,Provincial,0.3007351758,0.2608475905,0.1392914461,0.2131072082,0,0.08601857939
Corangamite,Provincial,0.3216166851,0.2326460704,0.1671338873,0.1714818682,0.0420367579,0.06508473109
Corio,Provincial,0.3640015655,0.1357160309,0.173167414,0.2509906329,0.02994777909,0.04617657763
Hawke,Provincial,0.3226337183,0.1785807203,0.1130469117,0.2570516277,0,0.128687022
Casey,Rural,0.185689897,0.2878211813,0.1340857511,0.2023020639,0.1020622637,0.08803884302
Flinders,Rural,0.1572099309,0.2923297347,0.08584131862,0.1952519083,0.2094222094,0.05994489807
Gippsland,Rural,0.145741044,0.4125158024,0.1018296538,0.3042710785,0,0.03564242131
Monash,Rural,0.1542160383,0.2179848018,0.078752669,0.2490333786,0.2316163698,0.06839674245
Indi,Rural,0.02318162668,0.1928930025,0.0536993887,0.2341062971,0.4302487201,0.06587096488
McEwen,Rural,0.312544837,0.2127623788,0.1361016494,0.2294093658,0,0.109181769
Nicholls,Rural,0.1265394073,0.2810682835,0.07044856657,0.2275716434,0.2236940814,0.07067801784
Mallee,Rural,0.0999086829,0.3125802023,0.08378089476,0.2375193452,0.1245053007,0.1417055741
Wannon,Rural,0.06847845876,0.3299814801,0.05660892977,0.1908703405,0.2942298212,0.05983096967
Brisbane,InnerMetro,0.2580797371,0.2473523745,0.2908531109,0.1597752494,0,0.04393952798
Lilley,InnerMetro,0.3952120606,0.1717691701,0.186285402,0.1966889465,0,0.05004442072
Griffith,InnerMetro,0.279846983,0.1690529534,0.3535616236,0.1645066521,0,0.03303178796
Moreton,InnerMetro,0.3600975094,0.1676583588,0.2388992228,0.17389922,0,0.05944568892
Bonner,OuterMetro,0.3143019923,0.2690446514,0.1551615193,0.1969007159,0,0.06459112112
Bowman,OuterMetro,0.2491499513,0.2889667356,0.1380259969,0.2417095146,0,0.08214780162
Dickson,OuterMetro,0.273535274,0.2550188634,0.1087899385,0.2009248355,0.09464721234,0.06708387622
