Division,Display Name,Aliases,State,Classification,Status,Held party,Current MP,Current margin,Notes
Mallee,Mallee,,VIC,Rural,Active,National,,,
Maranoa,Maranoa,,QLD,Rural,Active,Liberal National,,,
Maribyrnong,Maribyrnong,,VIC,Inner metro,Active,Labor,,,
Mayo,Mayo,,SA,Rural,Active,Centre Alliance,,,
McEwen,McEwen,,VIC,Rural,Active,Labor,,,
McMahon,McMahon,,NSW,Outer metro,Active,Labor,,,
McPherson,McPherson,,QLD,Provincial,Active,Liberal National,,,
Melbourne,Melbourne,,VIC,Inner metro,Active,Labor,,,
Menzies,Menzies,,VIC,Outer metro,Active,Labor,,,
Mitchell,Mitchell,,NSW,Outer metro,Active,Liberal,,,
Monash,Monash,,VIC,Rural,Active,Liberal,,,
Moncrieff,Moncrieff,,QLD,Provincial,Active,Liberal National,,,
Moore,Moore,,WA,Outer metro,Active,Labor,,,
Moreton,Moreton,,QLD,Inner metro,Active,Labor,,,
New England,New England,,NSW,Rural,Active,National,,,
Newcastle,Newcastle,,NSW,Provincial,Active,Labor,,,
Nicholls,Nicholls,,VIC,Rural,Active,National,,,
O'Connor,O'Connor,,WA,Rural,Active,Liberal,,,
Oxley,Oxley,,QLD,Outer metro,Active,Labor,,,
Page,Page,,NSW,Rural,Active,National,,,
Parkes,Parkes,,NSW,Rural,Active,National,,,
Parramatta,Parramatta,,NSW,Inner metro,Active,Labor,,,
Paterson,Paterson,,NSW,Provincial,Active,Labor,,,
Pearce,Pearce,,WA,Outer metro,Active,Labor,,,
Perth,Perth,,WA,Inner metro,Active,Labor,,,
Petrie,Petrie,,QLD,Outer metro,Active,Labor,,,
Rankin,Rankin,,QLD,Outer metro,Active,Labor,,,
Reid,Reid,,NSW,Inner metro,Active,Labor,,,
Richmond,Richmond,,NSW,Rural,Active,Labor,,,
Riverina,Riverina,,NSW,Rural,Active,National,,,
Robertson,Robertson,,NSW,Provincial,Active,Labor,,,
Ryan,Ryan,,QLD,Outer metro,Active,Greens,,,
Scullin,Scullin,,VIC,Outer metro,Active,Labor,,,
Shortland,Shortland,,NSW,Provincial,Active,Labor,,,
Solomon,Solomon,,NT,Inner metro,Active,Labor,,,
Spence,Spence,,SA,Outer metro,Active,Labor,,,
Sturt,Sturt,,SA,Inner metro,Active,Labor,,,
Swan,Swan,,WA,Inner metro,Active,Labor,,,
Sydney,Sydney,,NSW,Inner metro,Active,Labor,,,
Tangney,Tangney,,WA,Inner metro,Active,Labor,,,
Wannon,Wannon,,VIC,Rural,Active,Liberal,,,
Warringah,Warringah,,NSW,Inner metro,Active,Independent,,,
Watson,Watson,,NSW,Inner metro,Active,Labor,,,
Wentworth,Wentworth,,NSW,Inner metro,Active,Independent,,,
Werriwa,Werriwa,,NSW,Outer metro,Active,Labor,,,
Whitlam,Whitlam,,NSW,Provincial,Active,Labor,,,
Wide Bay,Wide Bay,,QLD,Rural,Active,Liberal National,,,
Wills,Wills,,VIC,Inner metro,Active,Labor,,,
Wright,Wright,,QLD,Rural,Active,Liberal National,,,
