Seat,Proj_ALP_2CP,Nat_error,Seat_error,Total_SD,Margin,ALP_win_prob
Bennelong,0.5638557702,2.0,2.0,0.02828427125,0.06385577022,0.9880160187
Banks,0.4950245848,2.0,2.0,0.02828427125,-0.004975415223,0.4301833096
Barton,0.672059046,2.0,2.0,0.02828427125,0.172059046,0.9999999994
