InnerMetro,BRISBANE (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,"BRISBANE
(QLD)",FULL DISTRIBUTION,,,,,,,,LILLEY (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,"LILLEY
(QLD)",FULL DISTRIBUTION,,,,,,,,GRIFFITH (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,GRIFFITH (QLD),FULL DISTRIBUTION,,,,,,,,MORETON (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,"MORETON 
(QLD)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QLD,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.254721216,0.24735873588294863,0.2884226464564126,0.17285244499618457,0.0,0.0,,0.9633550434,,True,True,True,True,False,False,ON,,ROUND 3,0.2644105284,0.2567679877,0.2993939238,0.1794275602,,,,,Round 3,0.3987595972,0.17796611132725015,0.19005071650719746,0.21903592890800477,0.0,0.0,,0.9858123539,,True,True,True,True,False,False,LNP,,ROUND 3,0.4044984784,0.1805273698,0.1927858945,0.2221882573,,,,,Round 3,0.2741452995,0.17296294933848158,0.345445875431637,0.17378929200337437,0.0,0.0,,0.9663434162,,True,True,True,True,False,False,LNP,,ROUND 3,0.2836934519,0.1789870417,0.3574773415,0.1798421649,,,,,Round 3,0.3635779035,0.17489675771759777,0.24046531106116298,0.19348867765417765,0.0,0.0,,0.9724286499,,True,True,True,True,False,False,LNP,,ROUND 3,0.3738864579,0.17985562,0.247283244,0.1989746782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.172852445,,ON,ALP+LNP+GRN,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1779661113,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1729629493,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1748967577,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1802575107,0.6809106176525471,0.13883187161783914,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1794275602,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1805273698,,,,,Weights,0.4668657482,0.0,0.12063425179539793,0.41250000000000003,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1789870417,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.17985562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.03115795146,0.1176970651,0.02399742845,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02542373019,,0.01271186509,0.139830516,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.08075047675,,0.02086525598,0.0713472166,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0249852511,,0.01249262555,0.1374188811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.2858791675,0.36505580096805357,0.31242007490895246,0.0,0.0,0.0,,0.9633550434,,True,True,True,False,False,False,ALP,,3CP,0.2967536937,0.3789421185,0.3243041878,,,,,,Round 4 (3CP),0.4241833274,0.0,0.20276258160200103,0.3588664449508442,0.0,0.0,,0.9858123539,,True,False,True,True,False,False,GRN,,3CP,0.4302881027,,0.2056807067,0.3640311906,,,,,Round 4 (3CP),0.3548957762,0.0,0.36631113141341004,0.24513650860549802,0.0,0.0,,0.9663434162,,True,False,True,True,False,False,ON,,3CP,0.367256371,,0.3790693094,0.2536743196,,,,,Round 4 (3CP),0.3885631546,0.0,0.25295793661241994,0.3309075587180045,0.0,0.0,,0.9724286499,,True,False,True,True,False,False,GRN,,3CP,0.3995801179,,0.260130074,0.3402898082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2858791675,,ALP,LNP+GRN,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2027625816,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2451365086,,ON,ALP+GRN,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2529579366,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0,0.24232026672709028,0.7576797332729097,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.2967536937,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.2056807067,,,,,Weights,0.4645522388,0.0,0.5354477611940298,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2536743196,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.260130074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.06927431612,0.2166048514,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1814725105,,,0.02129007107,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1138787139,,0.1312577947,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.2263973533,,,0.02656058334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0,0.43433011708373914,0.5290249262741478,0.0,0.0,0.0,,0.9633550434,,False,True,True,False,False,False,LNP,,2CP,,0.4508515527,0.5491484473,,,,,,Round 5 (2CP),0.6056558379,0.0,0.0,0.3801565160190543,0.0,0.0,,0.9858123539,,True,False,False,True,False,False,ON,,2CP,0.6143723352,,,0.3856276648,,,,,Round 5 (2CP),0.4687744901,0.0,0.49756892613314496,0.0,0.0,0.0,,0.9663434162,,True,False,True,False,False,False,ALP,,2CP,0.4851013441,,0.5148986559,,,,,,Round 5 (2CP),0.6149605078,0.0,0.0,0.3574681420623086,0.0,0.0,,0.9724286499,,True,False,False,True,False,False,ON,,2CP,0.6323965341,,,0.3676034659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,1,,,,,,,,,,,,,SWING,-0.5895977245,0.04044927719,0.5491484473,,,,,,,Primary row,,,,1,,,,,,,,,,,,,SWING,-0.03082872706,-0.3547989378,,0.3856276648,,,,,,Primary row,,,,1,,,,,,,,,,,,,SWING,-0.1207039851,,0.1207039851,,,,,,,Primary row,,,,1,,,,,,,,,,,,,SWING,-0.02851510493,-0.339088361,,0.3676034659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
