ENTRANT,ALP,LNP,GRN,ON,IND,OTH,k -,20.0,,Weight
GRN,0.153963890130269,0.108137086903368,0.0465878552645448,0.29105282996055,0.400258337741266,0.0,,,10.0,0.3333333333
ON,0.15521347149182,0.0638135750906777,0.0834224174130783,0.0,0.609250809006868,0.0882997269975545,,,10.0,0.3333333333
IND,0.136833795887246,0.0792988277761719,0.121027436229073,0.204331028090756,0.0,0.45850891201675,,,13.0,0.3939393939
OTH,0.0604578162229543,0.115683635086052,0.0977119154241256,0.155631292086281,0.570515341180586,0.0,,,9.0,0.3103448276
,,,,,,,,,,
ENTRANT,ALP,LNP,GRN,ON,IND,OTH,,,,
GRN,0.378671900477901,0.297919452129716,,,,0.323408647392382,,,1.0,0.04761904762
ON,0.357721843658886,0.393562270747629,,,0.143890260758211,0.104825624835273,,,2.0,0.09090909091
IND,0.366306347149444,0.403438444512513,0.0,0.117728531517232,0.0,0.112526676820809,,,2.0,0.09090909091
OTH,0.292393329569357,0.300222202265524,,0.219017693465592,0.188366774699524,,,,3.0,0.1304347826
,,,,,,,,,,
,,,,,,,,,,
ENTRANT,ALP,LNP,GRN,ON,IND,OTH,,,,
GRN,0.1590746971,0.1131968268,0.04500641757,0.2811729608,0.3866714572,0.01487764052,,,,
ON,0.1723165,0.0930847876,0.08279451572,0,0.5626780354,0.08912616136,,,,
IND,0.1576949369,0.1087660657,0.110024942,0.1964580739,0,0.4270559815,,,,
OTH,0.08956871827,0.1379951306,0.09648224607,0.1618364725,0.5141174326,0,,,,
