SeatName,State,SeatIndex,Simulations,PrimaryNoise,PrefNoise,,,,,,,,
Banks (NSW),PREF MATRIX (NSW),7.0,500.0,1.5,0.0,,,PrefFlows,,,,,
,ALP,LNP,GRN,ON,IND,OTH,,ALP,LNP,GRN,ON,IND,OTH
Primary,0.3072755819,0.2968002748,0.1307081517,0.1872983,0.01779719048,0.0601205012,,0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
,1,,,,,,,0.85632,0.14368,0.0,0.0,0.0,0.0
,,,,,,,,0.14044310927525347,0.5700337964701464,0.2895230942546001,0.0,0.0,0.0
,,,,,,,,0.23036649214659685,0.1703950499762018,0.3322227510709186,0.08329366968110423,0.0,0.18372203712517848
,,,,,,,,0.1137648388920294,0.17877331825890333,0.12125494629734314,0.5862068965517241,0.0,0.0
,,,,,,,,,,,,,
,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,0.85632,0.14368,0.0,0.0,0.0,0.0
,,,,,,,,0.14044310927525347,0.5700337964701464,0.2895230942546001,0.0,0.0,0.0
,,,,,,,,0.23036649214659685,0.1703950499762018,0.3322227510709186,0.08329366968110423,0.0,0.18372203712517848
,,,,,,,,0.1137648388920294,0.17877331825890333,0.12125494629734314,0.5862068965517241,0.0,0.0
