3CP SD,2CP SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3CP,,,,,,2CP,,,,,,ALP,,,LNP,,,GRN,,,ON,,,IND,,,OTH,,
Division,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob
Blair (QLD),0.4144282892,0.2111756375,,0.3743960733,,,0.4744021703,,,0.5255978297,,,0.2032526517,1,0.1002916511,-0.1632204358,0,0,-0.2111756375,0,0,0.1632204358,,,-0.2111756375,,,-0.2111756375,,
Capricornia (QLD),0.3181670981,0.2866632229,,0.395169679,,,0.3995794534,,,0.6004205466,,,0.03150387522,0.9423941366,2.569792285e-07,-0.03150387522,0.05760586344,0,-0.2866632229,0,0,0.1085064561,,,-0.2866632229,,,-0.2866632229,,
Herbert (QLD),0.2825947301,0.4450951437,,0.2723101262,,,0.3557336533,0.6442663467,,,,,0.01028460388,0.6964544699,0,0.1727850175,1,1,-0.2723101262,0,0,0,,,-0.2723101262,,,-0.2723101262,,
Hinkler (QLD),0.3005518127,0.3112485105,,0.3881996768,,,,0.4883032955,,0.5116967045,,,-0.01069669777,0.2963820179,0,0.01069669777,0.7036179821,0.2793292579,-0.3005518127,0,0,0.08764786407,,,-0.3005518127,,,-0.3005518127,,
Longman (QLD),0.3771457947,0.2823966964,,0.3404575089,,,0.4573464564,,,0.5426535436,,,0.09474909826,0.9999989179,0.01647560866,-0.05806081252,0.001847793467,0,-0.2823966964,0,0,0.05806081252,,,-0.2823966964,,,-0.2823966964,,
Groom (QLD),,0.3600320121,,0.3116490594,0.3283189284,,,0.5340710086,,,0.4659289914,,-0.3116490594,0,0,0.04838295269,0.9922215376,0.9557674454,-0.3116490594,0,0,0,,,0.01666986897,,,-0.3116490594,,
McPherson (QLD),0.3543343368,0.3630094979,,0.2826561653,,,0.4281804301,0.5718195699,,,,,0.07167817142,0.9998307547,0.000164719409,0.08035333254,0.9999706114,0.9998352806,-0.2826561653,0,0,0,,,-0.2826561653,,,-0.2826561653,,
Moncrieff (QLD),0.3161353555,0.3785922657,,0.3052723788,,,0.3984347095,0.6015652905,,,,,0.01086297672,0.7064863348,1.904490663e-07,0.07331988688,0.9998768103,0.9999998096,-0.3052723788,0,0,0,,,-0.3052723788,,,-0.3052723788,,
Dawson (QLD),0.2735882989,0.3561186406,,0.3702930604,,,,0.5172892455,,0.4827107545,,,-0.0825303417,1.84149327e-05,0,0.0825303417,0.9999815851,0.8063330022,-0.2735882989,0,0,0.09670476147,,,-0.2735882989,,,-0.2735882989,,
Kennedy (QLD),0.1850831352,,,0.2824695443,,0.5324473206,,,,0.304893078,,0.695106922,-0.09738640908,5.599133972e-07,0,-0.1850831352,0,0,-0.1850831352,0,0,0.09738640908,,,-0.1850831352,,,0.3473641854,,
Leichhardt (QLD),0.3951876706,0.2297345937,,0.3750777357,,,0.4604322952,,,0.5395677048,,,0.1654530769,1,0.02394263169,-0.1453431421,0,0,-0.2297345937,0,0,0.1453431421,,,-0.2297345937,,,-0.2297345937,,
Flynn (QLD),0.296931424,0.2947082709,,0.4083603051,,,0.3806285729,,,0.6193714271,,,0.002223153083,0.5442543347,1.19669985e-09,-0.002223153083,0.4557456653,0,-0.2947082709,0,0,0.1136520342,,,-0.2947082709,,,-0.2947082709,,
Fairfax (QLD),0.3450795163,0.360667108,,0.2942533757,,,0.4231330652,0.5768669348,,,,,0.05082614062,0.9944780555,6.068390179e-05,0.06641373234,0.9995510185,0.9999393161,-0.2942533757,0,0,0,,,-0.2942533757,,,-0.2942533757,,
Fisher (QLD),,0.3639743983,,0.283975293,0.3520503087,,,0.5150512778,,,0.4849487222,,-0.283975293,0,0,0.07999910531,0.9999683228,0.774143988,-0.283975293,0,0,0,,,0.06807501571,,,-0.283975293,,
Maranoa (QLD),0.1545067429,0.4658881717,,0.3796050854,,,,0.556907946,,0.443092054,,,-0.2250983425,0,0,0.3113814288,1,0.997782197,-0.1545067429,0,0,0.2250983425,,,-0.1545067429,,,-0.1545067429,,
Wide Bay (QLD),0.2984605066,0.3249914059,,0.3765480875,,,,0.5008142045,,0.4991857955,,,-0.02653089934,0.09232962544,0,0.02653089934,0.9076703746,0.5162365451,-0.2984605066,0,0,0.07808758085,,,-0.2984605066,,,-0.2984605066,,
Wright (QLD),0.2757934484,0.287425298,,0.4367812536,,,,0.4498949543,,0.5501050457,,,-0.01163184965,0.2804206039,0,0.01163184965,0.7195793961,0.006118203899,-0.2757934484,0,0,0.1609878052,,,-0.2757934484,,,-0.2757934484,,
Cowan (WA),0.5397150042,0.2104577844,,0.2498272113,,,0.599485015,,,0.400514985,,,0.3292572198,1,0.9999996725,-0.03936942689,0.02450691502,0,-0.2104577844,0,0,0.03936942689,,,-0.2104577844,,,-0.2104577844,,
Curtin (WA),,0.3319940922,,0.1711563294,0.4968495785,,,0.4486270968,,,0.5513729032,,-0.1711563294,0,0,0.1608377628,1,0.005104847111,-0.1711563294,0,0,0,,,0.3256932491,,,-0.1711563294,,
Perth (WA),0.3880265332,,0.2730586062,0.3389148606,,,0.6324139857,,,0.3675860143,,,0.1149679269,0.9999999955,1,-0.2730586062,0,0,0,0.5,0,0.06585625438,,,-0.2730586062,,,-0.2730586062,,
Fremantle (WA),0.4115885674,,,0.2317649597,0.3566464729,,0.4546824853,,,,0.5453175147,,0.1798236076,1,0.01172949627,-0.2317649597,0,0,-0.2317649597,0,0,0,,,0.1248815131,,,-0.2317649597,,
Swan (WA),0.4108530366,,0.2236228286,0.3655241348,,,0.6109954682,,,0.3890045318,,,0.1872302079,1,0.9999999857,-0.2236228286,0,0,0,0.5,0,0.1419013062,,,-0.2236228286,,,-0.2236228286,,
Tangney (WA),0.4894584677,0.29707468,,0.2134668522,,,0.5473477396,0.4526522604,,,,,0.2759916155,1,0.9910429047,0.0836078278,0.9999854496,0.008957095286,-0.2134668522,0,0,0,,,-0.2134668522,,,-0.2134668522,,
Bullwinkel (WA),0.3802549009,0.3220370239,,0.2977080752,,,0.4575379488,0.5424620512,,,,,0.0825468256,0.9999816509,0.01687262937,0.02432894865,0.8880927378,0.9831273706,-0.2977080752,0,0,0,,,-0.2977080752,,,-0.2977080752,,
Hasluck (WA),0.4536490506,,0.1732432437,0.3731077057,,,0.6087017537,,,0.3912982463,,,0.2804058069,1,0.9999999726,-0.1732432437,0,0,0,0.5,0,0.1998644619,,,-0.1732432437,,,-0.1732432437,,
Pearce (WA),0.4620275078,0.2444692625,,0.2935032297,,,0.5314567784,,,0.4685432216,,,0.2175582453,1,0.9421219393,-0.04903396717,0.007109189812,0,-0.2444692625,0,0,0.04903396717,,,-0.2444692625,,,-0.2444692625,,
Moore (WA),0.4314156499,0.3366491224,,0.2319352277,,,0.4918237907,0.5081762093,,,,,0.1994804221,1,0.3413393799,0.1047138946,0.9999999178,0.6586606201,-0.2319352277,0,0,0,,,-0.2319352277,,,-0.2319352277,,
Brand (WA),0.443401374,,0.177815277,0.378783349,,,0.6025460469,,,0.3974539531,,,0.2655860969,1,0.999999853,-0.177815277,0,0,0,0.5,0,0.2009680719,,,-0.177815277,,,-0.177815277,,
Burt (WA),0.4638494681,,0.1655855876,0.3705649443,,,0.6058900042,,,0.3941099958,,,0.2982638805,1,0.9999999403,-0.1655855876,0,0,0,0.5,0,0.2049793567,,,-0.1655855876,,,-0.1655855876,,
Canning (WA),0.3523903966,0.3363391927,,0.3112704107,,,0.4409453922,0.5590546078,,,,,0.04111998595,0.980108708,0.001574884647,0.02506878205,0.8949770257,0.9984251154,-0.3112704107,0,0,0,,,-0.3112704107,,,-0.3112704107,,
Durack (WA),0.2956797162,0.3294658884,,0.3748543954,,,,0.503650526,,0.496349474,,,-0.03378617217,0.04558015229,0,0.03378617217,0.9544198477,0.5724151418,-0.2956797162,0,0,0.07917467915,,,-0.2956797162,,,-0.2956797162,,
O'Connor (WA),0.2607979925,0.3554912988,,0.3837107088,,,,0.5091271463,,0.4908728537,,,-0.09469330626,1.097084348e-06,0,0.09469330626,0.9999989029,0.6759334729,-0.2607979925,0,0,0.1229127163,,,-0.2607979925,,,-0.2607979925,,
Forrest (WA),,0.3353567616,,0.2809645856,0.3836786528,,,0.5043181247,,,0.4956818753,,-0.2809645856,0,0,0.05439217602,0.9967320405,0.5854695821,-0.2809645856,0,0,0,,,0.1027140672,,,-0.2809645856,,
Adelaide (SA),0.4322450581,,0.241998719,0.3257562229,,,0.6488339116,,,0.3511660884,,,0.1902463391,1,1,-0.241998719,0,0,0,0.5,0,0.08375750388,,,-0.241998719,,,-0.241998719,,
Hindmarsh (SA),0.4524614109,,0.1914631882,0.3560754009,,,0.6238209643,,,0.3761790357,,,0.2609982228,1,0.9999999997,-0.1914631882,0,0,0,0.5,0,0.1646122128,,,-0.1914631882,,,-0.1914631882,,
Sturt (SA),0.3407993325,0.4171297047,0.2420709628,,,,0.547999271,0.452000729,,,,,0.09872836972,0.9999996021,0.9918016478,0.1750587419,1,0.008198352231,0,0.5,0,-0.2420709628,,,-0.2420709628,,,-0.2420709628,,
Boothby (SA),0.4008995635,0.3497355346,0.2493649019,,,,0.6205639115,0.3794360885,,,,,0.1515346616,1,0.9999999992,0.1003706326,0.9999997397,8.290020892e-10,0,0.5,0,-0.2493649019,,,-0.2493649019,,,-0.2493649019,,
Kingston (SA),0.4906134924,,0.1722324822,0.3371540254,,,0.644761564,,,0.355238436,,,0.3183810102,1,1,-0.1722324822,0,0,0,0.5,0,0.1649215432,,,-0.1722324822,,,-0.1722324822,,
Makin (SA),0.4482802185,,0.1746793695,0.3770404119,,,0.6046182543,,,0.3953817457,,,0.273600849,1,0.9999999157,-0.1746793695,0,0,0,0.5,0,0.2023610424,,,-0.1746793695,,,-0.1746793695,,
Spence (SA),0.4141846909,,0.1926910299,0.3931242792,,,0.5866431627,,,0.4133568373,,,0.221493661,1,0.9999926173,-0.1926910299,0,0,0,0.5,0,0.2004332493,,,-0.1926910299,,,-0.1926910299,,
Barker (SA),0.2618274025,0.4304982687,,0.3076743288,,,,0.5847405407,,0.4152594593,,,-0.04584692635,0.01094283355,0,0.1686708663,1,0.9999886751,-0.2618274025,0,0,0.04584692635,,,-0.2618274025,,,-0.2618274025,,
Grey (SA),,0.3606319865,,0.3078874566,0.3314805569,,,0.5222613452,,,0.4777386548,,-0.3078874566,0,0,0.05274452993,0.99582065,0.8671602279,-0.3078874566,0,0,0,,,0.02359310027,,,-0.3078874566,,
Mayo (SA),0.2805753162,,,0.2784228068,,0.441001877,0.345815409,,,,,0.654184591,0.002152509381,0.5428536035,0,-0.2784228068,0,0,-0.2784228068,0,0,0,,,-0.2784228068,,,0.1625790702,,
Clark (TAS),,,0.2857056575,0.1954441,0.5188502425,,,,0.3112317948,,0.6887682052,,-0.1954441,0,0,-0.1954441,0,0,0.09026155746,0.9999968053,0,0,,,0.3234061425,,,-0.1954441,,
Franklin (TAS),0.4714922309,,,0.215660551,0.3128472181,,0.5589576937,,,,0.4410423063,,0.2558316799,1,0.998400218,-0.215660551,0,0,-0.215660551,0,0,0,,,0.0971866671,,,-0.215660551,,
Bass (TAS),0.4509684061,0.2705984145,,0.2763844369,,,0.5278183558,,,0.4701329016,,,0.1803699916,1,0.9178748215,-0.005786022333,0.3861754789,0,-0.2705984145,0,0,0.005786022333,,,-0.2705984145,,,-0.2705984145,,
Braddon (TAS),0.4150919434,0.2708329555,,0.3140751011,,,0.4920085028,,,0.5079914972,,,0.144258988,1,0.344734838,-0.04324214561,0.015304954,0,-0.2708329555,0,0,0.04324214561,,,-0.2708329555,,,-0.2708329555,,
Lyons (TAS),0.4753090576,0.2301768546,,0.2945140878,,,0.5406792843,,,0.4593207157,,,0.245132203,1,0.9790223982,-0.06433723317,0.000648005374,0,-0.2301768546,0,0,0.06433723317,,,-0.2301768546,,,-0.2301768546,,
Bean (ACT),0.4070562232,0.1796032562,0.1479165207,,0.2654239998,,0.4783235763,0.1840603083,,,0.3376161154,,0.2591397025,1,0.1392220453,0.03168673549,0.9434414493,0,0,0.5,0,-0.1479165207,,,0.1175074791,,,-0.1479165207,,
Canberra (ACT),0.4830007391,0.1204042817,0.2689132347,,0.1276817445,,0.6380423427,,0.3619576573,,,,0.3625964574,1,1,-0.007277462838,0.3579763707,0,0.148508953,1,0,-0.1204042817,,,0.007277462838,,,-0.1204042817,,
Fenner (ACT),0.5401886783,0.1613576365,0.2154200735,,,0.08303361157,0.5648550057,0.2042609449,0.2308840494,,,,0.4571550668,1,0.9994080904,0.07832402498,0.9999550224,0,0.132386462,1,0,-0.08303361157,,,-0.08303361157,,,0,,
Solomon (NT),0.4412950899,0.2951778283,,0.2635270818,,,0.5103674985,0.4896325015,,,,,0.1777680082,1,0.6979016468,0.0316507465,0.9432365208,0.3020983532,-0.2635270818,0,0,0,,,-0.2635270818,,,-0.2635270818,,
Lingiari (NT),0.4889814057,0.241972761,,0.2690458334,,,0.5577016698,,,0.4422983302,,,0.2470086447,1,0.9980434506,-0.02707307239,0.08792345582,0,-0.241972761,0,0,0.02707307239,,,-0.241972761,,,-0.241972761,,
