Division,State,ALP_primary,LNP_primary,GRN_primary,ON_primary,IND_primary,OTH_primary,ALP_3CP,LNP_3CP,GRN_3CP,ON_3CP,IND_3CP,OTH_3CP,ALP_2CP,LNP_2CP,GRN_2CP,ON_2CP,IND_2CP,OTH_2CP,ALP_2PP,LNP_2PP,GRN_2PP,ON_2PP,IND_2PP,OTH_2PP
New England,NSW,20.32%,52.22%,7.89%,9.96%,3.71%,5.90%,,,,,,,32.94%,67.06%,,,,,32.94%,67.06%,,,,
Page,NSW,22.04%,44.66%,15.12%,5.70%,3.43%,9.06%,,,,,,,40.71%,59.29%,,,,,40.71%,59.29%,,,,
Parkes,NSW,19.67%,39.96%,6.11%,13.65%,2.48%,18.14%,,,,,,,37.03%,62.97%,,,,,37.03%,62.97%,,,,
Richmond,NSW,30.40%,24.58%,26.47%,5.44%,2.60%,10.51%,,,,,,,60.00%,40.00%,,,,,60.00%,40.00%,,,,
Farrer,NSW,15.09%,43.41%,4.93%,6.60%,19.96%,10.01%,,,,,,,,56.19%,,,43.81%,,37.11%,62.89%,,,,
Riverina,NSW,18.43%,40.32%,4.50%,9.85%,16.55%,10.34%,,,,,,,37.38%,62.62%,,,,,37.38%,62.62%,,,,
Chisholm,VIC,38.74%,37.24%,12.50%,1.91%,5.93%,3.68%,,,,,,,55.70%,44.30%,,,,,55.70%,44.30%,,,,
Goldstein,VIC,13.67%,43.42%,7.19%,1.76%,30.72%,3.24%,,,,,,,,50.08%,,,49.92%,,46.03%,53.97%,,,,
Higgins,VIC,,,,,,,,,,,,,,,,,,,,,,,,
Hotham,VIC,48.85%,25.75%,14.86%,4.67%,0.00%,5.88%,,,,,,,66.86%,33.14%,,,,,66.86%,33.14%,,,,
Kooyong,VIC,11.90%,43.13%,7.75%,1.05%,33.91%,2.26%,,,,,,,,49.33%,,,50.67%,,47.63%,52.37%,,,,
