State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,CategoryPrimaryVotes,LastSurvivorCandidateID,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryVotes,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,CategorySubtypeMix,CategoryIdeologyMix,Method,VoteBasis,EvidenceVotes,RecipientModelCategory,AllocatedVotes,Share,IsApproximation
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,10187,41696,Claire Miles,IND_PROMINENT,LEFT,10187,1.0,1.0,IND_PROMINENT:10187,LEFT:10187,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,10187,ALP,4105.536637931034,0.40301724137931033,True
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,10187,41696,Claire Miles,IND_PROMINENT,LEFT,10187,1.0,1.0,IND_PROMINENT:10187,LEFT:10187,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,10187,GRN,3597.8332435344823,0.3531788793103448,True
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,10187,41696,Claire Miles,IND_PROMINENT,LEFT,10187,1.0,1.0,IND_PROMINENT:10187,LEFT:10187,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,10187,LNP,2483.630118534483,0.24380387931034483,True
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,2480,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1258,0.507258064516129,0.507258064516129,OTH_AJP:1258|OTH_IMO:1222,CENTRE_LEFT:1258|CENTRE_RIGHT:1222,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,1356,ALP,324.0,0.23893805309734514,False
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,2480,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1258,0.507258064516129,0.507258064516129,OTH_AJP:1258|OTH_IMO:1222,CENTRE_LEFT:1258|CENTRE_RIGHT:1222,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,1356,GRN,477.0,0.35176991150442477,False
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,2480,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1258,0.507258064516129,0.507258064516129,OTH_AJP:1258|OTH_IMO:1222,CENTRE_LEFT:1258|CENTRE_RIGHT:1222,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,1356,IND,421.0,0.31047197640117996,False
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,2480,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1258,0.507258064516129,0.507258064516129,OTH_AJP:1258|OTH_IMO:1222,CENTRE_LEFT:1258|CENTRE_RIGHT:1222,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,1356,LNP,134.0,0.09882005899705015,False
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,2480,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1258,0.507258064516129,0.507258064516129,OTH_AJP:1258|OTH_IMO:1222,CENTRE_LEFT:1258|CENTRE_RIGHT:1222,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2480,ALP,415.0,0.16733870967741934,True
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,2480,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1258,0.507258064516129,0.507258064516129,OTH_AJP:1258|OTH_IMO:1222,CENTRE_LEFT:1258|CENTRE_RIGHT:1222,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2480,GRN,607.0,0.24475806451612903,True
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,2480,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1258,0.507258064516129,0.507258064516129,OTH_AJP:1258|OTH_IMO:1222,CENTRE_LEFT:1258|CENTRE_RIGHT:1222,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2480,IND,949.0,0.38266129032258067,True
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,2480,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1258,0.507258064516129,0.507258064516129,OTH_AJP:1258|OTH_IMO:1222,CENTRE_LEFT:1258|CENTRE_RIGHT:1222,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2480,LNP,509.0,0.20524193548387096,True
ACT,102,Fenner,GRN,3,2,ALP>LNP,1,0,15492,41398,Dani Hunterford,GRN,,15492,1.0,1.0,GRN:15492,UNSPECIFIED:15492,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,16875,ALP,15063.0,0.8926222222222222,False
ACT,102,Fenner,GRN,3,2,ALP>LNP,1,0,15492,41398,Dani Hunterford,GRN,,15492,1.0,1.0,GRN:15492,UNSPECIFIED:15492,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,16875,LNP,1812.0,0.10737777777777778,False
ACT,102,Fenner,GRN,3,2,ALP>LNP,1,0,15492,41398,Dani Hunterford,GRN,,15492,1.0,1.0,GRN:15492,UNSPECIFIED:15492,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,15492,ALP,13828.503466666667,0.8926222222222222,True
