candidate,canonical_party
A:CHIVERS Ian,OTH
A:WHYTE Lamaan,OTH
B:LAWRENCE Lance Alfred,OTH
B:LUYKEN Suzette,OTH
C:McCARTHY Malarndirri,ALP
C:ALSOP Michael William,ALP
D:PRICE Jacinta Nampijinpa,LNP
D:HERSEY Dean,LNP
E:NEWPORT Aia,GRN
E:WELLS Hugo,GRN
F:NUGENT Darren,ON
F:HEWES Caine,ON
G:WYLIE Lionel,OTH
G:CAMPBELL Trudy,OTH
H:HANSEN Jed,OTH
H:SMITH Trevor,OTH
UG:KENNY Que,IND
