candidate,canonical_party
A:HOLGATE James,OTH
A:HAYDON John,OTH
B:POCOCK David,IND
B:VARDY Hannah,IND
C:SOXSMITH Robyn,OTH
C:KUDRYCZ Walter,OTH
D:GALLAGHER Katy,ALP
D:OH Janaline,ALP
E:VADAKKEDATHU Jacob,LNP
E:LEE Hayune,LNP
F:SEARSON-PRAKAASH Elise,OTH
F:BROWN Martin,OTH
G:HOBBS Christina,GRN
G:ROCKE Jo,GRN
