INNER METRO,ADELAIDE (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"ADELAIDE
,Eliminated,0.1543685243,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1543098427,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1995633613,,ON,ALP+LNP+GRN,4,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1573958895,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1577868002,,,,,Weights,0.1538467523,0.6764792519485839,0.16967399578268214,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2016350791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02205264633,,0.01102632316,0.1212895548,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02204426324,,0.01102213162,0.1212434478,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.030702175,0.1350004733,0.03386071292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.4239312219,0.0,0.23734409618825486,0.3194906015063664,0.0,0.0,3,0.9807659196,,True,False,True,True,False,False,GRN,,3CP,0.4322450581,,0.241998719,0.3257562229,,,,,Round 4 (3CP),0.4424910642,0.0,0.1872441446502287,0.3482289964842634,0.0,0.0,3,0.9779642053,,True,False,True,True,False,False,GRN,,3CP,0.4524614109,,0.1914631882,0.3560754009,,,,,Round 4 (3CP),0.337297759,0.41284386790927874,0.23958378281653636,0.0,0.0,0.0,3,0.9897254097,,True,True,True,False,False,False,GRN,,3CP,0.3407993325,0.4171297047,0.2420709628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2373440962,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1872441447,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2395837828,,GRN,ALP+LNP,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.241998719,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1914631882,,,,,Weights,0.8559470997,0.1440529003097012,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.2420709628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.2124229661,,,0.0249211301,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1675835095,,,0.01966063519,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.205071044,0.03451273878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0.636354188,0.0,0.0,0.34441173160613314,0.0,0.0,2.0,0.9807659196,,True,False,False,True,False,False,ON,,2CP,0.6488339116,,,0.3511660884,,,,,Round 5 (2CP),0.6100745736,0.0,0.0,0.3678896316725374,0.0,0.0,2.0,0.9779642053,,True,False,False,True,False,False,ON,,2CP,0.6238209643,,,0.3761790357,,,,,Round 5 (2CP),0.542368803,0.44735660669117033,0.0,0.0,0.0,0.0,2.0,0.9897254097,,True,True,False,False,False,False,LNP,,2CP,0.547999271,0.452000729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.04181987622,-0.3093462122,,0.3511660884,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03966562332,-0.3365134123,,0.3761790357,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.01820072899,0.01822660126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,135.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,136.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,137.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTER METRO,BOOTHBY (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"BOOTHBY
(SA)",FULL DISTRIBUTION,,,,,,,,KINGSTON (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"KINGSTON
(SA)",FULL DISTRIBUTION,,,,,,,,MAKIN (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"MAKIN
(SA)",FULL DISTRIBUTION,,,,,,,,SPENCE (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"SPENCE
(SA)",FULL DISTRIBUTION,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH
,Primary,0.3398436189,0.2257201069,0.1840133402,0.161851277,0.0917,0.03785849014,6,1.040986833,,True,True,True,True,True,False,OTH,,ROUND 1,0.326462937,0.2168328164,0.1767681726,0.1554786976,0.08808949074,0.03636788568,,,Primary,0.4597880995,0.09144042992,0.1497997748,0.2226221184,0.0442,0.06729741559,5,1.035147838,,True,True,True,True,False,True,IND,,ROUND 1,0.444176264,0.08833562371,0.1447134113,0.2150631148,0.0426992149,0.06501237128,,,Primary,0.4137879319,0.1343591241,0.1392829012,0.2275595757,0,0.08414241908,5,0.999131952,,True,True,True,True,False,True,IND,,ROUND 1,0.4141474318,0.1344758556,0.1394039105,0.2277572799,0,0.08421552219,,,Primary,0.3814762789,0.09117061843,0.1548973349,0.2752766422,0.0219,0.0891796753,5,1.01390055,,True,True,True,True,False,True,IND,,ROUND 1,0.3762462492,0.08992067166,0.1527736965,0.2715026067,0.02159975158,0.08795702431
,Eliminated,0.03785849014,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.09978068194,-0.1080122905,0.005929832396,0.1251392538,0.08808949074,-0.01136560446,,,Eliminated,0.0442,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.08608683547,-0.09795480621,0.01028863643,0.1527888347,0.0426992149,-0.02173504431,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06409050014,-0.0904082685,0.01567100929,0.1603796562,0,-0.02155189688,,,Eliminated,0.0219,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0670550297,-0.09697494677,0.007901361635,0.1760293631,-0.003028097248,-0.01687265099
,Weights,0.1452882705,0.2145297481017007,0.14292471455128258,0.39225726685153495,0.105,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.03636788568,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.0426992149,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.2291937581,0.11703511053315994,0.20871261378413525,0.1755526657997399,0.0,0.26950585175552666,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.02159975158,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.005500394557,0.008121772354,0.005410913897,0.01485026787,0.003975141465,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01961211828,0.01246403692,0.005813266785,0.003440154564,,0.002870423442,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.005019343303,0.002563068921,0.004570806242,0.003844603381,,0.005902178153
,Round 2,0.3453440135,0.23384187926654088,0.18942425409096292,0.17670154489897638,0.09567514146511391,0.0,5,1.040986833,,True,True,True,True,True,False,IND,,ROUND 2,0.3317467642,0.2246348098,0.1819660423,0.169744265,0.09190811873,,,,Round 2,0.4794002178,0.10390446684520695,0.1556130416194677,0.22606227291590292,0.0,0.07016783903303364,6,1.035147838,,True,True,True,True,False,True,OTH,,ROUND 2,0.4631224644,0.1003764516,0.150329292,0.2183864609,,0.06778533118,,,Round 2,0.4137879319,0.13435912405320874,0.1392829012322418,0.22755957567748825,0.0,0.0841424190752534,6,0.999131952,,True,True,True,True,False,True,OTH,,ROUND 2,0.4141474318,0.1344758556,0.1394039105,0.2277572799,,0.08421552219,,,Round 2,0.3864956222,0.09373368735033717,0.15946814113759855,0.27912124558523865,0.0,0.0950818534565891,2,1.01390055,,True,True,True,True,False,True,LNP,,ROUND 2,0.3811967774,0.09244860098,0.1572818371,0.2752945007,,0.09377828376
,Eliminated,0.09567514147,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07016783903,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.08414241908,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09373368735,,LNP,ALP+GRN+ON+OTH,2,,,,,,,,,,,,,SWING,,,,,,
,Weights,0.2485440198,0.19307695113499582,0.2854815373205102,0.272897491701825,0.0,0.0,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.09190811873,,,,,Weights,0.1686783961,0.1773731587561375,0.2046849427168576,0.4492635024549918,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.06778533118,,,,,Weights,0.1579228645,0.13485347822214305,0.29518125946379264,0.41204239779103946,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.08421552219,,,,,Weights,0.1176470588,0.0,0.058823529411764705,0.6470588235294118,0.0,0.1764705882352941,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.09244860098,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02377948426,0.01847266461,0.02731348647,0.02610950612,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01183579854,0.01244589125,0.01436230011,0.03152384912,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01328801185,0.01134689788,0.02483726524,0.03467024411,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01102749263,,0.005513746315,0.06065120946,,0.01654123894
,Round 3,0.3691234977,0.2523145438800345,0.21673774055978093,0.20281105102302324,0.0,0.0,4,1.040986833,,True,True,True,True,False,False,ON,,ROUND 3,0.3545899775,0.2423801491,0.2082041133,0.1948257601,,,,,Round 3,0.4912360163,0.11635035809758833,0.1699753417325099,0.2575861220395817,0.0,0.0,2,1.035147838,,True,True,True,True,False,False,LNP,,ROUND 3,0.4745563853,0.1123997499,0.1642039286,0.2488399362,,,,,Round 3,0.4270759438,0.14570602193153187,0.16412016646920535,0.26222981978919413,0.0,0.0,2,0.999131952,,True,True,True,True,False,False,LNP,,ROUND 3,0.4274469883,0.1458326116,0.1642627544,0.2624576456,,,,,Round 3,0.3975231148,0.0,0.16498188745232426,0.33977245504722153,0.0,0.11162309240076623,6,1.01390055,,True,False,True,True,False,True,OTH,,ROUND 3,0.3920730834,,0.1627199901,0.3351141837,,0.1100927428
