INNER METRO,ADELAIDE (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"ADELAIDE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RURAL,BARKER (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"BARKER
(SA)",FULL DISTRIBUTION,,,,,,,,GREY (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"GREY
(SA)",FULL DISTRIBUTION,,,,,,,,MAYO (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"MAYO
(SA)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.160161235,0.3821005455,0.09756923533,0.2498722758,0.05824151397,0.06021010633,5,1.008154912,,True,True,True,True,False,True,IND,,ROUND 1,0.1588656992,0.3790097543,0.09678000293,0.2478510722,0.05777040144,0.05972306996,,,Primary,0.1616446759,0.2620396251,0.07918425188,0.2639829662,0.1651569669,0.07778723908,6,1.009795725,,True,True,True,True,True,False,OTH,,ROUND 1,0.1600766094,0.2594976575,0.07841610924,0.2614221467,0.1635548287,0.07703264844,,,Primary,0.1429582412,0.1317142904,0.1494857136,0.2161467332,0,0.3546349064,5,0.9949398848,,True,True,True,True,False,True,IND,,ROUND 1,0.1436853054,0.1323841695,0.1502459755,0.2172460231,0,0.3564385264,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.05824151397,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06604553578,-0.1035407912,0.0152357676,0.1658837083,-0.0007961125355,-0.01073703638,,,Eliminated,0.07778723908,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06496806644,-0.08936696768,0.01925685736,0.1617599055,-0.01182713812,-0.01485459064,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0697479358,-0.1036801208,0.01406026195,0.1573891747,0,0.001978620014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.3308705882,0.23803579370075642,0.17350688019990776,0.15258673788161403,0.0,0.105,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.05777040144,,,,,Weights,0.1363404949,0.1796151104775481,0.08716016698910498,0.4053558700743305,0.19152835760105896,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.07703264844,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01927040399,0.013863565,0.01010530339,0.008886882626,,0.006115358967,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01060555067,0.01397176354,0.006779948748,0.03153151398,0.01489846214,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.179431639,0.39596411047268887,0.10767453872055345,0.2587591584594604,0.0,0.06632546530115717,6,1.008154912,,True,True,True,True,False,True,OTH,,ROUND 2,0.1779802259,0.3927611777,0.1068035651,0.2566660693,,0.06578896211,,,Round 2,0.1722502265,0.27601138868476527,0.0859642006260021,0.2955144801361346,0.18005542900345714,0.0,3,1.009795725,,True,True,True,True,True,False,GRN,,ROUND 2,0.1705792788,0.2733338851,0.08513028774,0.2926477829,0.1783087654,,,,Round 2,0.1429582412,0.13171429039318752,0.14948571360099697,0.21614673320395697,0.0,0.35463490637631606,2,0.9949398848,,True,True,True,True,False,True,LNP,,ROUND 2,0.1436853054,0.1323841695,0.1502459755,0.2172460231,,0.3564385264,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.0663254653,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.08596420063,,GRN,ALP+LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1317142904,,LNP,ALP+GRN+ON+OTH,2,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1588811569,0.30751717012320806,0.1688106142749867,0.36479105865309286,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.06578896211,,,,,Weights,0.4298648837,0.1030784231787157,0.0,0.11394344616241817,0.35311324697033014,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.08513028774,,,,,Weights,0.1831184105,0.0,0.030882352941176465,0.33970588235294114,0.0,0.44629335416243177,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1323841695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01053786666,0.0203962194,0.01119644254,0.0241949367,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0369529911,0.00886105425,,0.009795057266,0.03035509801,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0241193115,,0.004067647203,0.04474411924,,0.05878321245,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.1899695056,0.41636032986920574,0.11887098126011611,0.2829540951623285,0.0,0.0,3,1.008154912,,True,True,True,True,False,False,GRN,,ROUND 3,0.1884328523,0.4129924131,0.1179094402,0.2806652944,,,,,Round 3,0.2092032176,0.2848724429351123,0.0,0.3053095374020588,0.21041052700971363,0.0,1,1.009795725,,True,True,False,True,True,False,ALP,,ROUND 3,0.2071738001,0.2821089809,,0.3023478213,0.2083693977,,,,Round 3,0.1670775527,0.0,0.153553360804316,0.2608908524404663,0.0,0.4134181188270163,3,0.9949398848,,True,False,True,True,False,True,GRN,,ROUND 3,0.1679272841,,0.1543343102,0.2622177042,,0.4155207015,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1188709813,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.2092032176,,ALP,LNP+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1535533608,,GRN,ALP+ON+OTH,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.622465428,0.14846865190464073,0.0,0.2290659200814457,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1179094402,,,,,Weights,0,0.37901996084565515,0.0,0.026739072691320132,0.5942409664630247,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.2071738001,,,,,Weights,0.7298962359,0.0,0.0,0.10500000000000002,0.0,0.1651037641243827,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1543343102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07399307623,0.01764861434,,0.02722929069,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.07929219535,,0.005593900043,0.1243171222,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1120780201,,,0.01612310288,,0.02535223786,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.2639625819,0.434008944207477,0.0,0.3101833858556613,0.0,0.0,1,1.008154912,,True,True,False,True,False,False,ALP,,3CP,0.2618274025,0.4304982687,,0.3076743288,,,,,Round 4 (3CP),0,0.364164638289107,0.0,0.310903437445461,0.33472764923990783,0.0,4,1.009795725,,False,True,False,True,True,False,ON,,3CP,,0.3606319865,,0.3078874566,0.3314805569,,,,Round 4 (3CP),0.2791555728,0.0,0.0,0.27701395532491946,0.0,0.43877035668975833,4,0.9949398848,,True,False,False,True,False,True,ON,,3CP,0.2805753162,,,0.2784228068,,0.441001877,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2639625819,,ALP,LNP+ON,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.3109034374,,ON,LNP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2770139553,,ON,ALP+OTH,4,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0,0.5890990421549084,0.0,0.4109009578450917,0.0,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.2618274025,,,,,Weights,0,0.5249624665830757,0.0,0.0,0.47503753341692445,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.3078874566,,,,,Weights,0.2343202182,0.0,0.0,0.0,0.0,0.7656797818465134,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2784228068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1555001041,,0.1084624777,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1632126354,,,0.1476908021,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06490997044,,,,,0.2121039849,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0,0.5895090483465338,0.0,0.41864586357761324,0.0,0.0,2.0,1.008154912,,False,True,False,True,False,False,ON,,2CP,,0.5847405407,,0.4152594593,,,,,Round 5 (2CP),0,0.5273772736796332,0.0,0.0,0.48241845129484273,0.0,2.0,1.009795725,,False,True,False,False,True,False,IND,,2CP,,0.5222613452,,,0.4777386548,,,,Round 5 (2CP),0.3440655432,0.0,0.0,0.0,0.0,0.6508743415713825,2.0,0.9949398848,,True,False,False,False,False,True,ALP,,2CP,0.345815409,,,,,0.654184591,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.3698,-0.04543588548,,0.4152594593,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.4536,-0.02415944056,,,0.4777386548,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.005281394035,,,,,0.005281394035,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,142.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,,,,,143.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,,,,,144.0,,,,,,,,,,,,,,,,,RESULT,OTHER RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,SOUTH AUSTRALIA,RAW,,,,,,,,,AliveMask,,,,,,,,"SOUTH
AUSTRALIA",FULL DISTRIBUTION,,,,,,,,SOUTH AUSTRALIA,RAW,,,,,,,,,AliveMask,,,,,,,,"SOUTH
AUSTRALIA",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.3129,0.1888,0.1504,0.224834387,0.0342,0.0915,5,1.002634387,,True,True,True,True,False,True,,,ROUND 1,0.3120778661,0.1883039346,0.1500048292,0.2242436425,0.03411014069,0.09125958693,,,Primary,0.3129,0.1888,0.1504,0.224834387,0.0342,0.0915,5,1.002634387,,True,True,True,True,False,True,,,ROUND 1,0.3120778661,0.1883039346,0.1500048292,0.2242436425,0.03411014069,0.09125958693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.0342,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.07092213388,-0.09569606544,0.01600482922,0.1622436425,0.0005101406878,-0.01214041307,,,Eliminated,0.0342,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.07092213388,-0.09569606544,0.01600482922,0.1622436425,0.0005101406878,-0.01214041307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.4362022446,0.34116059906933094,0.1452899542486216,0.051460524772220705,0.0,0.025886677355022876,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.03411014069,,,,,Weights,0.4362022446,0.34116059906933094,0.1452899542486216,0.051460524772220705,0.0,0.025886677355022876,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.03411014069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01491811676,0.01166769249,0.004968916435,0.001759949947,,0.0008853243655,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01491811676,0.01166769249,0.004968916435,0.001759949947,,0.0008853243655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.3278181168,0.20046769248817112,0.15536891643530287,0.22659433697605416,0.0,0.09238532436554178,6,1.002634387,,True,True,True,True,False,False,,,ROUND 2,0.326956786,0.1999409706,0.15496069,0.2259989682,,0.09214258513,,,Round 2,0.3278181168,0.20046769248817112,0.15536891643530287,0.22659433697605416,0.0,0.09238532436554178,6,1.002634387,,True,True,True,True,False,False,,,ROUND 2,0.326956786,0.1999409706,0.15496069,0.2259989682,,0.09214258513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.09238532437,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09238532437,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1738312509,0.1885020356591324,0.21343535027376104,0.4242313631896673,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.09214258513,,,,,Weights,0.1738312509,0.1885020356591324,0.21343535027376104,0.4242313631896673,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.09214258513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0160594565,0.01741482171,0.01971829407,0.03919275209,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0160594565,0.01741482171,0.01971829407,0.03919275209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.3438775733,0.217882514196105,0.17508721050141732,0.2657870890703675,0.0,0.0,3,1.002634387,,True,True,False,True,False,False,,,ROUND 3,0.3429740469,0.2173100355,0.1746271749,0.2650887427,,,,,Round 3,0.3438775733,0.217882514196105,0.17508721050141732,0.2657870890703675,0.0,0.0,3,1.002634387,,True,True,False,True,False,False,,,ROUND 3,0.3429740469,0.2173100355,0.1746271749,0.2650887427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1750872105,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1750872105,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.7998534936,0.18077020521915382,0.0,0.019376301208402644,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1746271749,,,,,Weights,0.7998534936,0.18077020521915382,0.0,0.019376301208402644,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1746271749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.140044117,0.03165055097,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.140044117,0.03165055097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.4839216903,0.2495330651696954,0.0,0.269179631598782,0.0,0.0,4,1.002634387,,True,True,False,False,False,False,,,3CP,0.4826502028,0.2488774257,,0.2684723715,,,,,Round 4 (3CP),0.4839216903,0.2495330651696954,0.0,0.269179631598782,0.0,0.0,2,1.002634387,,True,False,False,True,False,False,,,3CP,0.4826502028,0.2488774257,,0.2684723715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2495330652,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2495330652,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.2869422299,0.7130577701408847,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2488774257,,,,,Weights,0.315,0.0,0.0,0.685,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2488774257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07723900372,0.1919406279,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07086739051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0.561160694,0.4414736930448677,0.0,0.0,0.0,0.0,2.0,1.002634387,,True,True,False,False,False,False,,,2CP,0.5596862638,0.4403137362,,,,,,,Round 5 (2CP),0.5547890808,0.0,0.0,0.4478453062602839,0.0,0.0,2.0,1.002634387,,True,False,False,True,False,False,,,2CP,0.5533313917,,,0.4466686083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03221373625,0.03221373625,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03856860827,-0.4081,,0.4466686083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,160.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,160.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
