,,,,,,,,ELECTION CALCULATOR,,,,,,,,,,
,GRN v ALP CONTESTS,,,,,,,,,,,,,,IND v LNP CONTESTS,,,
,GRN,ALP,,,,,,ALP (78),,,LNP (57),,,,IND,LNP,,
,,,,,,,Dobell (NSW),0.5938,0.4062,-0.0288,ALP RETAIN,,,,,,,
,,,,,,,Bonner (QLD),0.5118,0.4882,-0.0458,ALP GAIN,,,,,,,
,,,,,,,Bruce (VIC),0.5958,0.4042,-0.0428,ALP RETAIN,,,,,,,
,,,,,,,Canning (WA),0.5088,0.4912,-0.0198,ALP GAIN,,,,,,,
,,,,,,,Longman (QLD),0.5088,0.4912,-0.0398,ALP GAIN,,,,,,,
,,,,,,,Shortland (NSW),0.5978,0.4022,-0.0378,ALP RETAIN,,,,,,,
,,,,,,,Greenway (NSW),0.5988,0.4012,-0.0188,ALP RETAIN,,,,,,,
,,,,,,,Dunkley (VIC),0.6018,0.3982,-0.0748,ALP RETAIN,,,,,,,
,,,,,,,Banks (NSW),0.5068,0.4932,-0.0328,ALP GAIN,,,,,,,
,,,,,,,Moore (WA),0.5048,0.4952,-0.0138,ALP GAIN,,,,,,,
,,,,,,,Corangamite (VIC),0.6028,0.3972,-0.0248,ALP RETAIN,,,,,,,
,,,,,,,Monash (VIC),0.5008,0.4992,-0.0408,ALP GAIN,,,,,,,
,,,,,,,Hughes (NSW),0.4998,0.5002,-0.0348,LNP RETAIN,,,,,,,
,,,,,,,Aston (VIC),0.4978,0.5022,0.0382,LNP GAIN,,,,,,,
,,,,,,,Leichhardt (QLD),0.4978,0.5022,-0.0318,LNP RETAIN,,,,,,,
,,,,,,,Hawke (VIC),0.6098,0.3902,-0.0338,ALP RETAIN,,,,,,,
,,,,,,,Swan (WA),0.6098,0.3902,-0.0158,ALP RETAIN,,,,,,,
,,,,,,,Flynn (QLD),0.4938,0.5062,-0.0318,LNP RETAIN,,,,,,,
,,,,,,,Richmond (NSW),0.6128,0.3872,-0.0348,ALP RETAIN,,,,,,,
,,,,,,,Moreton (QLD),0.6138,0.3862,-0.0228,ALP RETAIN,,,,,,,
,,,,,,,Cowan (WA),0.6138,0.3862,-0.0148,ALP RETAIN,,,,,,,
,,,,,,,Holt (VIC),0.6158,0.3842,-0.0448,ALP RETAIN,,,,,,,
,,,,,,,Hasluck (WA),0.6158,0.3842,-0.0148,ALP RETAIN,,,,,,,
,,,,,,,Forde (QLD),0.4878,0.5122,-0.0298,LNP RETAIN,,,,,,,
,,,,,,,Rankin (QLD),0.6178,0.3822,-0.0268,ALP RETAIN,,,,,,,
,,,,,,,Petrie (QLD),0.4868,0.5132,-0.0308,LNP RETAIN,,,,,,,
,,,,,,,Solomon (NT),0.6188,0.3812,-0.0248,ALP RETAIN,,,,,,,
,,,,,,,Lilley (QLD),0.6208,0.3792,-0.0158,ALP RETAIN,,,,,,,
,,,,,,,Whitlam (NSW),0.6238,0.3762,-0.0408,ALP RETAIN,,,,,,,
,,,,,,,Hindamarsh (SA),0.6238,0.3762,-0.0348,ALP RETAIN,,,,,,,
,,,,,,,Flinders (VIC),0.4798,0.5202,-0.0418,LNP RETAIN,,,,,,,
,,,,,,,Bowman (QLD),0.4738,0.5262,-0.0288,LNP RETAIN,,,,,,,
,,,,,,,Braddon (TAS),0.4728,0.5272,-0.0528,LNP RETAIN,,,,,,,
,,,,,,,Isaacs (VIC),0.6358,0.3642,-0.0408,ALP RETAIN,,,,,,,
,,,,,,,Durack (WA),0.4698,0.5302,-0.0168,LNP RETAIN,,,,,,,
