,,,VOICE (2023),,,2022.0,,,,,,,2025.0,,,,,,
,,,YES %,,NO %,ALP %,,,,,,LNP %,ALP %,,,,,,LNP %
Shortland,108014,41463.0,0.3838669061,66551.0,0.6161330939,0.5225756158,,,,,,0.4774243842,0.6150701151,,,,,,0.4063353144
Sydney,103433,73333.0,0.7089903609,30100.0,0.2910096391,0.7557139394,,,,,,0.2442860606,0.7807718487,,,,,,0.2192281513
Warringah,96314,57347.0,0.5954170733,38967.0,0.4045829267,0.4874173686,,,,,,0.5125826314,0.5451412159,,,,,,#DIV/0!
Watson,93904,39490.0,0.4205358664,54414.0,0.5794641336,0.5519310852,,,,,,0.4480689148,0.7285897095,,,,,,0.379926297
Wentworth,90705,56732.0,0.6254561491,33973.0,0.3745438509,0.4407858484,,,,,,0.5592141516,0.5055555052,,,,,,0.4944444948
Werriwa,114048,41941.0,0.3677486672,72107.0,0.6322513328,0.5852673068,,,,,,0.4147326932,0.5677403155,,,,,,0.3439424393
Whitlam,117306,42042.0,0.35839599,75264.0,0.64160401,0.6470183238,,,,,,0.3529816762,0.5624611219,,,,,,0.324783068
Aston,102674,43201.0,0.4207589068,59473.0,0.5792410932,0.4718826406,,,,,,0.5281173594,0.5342788737,,,,,,0.4657211263
Ballarat,104340,43941.0,0.421132835,60399.0,0.578867165,0.6297409326,,,,,,0.3702590674,0.6066481729,,,,,,0.3933518271
Bendigo,105410,42726.0,0.4053315625,62684.0,0.5946684375,0.6210525261,,,,,,0.3789474739,0.5139893263,,,,,,0.4860106737
Bruce,99896,42401.0,0.4244514295,57495.0,0.5755485705,0.5658516109,,,,,,0.4341483891,0.6461632601,,,,,,0.3538367399
Calwell,96379,38637.0,0.4008860851,57742.0,0.5991139149,0.6239425849,,,,,,0.3760574151,0.6470634072,,,,,,0.3529254609
Casey,107796,45674.0,0.4237077443,62122.0,0.5762922557,0.4852189799,,,,,,0.5147810201,0.4703430065,,,,,,0.5296569935
Chisholm,101018,50919.0,0.5040586826,50099.0,0.4959413174,0.5641227543,,,,,,0.4358772457,0.5570088648,,,,,,0.4429911352
Cooper,100422,66053.0,0.657754277,34369.0,0.342245723,0.754592,,,,,,0.245408,0.7853159333,,,,,,0.2146840667
Corangamite,109442,52567.0,0.4803183421,56875.0,0.5196816579,0.5760297919,,,,,,0.4239702081,0.5804749087,,,,,,0.4195250913
Corio,103675,47666.0,0.4597636846,56009.0,0.5402363154,0.6283937118,,,,,,0.3716062882,0.6323133171,,,,,,0.3676866829
Deakin,105707,51213.0,0.4844806872,54494.0,0.5155193128,0.4981300302,,,,,,0.5018699698,0.5282277265,,,,,,0.4717722735
Dunkley,101840,44996.0,0.4418303221,56844.0,0.5581696779,0.5627233029,,,,,,0.4372766971,0.5707926098,,,,,,0.4292073902
Flinders,105483,44984.0,0.4264573438,60499.0,0.5735426562,0.4330246102,,,,,,0.5669753898,0.4521810256,,,,,,0.5446864422
Fraser,98280,56054.0,0.5703500204,42226.0,0.4296499796,0.6650416391,,,,,,0.3349583609,0.7202303963,,,,,,0.2797696037
Gellibrand,100769,52917.0,0.5251317369,47852.0,0.4748682631,0.6153996334,,,,,,0.3846003666,0.6510237448,,,,,,0.3489762552
Gippsland,106123,29635.0,0.2792514347,76488.0,0.7207485653,0.2943432502,,,,,,0.7056567498,0.3064396037,,,,,,0.6935603963
Goldstein,103177,57942.0,0.5615786464,45235.0,0.4384213536,0.4520170869,,,,,,0.5479829131,0.4603,,,,,,0.5397
Gorton,106511,41608.0,0.3906450977,64903.0,0.6093549023,0.5997143908,,,,,,0.4002856092,0.6028387552,,,,,,0.3971612448
Hawke,99454,35481.0,0.3567578981,63973.0,0.6432421019,0.5762639934,,,,,,0.4237360066,0.5763025323,,,,,,0.4236974677
Higgins,99423,60789.0,0.6114178812,38634.0,0.3885821188,0.5206311315,,,,,,0.4793688685,,,,,,,
Holt,100462,43179.0,0.4298043041,57283.0,0.5701956959,0.5711955544,,,,,,0.4288044456,0.6402845799,,,,,,0.3597154201
Hotham,104376,51982.0,0.4980263662,52394.0,0.5019736338,0.6425221053,,,,,,0.3574778947,0.6685936485,,,,,,0.3314063515
Indi,109604,36289.0,0.331091931,73315.0,0.668908069,0.447412469,,,,,,0.552587531,0.433334909,,,,,,0.5665327346
Isaacs,103728,52454.0,0.5056879531,51274.0,0.4943120469,0.5685040332,,,,,,0.4314959668,0.6434031854,,,,,,0.3565968146
Jagajaga,106280,58070.0,0.5463869025,48210.0,0.4536130975,0.6234702646,,,,,,0.3765297354,0.6287905382,,,,,,0.3712094618
Kooyong,105686,63253.0,0.5984993282,42433.0,0.4015006718,0.458216686,,,,,,0.541783314,0.4762812644,,,,,,0.5237274413
