,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025.0,,2PP,,,,,,,,,,,,2CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,,2PP,,,,,,,,,,,,2CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,,2PP,,,,,,,,,,,,2CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,,2PP,,,,,,,,,,,,2CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Labor,,,Swing,Weighted swing,Area swing,Coalition,,,Lean,PVI,Elasticity,Labor,,,Greens,,,Swing,Area swing,Coalition,,,Independent,,,,Labor,,,,,,Coalition,,,,,,Greens,,,,,,One Nation,,,,,,Independent,,,,,,Others,,,,,,,,Labor,,,Swing,Weighted swing,Area swing,Coalition,,,Lean,PVI,Elasticity,Labor,,,Greens,,,Swing,Area swing,Coalition,,,Independent,,,,Labor,,,,,,Coalition,,,,,,Greens,,,,,,One Nation,,,,,,Independent,,,,,,Others,,,,,,,,Labor,,,Swing,Weighted swing,Area swing,Coalition,,,Lean,PVI,Elasticity,Labor,,,Greens,,,Swing,Area swing,Coalition,,,Independent,,,,Labor,,,,,,Coalition,,,,,,Greens,,,,,,One Nation,,,,,,Independent,,,,,,Others,,,,,,,,Labor,,,Swing,Weighted swing,Area swing,Coalition,,,Lean,PVI,Elasticity,Labor,,,Greens,,,Swing,Area swing,Coalition,,,Independent,,,,Labor,,,,,,Coalition,,,,,,Greens,,,,,,One Nation,,,,,,Independent,,,,,,Others,,,,,
Classification,Division,Votes,Area votes,Votes,%,Area %,,,,Votes,%,Area %,,,,Votes,%,Area %,Votes,%,Area %,,,Votes,%,Area %,Votes,%,Area %,,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,Area votes,Votes,%,Area %,,,,Votes,%,Area %,,,,Votes,%,Area %,Votes,%,Area %,,,Votes,%,Area %,Votes,%,Area %,,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,%,Swing,,Area %,Area swing,Votes,Area votes,Votes,%,Area %,,,,Votes,%,Area %,,,,Votes,%,Area %,Votes,%,Area %,,,Votes,%,Area %,Votes,%,Area %,,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,Area votes,Votes,%,Area %,,,,Votes,%,Area %,,,,Votes,%,Area %,Votes,%,Area %,,,Votes,%,Area %,Votes,%,Area %,,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing,Votes,%,Swing,Weighted swing,Area %,Area swing
AUSTRALIAN CAPITAL TERRITORY,,290565,,210627,0.7248877188,,0.05591179943,,,79938,0.2751122812,,,,,,,,,,,,,,,,,,,,138110,0.4753153339,0.02650224907,,,,61489,0.2116187428,-0.05391328274,,,,43753,0.1505790443,-0.03555787517,,,,0,,-0.02356496137,,,,37307,0.1283946793,0.08299164387,,,,9906,0.03409219968,0,,,,281997,,188799,0.6695071224,,0.05316522197,,,93198,0.3304928776,,,,,,,,,,,,,,,,,,,,126595,0.4489232155,0.03803318014,,,,74758,0.265102111,-0.0479824913,,,,52648,0.1866970216,0.01802653326,,,,6630,0.02351088841,0.02350311705,,,,12795,0.04537282312,0.001120014043,,,,8571,0.03039394036,0.003690946712,,,,265975,,163878,0.6161406147,,0.05302284425,,,102097,0.3838593853,,0.131,,,,,,,,,,,,,,,,,,109300,0.4109408779,-0.0320939186,,,,83311,0.3132286869,-0.0316245775,,,,44804,0.1684519222,0.01740677131,,,,0,,0,,,,11745,0.04415828555,0.04427061942,,,,16815,0.06322022746,0.06322136441,,,,252742,,154489,0.6112517904,,0.01170817672,,,98253,0.3887482096,,,,,,,,,,,,,,,,,,,,111887,0.4426925481,0.008486986747,,,,87346,0.3455935302,-0.0001652805715,,,,38129,0.1508613527,0.01092806016,,,,0,,0,,,,4707,0.01862373488,0.01237730614,,,,10673,0.04222883415,0,,,
Inner metro,Bean,102700,,71161.0,0.6929016553,,0.0634,6511.18,,31539.0,0.3070983447,,,,,51700.0,0.5034079844,,,,,,,,,,51000.0,0.4965920156,,,42158.0,0.410496592,-0.0068,-698.36,,,23665.0,0.2304284323,-0.0668,-6860.36,,,9757.0,0.09500486855,-0.053,-5443.1,,,,,-0.0272,-2793.44,,,27120.0,0.2640701071,0.1826,18753.02,,,0,0,,0,,,98394,,61935.0,0.6294591134,,0.0543,5342.7942,,36459.0,0.3705408866,,,,,,,,,,,,,,,,,,,,41060.0,0.417301868,0.0359,3532.3446,,,29241.0,0.297182755,-0.0172,-1692.3768,,,14559.0,0.1479663394,0.0171,1682.5374,,,2680.0,0.02723743318,0.0272,2676.3168,,,8023.0,0.08153952477,-0.0012,-118.0728,,,2831,0.0287720796,0.0048,472.2912,,,92939,,53455.0,0.5751622032,,0.054,5018.706,,39484.0,0.4248377968,,,,,,,,,,,,,,,,,,,,35447.0,0.3814007037,-0.063,-5855.157,,,29223.0,0.3144320468,-0.058,-5390.462,,,12168.0,0.1309245849,-0.006,-557.634,,,,,,0,,,7683.0,0.08266712575,0.083,7713.937,,,8418,0.09057553879,0.0906,8420.2734,,,0,,,#DIV/0!,,,0,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,0,,,,#DIV/0!,,0,,,,#DIV/0!,,0,,,,,,0,,,,#DIV/0!,,0,,,0,#DIV/0!,,0,,
,Canberra,93405,,71378.0,0.7641775066,,0.0396,3698.838,,22027.0,0.2358224934,,,,,64936.0,0.6952090359,,28469.0,0.3047909641,,0.0732,,,,,,,,,45133.0,0.483196831,0.0344,3213.132,,,17101.0,0.1830844173,-0.0346,-3231.813,,,18504.0,0.1981050265,-0.0488,-4558.164,,,,,-0.0166,-1550.523,,,10187.0,0.109062684,0.0574,5361.447,,,2480,0.02655104116,,0,,,92322,,66898.0,0.7246160179,,0.0538,4966.9236,,25424.0,0.2753839821,,,,,57421.0,0.6219644288,,34901.0,0.3780355712,,-0.0489,,,,,,,,,41435.0,0.4488096012,0.0438,4043.7036,,,20102.0,0.2177379173,-0.0608,-5613.1776,,,22795.0,0.2469075627,0.0138,1274.0436,,,1531.0,0.01658326293,0.0166,1532.5452,,,4772.0,0.05168865493,0.0047,433.9134,,,1687,0.01827300102,0.0025,230.805,,,86403,,57961.0,0.670821615,,0.054,4665.762,,28442.0,0.329178385,,,,,,,,,,,,,,,,,,,,34989.0,0.404951217,-0.02,-1728.06,,,24063.0,0.2784972744,-0.049,-4233.747,,,20144.0,0.233140053,0.046,3974.538,,,,,,0,,,4062.0,0.04701225652,0.047,4060.941,,,3145,0.0363991991,0.0364,3145.0692,,,128720,,75247.0,0.584578931,,0.0095,1222.84,,53473.0,0.415421069,,,,,,,,,,,,,,,,,,,,55091.0,0.4279909882,0.0165,1425.6495,,,48416.0,0.3761342449,0.0028,241.9284,,,19200.0,0.1491609695,0.0186,1607.0958,,,,,,0,,,,0,,0,,,6013,0.04671379739,,0,,
,Fenner,94460,,68088.0,0.7208130426,,0.0639,6035.994,,26372.0,0.2791869574,,,,,,,,,,,,,,,,,,,,50819.0,0.5379949185,0.0549,5185.854,,,20723.0,0.2193838662,-0.059,-5573.14,,,15492.0,0.1640059284,-0.0035,-330.61,,,,,-0.0265,-2503.19,,,,,,0,,,7426,0.07861528689,,0,,,91281,,59966.0,0.6569384647,,0.0513,4682.7153,,31315.0,0.3430615353,,,,,,,,,,,,,,,,,,,,44100.0,0.4831235416,0.0345,3149.1945,,,25415.0,0.2784259594,-0.0682,-6225.3642,,,15294.0,0.1675485588,0.0233,2126.8473,,,2419.0,0.0265005861,0.0265,2418.9465,,,,,,0,,,4053,0.04440135406,0.0037,337.7397,,,86633,,52462.0,0.6055660083,,0.051,4418.283,,34171.0,0.3944339917,,,,,,,,,,,,,,,,,,,,38864.0,0.448605035,-0.011,-952.963,,,30025.0,0.3465769395,0.014,1212.862,,,12492.0,0.1441944755,0.014,1212.862,,,,,,0,,,,,,0,,,5252,0.06062354992,0.0606,5249.9598,,,124022,,79242.0,0.6389350277,,0.014,1736.308,,44780.0,0.3610649723,,,,,,,,,,,,,,,,,,,,56796.0,0.4579510087,0.0096,831.6768,,,38930.0,0.3138959217,-0.0033,-285.8889,,,18929.0,0.152626147,0.015,1299.495,,,,,,0,,,4707.0,0.03795294383,0.038,3292.054,,,4660,0.03757397881,,0,,
