INNER METRO,COWAN (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"COWAN
(WA)",FULL DISTRIBUTION,,,,,,,,CURTIN (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"CURTIN
(WA)",FULL DISTRIBUTION,,,,,,,,PERTH (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"PERTH
(WA)",FULL DISTRIBUTION,,,,,,,,FREMANTLE (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"FREMANTLE
(WA)",FULL DISTRIBUTION,,,,,,,,SWAN (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"SWAN
(WA)",FULL DISTRIBUTION,,,,,,,,TANGNEY (WA),RAW,,,,,,,,,AliveMask,,,,,,,,"TANGNEY
(WA)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WA,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1608426769,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1422095946,,GRN,LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1533741539,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1660654225,,GRN,ALP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1828809794,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1586207513,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.6736064169,0.2213935831496449,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1619883409,,,,,Weights,0,0.092359529930224,0.0,0.105,0.802640470069776,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1482714725,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1549087857,,,,,Weights,0.4105281168,0.0,0.0,0.10500000000000001,0.48447188324538265,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.158618712,,,,,Weights,0.1428571429,0.0,0.07142857142857142,0.7857142857142857,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1856287696,,,,,Weights,0.7089600925,0.18603990746096014,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.162422365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1083446593,0.03560953657,,0.01688848108,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.01313441131,,0.01493200743,0.1141431759,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02191059341,,0.0109552967,0.1205082637,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06817452517,,,0.01743686937,0.080454028,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02612585421,,0.0130629271,0.1436921981,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1124557825,0.02950978989,,0.01665517888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.5358978651,0.2089693199033984,0.0,0.2480603061807291,0.0,0.0,2,0.9929274912,,True,True,False,True,False,False,LNP,,3CP,0.5397150042,0.2104577844,,0.2498272113,,,,,Round 4 (3CP),0,0.31842096441673423,0.0,0.16415883521817792,0.47653655796021427,0.0,4,0.9591163576,,False,True,False,True,True,False,ON,,3CP,,0.3319940922,,0.1711563294,0.4968495785,,,,Round 4 (3CP),0.3841824783,0.0,0.27035350189528473,0.33555733941604693,0.0,0.0,3,0.9900933196,,True,False,True,True,False,False,GRN,,3CP,0.3880265332,,0.2730586062,0.3389148606,,,,,Round 4 (3CP),0.430911514,0.0,0.0,0.24264568457901045,0.3733900398698648,0.0,4,1.046947238,,True,False,False,True,True,False,ON,,3CP,0.4115885674,,,0.2317649597,0.3566464729,,,,Round 4 (3CP),0.4047713397,0.0,0.22031262730383266,0.36011342390388495,0.0,0.0,3,0.9851973909,,True,False,True,True,False,False,GRN,,3CP,0.4108530366,,0.2236228286,0.3655241348,,,,,Round 4 (3CP),0.478002336,0.2901214308739055,0.0,0.20847050514538218,0.0,0.0,4,0.976594272,,True,True,False,True,False,False,ON,,3CP,0.4894584677,0.29707468,,0.2134668522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2089693199,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1641588352,,ON,LNP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2703535019,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2426456846,,ON,ALP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2203126273,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2084705051,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.308,0.0,0.0,0.692,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2104577844,,,,,Weights,0,0.6814413763969149,0.0,0.0,0.3185586236030851,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1711563294,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.2730586062,,,,,Weights,0.1859380207,0.0,0.0,0.0,0.81406197934022,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2317649597,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.2236228286,,,,,Weights,0.2711862346,0.7288137654347288,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2134668522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05934728685,,,0.1496220331,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1118646226,,,0.0522942126,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.2419663842,,,0.0283871177,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.04511705831,,,,0.1975286263,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1971798014,,,0.02313282587,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05653433131,0.1519361738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0.595245152,0.0,0.0,0.3976823392315624,0.0,0.0,2.0,0.9929274912,,True,False,False,True,False,False,ON,,2CP,0.599485015,,,0.400514985,,,,,Round 5 (2CP),0,0.4302855870355238,0.0,0.0,0.5288307705596027,0.0,2.0,0.9591163576,,False,True,False,False,True,False,LNP,,2CP,,0.4486270968,,,0.5513729032,,,,Round 5 (2CP),0.6261488625,0.0,0.0,0.3639444571150518,0.0,0.0,2.0,0.9900933196,,True,False,False,True,False,False,ON,,2CP,0.6324139857,,,0.3675860143,,,,,Round 5 (2CP),0.4760285723,0.0,0.0,0.0,0.5709186661366168,0.0,2.0,1.046947238,,True,False,False,False,True,False,ALP,,2CP,0.4546824853,,,,0.5453175147,,,,Round 5 (2CP),0.6019511411,0.0,0.0,0.38324624977078736,0.0,0.0,2.0,0.9851973909,,True,False,False,True,False,False,ON,,2CP,0.6109954682,,,0.3890045318,,,,,Round 5 (2CP),0.5345366673,0.44205760471099154,0.0,0.0,0.0,0.0,2.0,0.976594272,,True,True,False,False,False,False,LNP,,2CP,0.5473477396,0.4526522604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.03686160088,-0.3636533841,,0.400514985,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,,-0.01868125263,,,0.01868125263,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.03270891414,-0.3348771001,,0.3675860143,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.05217152434,,,,0.05217152434,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.02890453181,-0.3601139601,,0.3890045318,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.02255226039,0.02254531479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,119.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,120.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT RETAIN,,,,,,,,,121.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,122.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT GAIN,,,,,,,,,123.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,124.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
