Election,Seat,Geography,Eliminated,AliveSet,Recipient,PrefVotes,PrefShare,SourceBank,Notes,,,,ALP ,,,,,LNP,,,,,GRN,,,,,ON,,,,,IND,,,,,OTH,,,,
FED_2025,Kingsford Smith,InnerMetro,ON,ALP+GRN+LNP,ALP,1654,,,,,31,Dobell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,ON,ALP+GRN+LNP,LNP,,,,,,32,Newcastle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,ON,ALP+GRN+LNP,GRN,,,,,,33,Paterson*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,GRN,ALP+LNP,ALP,,,,,,34,Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED_2025,Kingsford Smith,InnerMetro,GRN,ALP+LNP,LNP,,,,,,35,Shortland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,36,Macquarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,37,Cowper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,38,Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,39,Whitlam*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,40,Calare*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,41,Eden-Monaro*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,42,Gilmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,43,Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,44,Lyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,45,New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,46,Page*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,47,Parkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,48,Richmond*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,49,Farrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,50,Riverina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,51,Chisholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,52,Goldstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,53,Hotham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,54,Kooyong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,55,Macnamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,56,Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,57,Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,58,Wills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,59,Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,60,Gellibrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,61,Maribyrnong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,62,Aston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,63,Deakin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,64,Menzies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
