,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Party 1,,,,,,Party 2,,,,,,Party 3,,,,,,3CP Estimate,,,,,,,,Rescaled 3CP Estimate,,
,3CP,,,2CP,,Parties,,,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,Parties,Total,To ALP,To LNP,To GRN
Macnamara,ALP,LNP,GRN,ALP,LNP,IND,ON,,0.2363721805,0.2401315789,0.2734962406,0.25,,,0.1541655853,0.7108746431,0.1349597716,,,,,,,,,,0.2749135768,0.4178502397,0.3072361835,,,,2.0,3,,,
,,,,,,OTH,IND,ON,0.07698229407,0.2363356428,0.06697459584,0.3987682833,0.220939184,,0.23637218045112782,0.24013157894736842,0.27349624060150374,0.25,,,0.15416558525824034,0.7108746431352193,0.13495977160654035,,,,0.1991978212,0.6121293949,0.188672784,,,,,1,,,
Cooper,ALP,GRN,LNP,ALP,GRN,ON,OTH,,0.2214851966,0.5351884808,0.07183303673,,,0.1714932859,0.1879807347,0.1019337215,0.7100855438,,,,,,,,,,0.2537226304,0.5526694297,0.1936079399,,,,,1,,,
Melbourne,ALP,GRN,LNP,ALP,GRN,ON,IND,,0.2214851966,0.3902439024,0.05144817073,,0.3506097561,,0.3225476839,0.4283038147,0.2491485014,,,,,,,,,,0.3345735614,0.5404113985,0.138802066,,,,,1.013787026,0.3300235186,0.5330620581,0.1369144233
,,,,,,OTH,ON,IND,0.2105778648,0.1062683643,0.4701273262,0.04260528893,0.1704211557,,0.2214851965701343,0.3902439024390244,0.051448170731707314,,0.35060975609756095,,0.3162992651970608,0.4200066800267201,0.24432197728790916,,,,0.2786432166,0.2007468308,0.5176065642,,,,,0.9969966116,0.2794826114,0.2013515677,0.5191658208
Wills,ALP,GRN,LNP,ALP,GRN,ON,OTH,,0.1514767932,0.5932489451,0.1,,,0.1552742616,0.209190722,0.08987130081,0.7009379772,,,,,,,,,,0.1839587281,0.607203645,0.2088376268,,,,,1,,,
Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gellibrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maribyrnong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deakin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menzies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagajaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Trobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bendigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corangamite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flinders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gippsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McEwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wannon,LNP,IND,ALP,LNP,IND,GRN,ON,,0.2913204063,0.08010156971,,0.07871652816,0.5498614958,,0.1346127855,0.581429923,,,0.2839572915,,,,,,,,0.3019166574,0.1258697146,,,0.572213628,,,,,,
,,,,,,OTH,GRN,ON,0.1054412179,0.1901606992,0.1216521004,0.3449393854,0.2378065971,,0.291320406278855,0.08010156971375808,,0.0994459025955089,0.5498614958448753,,0.13461278551155562,0.5814299229625625,,,0.2839572915258819,,0.1588854043,0.2233151761,,,0.4620194845,,,,,,
