BEAN (ACT),RAW,,,,,,,,BEAN (ACT),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,152.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.770166035,0.229833965,0,0,0,1,,0.8710754895,0.024679060419990618,0.10424545006558882,0.0,0.0,0.0,0.8710754895,0.794845095415939,0.3340794150696405,0.0,0.0,0.0,0,0.3974225477079695,0.16703970753482025,0.0,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.8646454851,0,0.1353545149,0,0,0,1,,0.12082044788509937,0.680454651953383,0.19872490016151784,0.0,0.0,0.0,0.9854659329769768,0.680454651953383,0.3340794150696405,0.0,0.0,0.0,0.4927329664884884,0.0,0.16703970753482025,0.0,0.0,0.0
GRN,0.8926222222,0.1073777778,0.0,0,0,0,,,GRN,0.8926222222,0.1073777778,0,0,0,0,,GRN,0.8926222222,0.1073777778,0,0,0,0,1,,0.09284371075475449,0.6874673176381612,0.21968897160708437,0.0,0.0,0.0,0.9854659329769767,0.794845095415939,0.21968897160708437,0.0,0.0,0.0,0.49273296648848836,0.3974225477079695,0.0,0.0,0.0,0.0
ON,0,0,0,0.0,0,0,,,ON,0,0,0,0,0,0,,ON,0.5948432953,0.3120379328,0.09311877188,0,0,0,1,,0.3529220748515805,0.4681269890013947,0.17895093614702487,0.0,0.0,0.0,0.9477653701803055,0.780164921790095,0.2720697080295996,0.0,0.0,0.0,0.47388268509015274,0.3900824608950475,0.1360348540147998,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.5948432953,0.3120379328,0.09311877188,0,0,0,1,,0.3529220748515805,0.4681269890013947,0.17895093614702487,0.0,0.0,0.0,0.9477653701803055,0.780164921790095,0.2720697080295996,0.0,0.0,0.0,0.47388268509015274,0.3900824608950475,0.1360348540147998,0.0,0.0,0.0
OTH,0.2970643684,0.5166980878,0.1862375438,0,0,0.0,,,OTH,0.2970643684,0.5166980878,0.1862375438,0,0,0,,OTH,0.2970643684,0.5166980878,0.1862375438,0,0,0,1,,0.6130004389484065,0.24878666036462818,0.13821290068696535,0.0,0.0,0.0,0.9100648073836342,0.765484748164251,0.3244504444521148,0.0,0.0,0.0,0.4550324036918171,0.3827423740821255,0.1622252222260574,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIAN CAPITAL TERRITORY,RAW,,,,,,,,AUSTRALIAN CAPITAL TERRITORY,HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,162.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.355143856,0.3154918396,0,0.3293643044,0,1,,0.5251872983,0.10524869606436839,0.1598313223937393,0.0,0.2097326832395262,0.0,0.5251872983,0.46039255207937857,0.4753231620222418,0.0,0.5390969875960137,0.0,0,0.23019627603968928,0.2376615810111209,0.0,0.2695484937980068,0.0
LNP,0.4457817722,0.0,0.1225047421,0,0.4317134857,0,,,LNP,0.4457817722,0,0.1225047421,0,0.4317134857,0,,LNP,0.4457817722,0,0.1225047421,0,0.4317134857,0,1,,0.2649005540366318,0.273257485715835,0.2931125964402818,0.0,0.16872936380725134,0.0,0.7106823262342652,0.273257485715835,0.4156173385593316,0.0,0.6004428494905681,0.0,0.3553411631171326,0.0,0.2078086692796658,0.0,0.30022142474528407,0.0
GRN,0.7421147492,0.07907780114,0.0,0,0.1788074497,0,,,GRN,0.7421147492,0.07907780114,0,0,0.1788074497,0,,GRN,0.7421147492,0.07907780114,0,0,0.1788074497,0,1,,0.10731392744429602,0.3071514435099325,0.30696956776045,0.0,0.2785650612853215,0.0,0.8494286766182221,0.38622924465141645,0.30696956776045,0.0,0.4573725109699115,0.0,0.42471433830911104,0.19311462232570822,0.0,0.0,0.22868625548495575,0.0
ON,0,0,0,0.0,0,0,,,ON,0,0,0,0,0,0,,ON,0.4638752204,0.1904014215,0.169142993,0,0.1765803651,0,1,,0.28156592454205576,0.22116886846765743,0.23203837913626646,0.0,0.26522682785402046,0.0,0.7454411449592302,0.41157028999389955,0.40118137211727756,0.0,0.441807192929593,0.0,0.3727205724796151,0.20578514499694978,0.20059068605863878,0.0,0.2209035964647965,0.0
IND,0.4030172414,0.2438038793,0.3531788793,0,0.0,0,,,IND,0.4030172414,0.2438038793,0.3531788793,0,0,0,,IND,0.4030172414,0.2438038793,0.3531788793,0,0,0,1,,0.37078258082054827,0.171057706329456,0.15701578224730062,0.0,0.3011439306026951,0.0,0.7737998221998585,0.4148615856398008,0.5101946615576454,0.0,0.3011439306026951,0.0,0.3868999110999293,0.2074307928199004,0.2550973307788227,0.0,0.0,0.0
OTH,0.2645871189,0.4387240057,0.2008883505,0,0.09580052493,0.0,,,OTH,0.2645871189,0.4387240057,0.2008883505,0,0.09580052493,0,,OTH,0.2645871189,0.4387240057,0.2008883505,0,0.09580052493,0,1,,0.38326663586674675,0.13320883831540603,0.17105557009703337,0.0,0.31246895572081385,0.0,0.6478537547845744,0.5719328439685456,0.3719439205916831,0.0,0.4082694806551971,0.0,0.3239268773922872,0.2859664219842728,0.18597196029584154,0.0,0.20413474032759854,0.0
