INNER METRO,CLARK (TAS),RAW,,,,,,,,,AliveMask,,,,,,,,"CLARK
(TAS)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAS,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.005873461256,0.008327297435,0.004220714671,0.005435182677,0.006693343962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.3296588318,0.10352037569601621,0.14413210398813076,0.20166938108546906,0.2708933439623469,0.0,2,1.049874036,,True,True,True,True,True,False,LNP,,ROUND 2,0.3139984611,0.09860266289,0.1372851399,0.1920891212,0.2580246149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1035203757,,LNP,ALP+GRN+ON+IND,2,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.5636676919,0.0,0.0894056667039231,0.08347490779032078,0.26345173360208474,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.09860266289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05835109123,,0.009255308207,0.008641353816,0.02727262244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.388009923,0.0,0.1533874121946737,0.21031073490111338,0.29816596640260146,0.0,3,1.049874036,,True,False,True,True,True,False,GRN,,ROUND 3,0.3695775965,,0.1461007767,0.2003199694,0.2840016574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1533874122,,GRN,ALP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.6975639469,0.0,0.0,0.10500000000000001,0.19743605310322535,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1461007767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1069975287,,,0.01610567828,0.03028420526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4 (3CP),0.4950074517,0.0,0.0,0.22641641318155412,0.3284501716620354,0.0,4,1.049874036,,True,False,False,True,True,False,ON,,3CP,0.4714922309,,,0.215660551,0.3128472181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2264164132,,ON,ALP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.4055700609,0.0,0.0,0.0,0.5944299390774587,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.215660551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.09182771849,,,,0.1345886947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0.5868351701,0.0,0.0,0.0,0.4630388663556833,0.0,2.0,1.049874036,,True,False,False,False,True,False,IND,,2CP,0.5589576937,,,,0.4410423063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,4,,,,,,,,,,,,,SWING,-0.01883258118,,,,0.01883258118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,146.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIAL,BASS (TAS),RAW,,,,,,,,,AliveMask,,,,,,,,"BASS
(TAS)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.3081320949,0.2222507899,0.1423074503,0.2246774816,0.05517839135,0.04796034095,6,1.000506549,,True,True,True,True,True,False,OTH,,ROUND 1,0.3073451262,0.2216831619,0.1419439974,0.2241036558,0.05503746586,0.04783785035,,,,,,,,,,,,,,,,,,,,,,,,,,,
