16,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,STATUS
,,,Exclusion,,,,,,,Exclusion,,,,,,,Exclusion,,,,,,,Exclusion,,,,,
Division,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,
,Votes,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,
Wentworth*,11241,0.1017920693,,0,,0,0,2625,0.02377049923,,0,,0,0,41631,0.3769865346,,0,,0,0,0,0,,#DIV/0!,,#DIV/0!,#DIV/0!,
Sydney,23162,0.2159647176,,0,,0,0,3698,0.03448050798,,0,,0,0,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,2376,0.02215405272,,0,,0,0,
Kingsford Smith,13440,0.1355768067,12196.0,0.9074404762,1244.0,0.09255952381,1,5865,0.05916353952,1772.0,0.3021312873,4093.0,0.6978687127,1,3557,0.03588145099,2290.0,0.6438009559,1267.0,0.3561990441,1,0,0,,#DIV/0!,,#DIV/0!,#DIV/0!,Y
Bennelong,12931,0.1177558008,11749.0,0.9085917562,1182.0,0.09140824376,1,2534,0.02307580228,661.0,0.2608524073,1873.0,0.7391475927,1,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,6036,0.05496667031,2865.0,0.4746520875,3171.0,0.5253479125,1,Y
Bradfield*,7551,0.06729826563,,0,,0,0,1725,0.0153740575,,0,,0,0,34944,0.3114382988,,0,,0,0,2538,0.02261991765,,0,,0,0,
Warringah*,10051,0.1023195091,,0,,0,0,1978,0.0172157187,,0,,0,0,47094,0.4098872884,,0,,0,0,2588,0.02252491405,,0,,0,0,
Banks,11756,0.1188254915,10495.0,0.8927356244,1261.0,0.1072643756,1,3666,0.03190739371,1093.0,0.2981451173,2573.0,0.7018548827,1,1995,0.02016475464,1340.0,0.671679198,655.0,0.328320802,1,6796,0.06869156517,2863.0,0.4212772219,3933.0,0.5787227781,1,Y
Cook,10575,0.09942273702,9150.0,0.865248227,1425.0,0.134751773,1,4638,0.04687926416,1044.0,0.2250970246,3594.0,0.7749029754,1,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,6556,0.06163739611,1862.0,0.2840146431,4694.0,0.7159853569,1,Y
Barton,15885,0.1589278747,14033.0,0.8834120239,1852.0,0.1165879761,1,5573,0.05239554737,1818.0,0.3262156828,3755.0,0.6737843172,1,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,7233,0.07236545907,3022.0,0.4178072722,4211.0,0.5821927278,1,Y
Blaxland,6854,0.07888497572,5995.0,0.8746717245,859.0,0.1253282755,1,3086,0.03087512881,978.0,0.3169151005,2108.0,0.6830848995,1,16302,0.187625164,14265.0,0.8750460066,2037.0,0.1249539934,1,3620,0.04166378933,1235.0,0.341160221,2385.0,0.658839779,1,Y
Grayndler,27847,0.2511499125,,0,,0,0,3505,0.04034021592,,0,,0,0,2566,0.02314255308,,0,,0,0,1729,0.01559371562,,0,,0,0,
Parramatta*,11766,0.1210618376,10516.0,0.8937616862,1250.0,0.1062383138,1,2653,0.02392719926,626.0,0.2359592914,2027.0,0.7640407086,1,2517,0.0258977261,943.0,0.3746523639,556.0,0.2208978943,0.5955502582,3967,0.04081695648,1623.0,0.4091252836,2344.0,0.5908747164,1,Y
Reid,11680,0.1153956351,10122.0,0.866609589,1558.0,0.133390411,1,2352,0.02420002058,529.0,0.224914966,1823.0,0.775085034,1,3098,0.03060750664,2202.0,0.7107811491,896.0,0.2892188509,1,2814,0.02780165387,743.0,0.2640369581,2071.0,0.7359630419,1,Y
Watson*,7399,0.08932322476,,0,,0,0,2674,0.02641848701,,0,,0,0,13264,0.1601274839,,0,,0,0,7149,0.0863051404,,0,,0,0,
Berowra*,13781,0.119245812,12196.0,0.8849865757,1585.0,0.1150134243,1,4705,0.05680034768,737.0,0.1566418704,3968.0,0.8433581296,1,14371,0.1243510314,9986.0,0.6948716164,3449.0,0.2399972166,0.9348688331,3281,0.02839021182,1426.0,0.4346235904,1855.0,0.5653764096,1,Y
Mackellar*,6858,0.06131590476,,0,,0,0,2825,0.0244444829,,0,,0,0,45481,0.4066358508,,0,,0,0,3537,0.03162355718,,0,,0,0,
Mitchell,15044,0.1373216617,12292.0,0.8170699282,2752.0,0.1829300718,1,4680,0.04184287464,1085.0,0.2318376068,3595.0,0.7681623932,1,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,2675,0.02441740527,831.0,0.3106542056,1844.0,0.6893457944,1,Y
Chifley,8724,0.09756861342,,0,,0,0,5338,0.04872527452,,0,,0,0,1519,0.01698839108,,0,,0,0,9142,0.1022434965,,0,,0,0,
Fowler,6288,0.06765800856,,0,,0,0,3835,0.04289037511,,0,,0,0,31108,0.3347177688,,0,,0,0,5394,0.05803869246,,0,,0,0,
Greenway,11018,0.1072259257,,0,,0,0,4700,0.05057134864,,0,,0,0,2711,0.02638314437,,0,,0,0,4294,0.04178872074,,0,,0,0,
Lindsay,9416,0.09593870356,,0,,0,0,6736,0.06555398764,,0,,0,0,1099,0.01119760357,,0,,0,0,10390,0.1058626944,,0,,0,0,
McMahon,8923,0.09120457914,,0,,0,0,8544,0.0870539808,,0,,0,0,9613,0.09825726989,,0,,0,0,0,0,,#DIV/0!,,#DIV/0!,#DIV/0!,
Hughes,11221,0.114156366,,0,,0,0,5263,0.05379465426,,0,,0,0,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,7649,0.07781677603,,0,,0,0,
Hume,8455,0.08500306634,,0,,0,0,7967,0.0810519355,,0,,0,0,4435,0.04458765219,,0,,0,0,7922,0.07964450521,,0,,0,0,
Macarthur,12012,0.1284211427,,0,,0,0,7336,0.07375310404,,0,,0,0,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,7515,0.08034339719,,0,,0,0,
Werriwa,9747,0.1112493437,,0,,0,0,3499,0.03740805679,,0,,0,0,2232,0.02547538065,,0,,0,0,9348,0.106695277,,0,,0,0,
Dobell,10647,0.1029421718,,0,,0,0,9040,0.1031798571,,0,,0,0,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,10715,0.1035996403,,0,,0,0,
Newcastle,24061,0.222239669,,0,,0,0,5789,0.05597184488,,0,,0,0,888,0.008202020948,,0,,0,0,7836,0.07237729296,,0,,0,0,
Paterson*,8219,0.07560899323,,0,,0,0,8254,0.07623815418,,0,,0,0,13145,0.120924713,,0,,0,0,9194,0.08457830439,,0,,0,0,
Robertson,9119,0.08987512689,,0,,0,0,7032,0.06468943185,,0,,0,0,3376,0.0332732129,,0,,0,0,5694,0.05611897933,,0,,0,0,
Shortland,12257,0.1133773634,,0,,0,0,9813,0.09671505869,,0,,0,0,4805,0.04444629445,,0,,0,0,4680,0.04329004329,,0,,0,0,
Macquarie,13666,0.1245704389,,0,,0,0,9587,0.08867983868,,0,,0,0,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,5036,0.04590492685,,0,,0,0,
Cowper*,4552,0.0422518216,,0,,0,0,6856,0.06249487261,,0,,0,0,32508,0.3017403815,,0,,0,0,10270,0.09532649557,,0,,0,0,
Cunningham,23584,0.2042364515,,0,,0,0,8765,0.08135703346,,0,,0,0,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,4705,0.04074510279,,0,,0,0,
Whitlam*,13568,0.1241172381,,0,,0,0,8379,0.0725617888,,0,,0,0,9362,0.08564162611,,0,,0,0,4869,0.0445405979,,0,,0,0,
Calare*,3753,0.03531670227,,0,,0,0,8200,0.07501189213,,0,,0,0,41928,0.3945533421,,0,,0,0,9723,0.09149594888,,0,,0,0,
Eden-Monaro*,10739,0.1002820111,,0,,0,0,7451,0.07011584029,,0,,0,0,4200,0.03922008068,,0,,0,0,4468,0.04172269535,,0,,0,0,
Gilmore,7932,0.07142535546,,0,,0,0,5557,0.05189190199,,0,,0,0,8371,0.07537842292,,0,,0,0,8604,0.07747652022,,0,,0,0,
Hunter,8286,0.07419944122,,0,,0,0,18011,0.1621838221,,0,,0,0,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,16503,0.1477810015,,0,,0,0,
Lyne,6977,0.06380429813,,0,,0,0,9174,0.08215130024,,0,,0,0,16943,0.1549428441,,0,,0,0,14969,0.1368907179,,0,,0,0,
New England,9023,0.07890962517,,0,,0,0,11387,0.1041335162,,0,,0,0,4240,0.03708044007,,0,,0,0,6752,0.05904885173,,0,,0,0,
Page*,16265,0.1511701396,,0,,0,0,6132,0.05362671191,,0,,0,0,3691,0.03430488689,,0,,0,0,9746,0.09058125918,,0,,0,0,
Parkes,6404,0.06105618427,,0,,0,0,14320,0.1330929234,,0,,0,0,2597,0.02475997979,,0,,0,0,19024,0.1813761477,,0,,0,0,
Richmond*,27783,0.2647210153,,0,,0,0,5709,0.05443000563,,0,,0,0,2731,0.02602141932,,0,,0,0,11033,0.1051242473,,0,,0,0,
Farrer,5085,0.04933875397,,0,,0,0,6803,0.06482010824,,0,,0,0,20567,0.1995575522,,0,,0,0,10314,0.1000747116,,0,,0,0,
Riverina,4767,0.04504095921,,0,,0,0,10427,0.1011711283,,0,,0,0,17520,0.1655375719,,0,,0,0,10939,0.103357049,,0,,0,0,
Chisholm,18111.0,0.1607109581,,0,,0,0,3743.0,0.03321413043,,0,,0,0,8210.0,,,0,,0,#REF!,4148.0,,,0,,0,0,
Goldstein,8728.0,0.07545408176,,0,,0,0,3846.0,0.03324889992,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,3743.0,,,0,,0,0,
Hotham,19278.0,0.1815066236,,0,,0,0,7215.0,0.06793081696,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,6246.0,,,0,,0,0,
Kooyong,9219.0,0.08025803756,,0,,0,0,2275.0,0.0198055142,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,2599.0,,,0,,0,0,
Macnamara,26750.0,0.2665988957,,0,,0,0,3853.0,0.0384002073,,0,,0,0,2128.0,,,0,,0,#REF!,1299.0,,,0,,0,0,
Cooper,,0,,#DIV/0!,,#DIV/0!,#DIV/0!,6181.0,0.05745171305,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,13911.0,,,0,,0,0,
