,Round 4 (3CP),0.4177281674,0.16074301807769295,0.0,0.0,0.29484593309417306,0.0,2,0.8733171186,,True,True,False,False,True,False,LNP,,2CP,0.4783235763,0.1840603083,,,0.3376161154,,,,Round 4 (3CP),0.4896912455,0.0,0.25750755801110586,0.0,0.12319813687939665,0.0,5,0.8703969404,,True,False,True,False,True,False,IND,,3CP,0.5626068093,,0.295850716,,0.1415424747,,,,Round 4 (3CP),0.4902582403,0.17728551641928209,0.20039267888774592,0.0,0.0,0.0,2,0.8679364356,,True,True,True,False,False,False,LNP,,3CP,0.5648550057,0.2042609449,0.2308840494,,,
,Eliminated ,0.1607430181,,LNP,ALP+IND,2,,,,,,,,,,,,,SWING,-0.02508440811,,,,-0.1589759002,,,,Eliminated ,0.1231981369,,IND,ALP+GRN,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1772855164,,LNP,ALP+GRN,2,,,,,,,,,,,,,SWING,-0.1559580368,-0.07492601258,,,,
,Weights,0.2020535081,0.0,0.0,0.0,0.797946491923703,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1840603083,,,,,Weights,0.532953331,0.0,0.4670466690416815,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.1415424747,,,,,Weights,0.736501391,0.0,0.2634986089848058,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2042609449,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0324786907,,,,0.1282643274,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06565885742,,0.05753927946,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,0.04671448697,,,
,Round 5 (2CP),0.4502068581,0.0,0.0,0.0,0.4231102604704965,0.0,2.0,0.8733171186,,True,False,False,False,True,False,IND,,2CP,0.4783235763,0.1840603083,,,0.3376161154,,,,Round 5 (2CP),0.5553501029,0.0,0.3150468374727692,0.0,0.0,0.0,2.0,0.8703969404,,True,False,True,False,False,False,GRN,,2CP,0.6380423427,,0.3619576573,,,,,,Round 5 (2CP),0.6208292698,0.0,0.2471071658573797,0.0,0.0,0.0,2.0,0.8679364356,,True,False,True,False,False,False,GRN,,2CP,0.5648550057,0.2042609449,0.2308840494,,,
,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.02508440811,,,,-0.1589759002,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.05716669324,,0.05716669324,,,,,,,Primary row,,,,2,,,,,,,,,,,,,SWING,-0.1559580368,-0.07492601258,,,,
,,150.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,151.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,152.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTER METRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
