Division,DivisionKey,State,Classification,ReviewPriority,SuggestedKToTest,UseOverride,SeatShrinkageK,Rationale
Richmond,RICHMOND,NSW,Rural,Low,,False,,
Bass,BASS,TAS,Provincial,Low,,False,,
Grey,GREY,SA,Rural,Low,,False,,
McPherson,MCPHERSON,QLD,Provincial,Low,,False,,
Bonner,BONNER,QLD,Outer metro,Low,,False,,
Menzies,MENZIES,VIC,Outer metro,Low,,False,,
Bruce,BRUCE,VIC,Outer metro,Low,,False,,
Kingston,KINGSTON,SA,Outer metro,Low,,False,,
Oxley,OXLEY,QLD,Outer metro,Low,,False,,
Mitchell,MITCHELL,NSW,Outer metro,Low,,False,,
Sturt,STURT,SA,Inner metro,Low,,False,,
Lalor,LALOR,VIC,Outer metro,Low,,False,,
Berowra,BEROWRA,NSW,Outer metro,Low,,False,,
Kingsford Smith,KINGSFORD SMITH,NSW,Inner metro,Low,,False,,
New England,NEW ENGLAND,NSW,Rural,Low,,False,,
Hotham,HOTHAM,VIC,Inner metro,Low,,False,,
Grayndler,GRAYNDLER,NSW,Inner metro,Low,,False,,
Burt,BURT,WA,Outer metro,Low,,False,,
Ballarat,BALLARAT,VIC,Provincial,Low,,False,,
Isaacs,ISAACS,VIC,Outer metro,Low,,False,,
Bennelong,BENNELONG,NSW,Inner metro,Low,,False,,
Spence,SPENCE,SA,Outer metro,Low,,False,,
Macarthur,MACARTHUR,NSW,Outer metro,Low,,False,,
Gellibrand,GELLIBRAND,VIC,Inner metro,Low,,False,,
Eden-Monaro,EDEN-MONARO,NSW,Rural,Low,,False,,
Calwell,CALWELL,VIC,Outer metro,Low,,False,,
Hindmarsh,HINDMARSH,SA,Inner metro,Low,,False,,
Hawke,HAWKE,VIC,Provincial,Low,,False,,
Parramatta,PARRAMATTA,NSW,Inner metro,Low,,False,,
Chifley,CHIFLEY,NSW,Outer metro,Low,,False,,
Calare,CALARE,NSW,Rural,Low,,False,,
O'Connor,O'CONNOR,WA,Rural,Low,,False,,
Wright,WRIGHT,QLD,Rural,Low,,False,,
Reid,REID,NSW,Inner metro,Low,,False,,
Franklin,FRANKLIN,TAS,Outer metro,Low,,False,,
Wannon,WANNON,VIC,Rural,Low,,False,,
Durack,DURACK,WA,Rural,Low,,False,,
Leichhardt,LEICHHARDT,QLD,Rural,Low,,False,,
Watson,WATSON,NSW,Inner metro,Low,,False,,
Mallee,MALLEE,VIC,Rural,Low,,False,,
Farrer,FARRER,NSW,Rural,Low,,False,,
Moncrieff,MONCRIEFF,QLD,Provincial,Low,,False,,
Scullin,SCULLIN,VIC,Outer metro,Low,,False,,
Shortland,SHORTLAND,NSW,Provincial,Low,,False,,
Lyne,LYNE,NSW,Rural,Low,,False,,
Greenway,GREENWAY,NSW,Outer metro,Low,,False,,
Nicholls,NICHOLLS,VIC,Rural,Low,,False,,
Hume,HUME,NSW,Outer metro,Low,,False,,
Corangamite,CORANGAMITE,VIC,Provincial,Low,,False,,
Aston,ASTON,VIC,Outer metro,Low,,False,,
Rankin,RANKIN,QLD,Outer metro,Low,,False,,
Hunter,HUNTER,NSW,Rural,Low,,False,,
Canberra,CANBERRA,ACT,Inner metro,Low,,False,,
Blair,BLAIR,QLD,Provincial,Low,,False,,
Maribyrnong,MARIBYRNONG,VIC,Inner metro,Low,,False,,
Perth,PERTH,WA,Inner metro,Low,,False,,
