ENTRANT,ALP,LNP,GRN,ON,IND,OTH
GRN,0.15907469711906935,0.11319682677692824,0.045006417571532974,0.2811729607683816,0.3866714572409305,0.014877640523157154
ON,0.17231649996273066,0.0930847876043698,0.08279451571765009,0.0,0.5626780353538582,0.08912616136139129
IND,0.1576949369110827,0.10876606566129415,0.11002494202643034,0.19645807385679986,0.0,0.427055981544393
OTH,0.08956871826503815,0.13799513056253104,0.09648224606747251,0.1618364724777627,0.5141174326271954,0.0
