State,ALP_seats,LNP_seats,GRN_seats,ON_seats,IND_seats,OTH_seats
National,94,43,1,0,10,2
NSW,28,12,0,0,6,0
VIC,27,9,0,0,2,0
QLD,12,16,1,0,0,1
WA,11,4,0,0,1,0
SA,7,2,0,0,0,1
TAS,4,0,0,0,1,0
ACT,3,0,0,0,0,0
NT,2,0,0,0,0,0
