division,reason,sheet_winner,winner_python,winner_no_calibration,sheet_runner_up,runner_up_python,runner_up_no_calibration,sheet_final_two,final_two_python,final_two_no_calibration,sheet_winner_pct,winner_pct_python,winner_pct_no_calibration,winner_diff_pp,winner_diff_pp_no_calibration,runner_diff_pp,sheet_positive_parties,sheet_note
Lyne,matches_original_sheet,LNP,LNP,LNP,IND,IND,ON,IND+LNP,IND+LNP,LNP+ON,0.5538357561,0.5538357560907401,0.563511990478202,9.259926159188581e-10,0.9676234378201976,9.259926159188581e-10,2,
Cowper,matches_original_sheet,LNP,LNP,LNP,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,0.5124413808,0.5124413808090766,0.5209383652800236,9.076628337822967e-10,0.8496984480023562,9.076628337822967e-10,2,
Flynn,matches_original_sheet,ON,ON,ON,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,0.6193714271,0.6193714270912168,0.6193714270912168,8.783196392414538e-10,8.783196392414538e-10,8.783196392414538e-10,2,Base merges IND when it should exclude lowest 2
Macarthur,matches_original_sheet,ALP,ALP,ALP,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,0.5908062029,0.5908062028919843,0.5908062028919843,8.015699215491168e-10,8.015699215491168e-10,8.015865748944861e-10,2,
Durack,matches_original_sheet,LNP,LNP,ON,ON,ON,OTH,LNP+ON,LNP+ON,ON+OTH,0.503650526,0.5036505259923825,0.5033620664487368,7.617573238860587e-10,0.028845955126322043,7.617462216558124e-10,2,Two LNP
Fisher,matches_original_sheet,LNP,LNP,LNP,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,0.5150512778,0.5150512777931865,0.5150512777931865,6.813549724427048e-10,6.813549724427048e-10,6.813494213275817e-10,2,
Curtin,matches_original_sheet,IND,IND,LNP,LNP,LNP,IND,IND+LNP,IND+LNP,IND+LNP,0.5513729032,0.5513729032066135,0.5070485395283613,6.613487535389595e-10,4.432436367163872,6.613487535389595e-10,2,
Moore,matches_original_sheet,LNP,LNP,ALP,ALP,ALP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,0.5081762093,0.5081762092942124,0.5025393773960586,5.787592627370941e-10,0.5636831903941375,5.787648138522172e-10,2,Base merges IND when it should exclude lowest 2
McMahon,matches_original_sheet,ALP,ALP,ALP,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,0.5684495415,0.5684495414948288,0.56962607164273,5.171196804099054e-10,0.11765301427300034,5.171085781796592e-10,2,
Barton,matches_original_sheet,ALP,ALP,ALP,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,0.6087426909,0.6087426909050562,0.6087426909050562,5.056177698747888e-10,5.056177698747888e-10,5.056177698747888e-10,2,Rethrow prefs
Goldstein,matches_original_sheet,IND,IND,LNP,LNP,LNP,IND,IND+LNP,IND+LNP,IND+LNP,0.5163569282,0.5163569281952162,0.5389720429253682,4.783839990807337e-10,2.2615114725368146,4.7839510131098e-10,2,Rethrow prefs
Casey,matches_original_sheet,LNP,LNP,LNP,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.5438016336,0.5438016335953936,0.5596325465601579,4.606426351472237e-10,1.5830912960157928,4.606370840321006e-10,2,Rethrow prefs
Richmond,matches_original_sheet,GRN,GRN,GRN,ON,ON,ON,GRN+ON,GRN+ON,GRN+ON,0.6462146373,0.6462146373032229,0.6462146373032229,3.2229774404868294e-10,3.2229774404868294e-10,3.2229774404868294e-10,2,
Hindmarsh,matches_original_sheet,ALP,ALP,ALP,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,0.6238209643,0.6238209643030302,0.6238209643030302,3.0302427234119023e-10,3.0302427234119023e-10,3.030187212260671e-10,2,
Lilley,matches_original_sheet,ALP,ALP,ALP,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,0.6143723352,0.614372335202539,0.614372335202539,2.5389690350152705e-10,2.5389690350152705e-10,2.538913523864039e-10,2,
Deakin,matches_original_sheet,ALP,ALP,LNP,LNP,LNP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.5055458185,0.5055458184974865,0.500761381269036,2.5135449277513544e-10,0.47844372309640004,2.513655950053817e-10,2,Rethrow prefs
Werriwa,matches_original_sheet,ALP,ALP,ALP,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,0.5472762346,0.5472762346008302,0.5546023438525906,8.30224777814692e-11,0.7326109252590585,8.301692666634608e-11,2,
Franklin,old_sheet_marked_inconsistent,ALP,ALP,ALP,IND,IND,IND,ALP+IND,ALP+IND,ALP+IND,0.5589576937,0.5017370119419273,0.5589576937228905,5.722068175807271,2.2890467299419015e-09,5.7220681758072764,2,Base merges IND when it should exclude lowest 2
Moncrieff,old_sheet_marked_inconsistent,LNP,LNP,LNP,ALP,ON,ALP,ALP+LNP,LNP+ON,ALP+LNP,0.6015652905,0.5702553545704065,0.5997323595133828,3.1309935929593413,0.18329309866171872,3.1309935929593466,2,Base merges IND when it should exclude lowest 2
Wannon,old_sheet_marked_inconsistent,LNP,LNP,LNP,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,0.5387317494,0.5263569202888894,0.5387317493867998,1.2374829111110652,1.3200218695885724e-09,1.2374829111110652,2,Rethrow prefs
Groom,old_sheet_marked_inconsistent,LNP,LNP,LNP,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,0.5340710086,0.5219095063107788,0.5340710085327318,1.2161502289221193,6.726819101743331e-09,1.2161502289221249,2,Base merges IND when it should exclude lowest 2
Fairfax,old_sheet_marked_inconsistent,LNP,LNP,LNP,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.5768669348,0.5689830460538976,0.57686693481079,0.7883888746102352,1.0790035531726971e-09,0.7883888746102519,2,Base merges IND when it should exclude lowest 2
McPherson,old_sheet_marked_inconsistent,LNP,LNP,LNP,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.5718195699,0.5767714019634428,0.5718195699178947,0.49518320634427404,1.7894685733210736e-09,0.49518320634427404,2,Base merges IND when it should exclude lowest 2
Mallee,old_sheet_marked_inconsistent,LNP,LNP,LNP,ON,ON,ON,LNP+ON,LNP+ON,LNP+ON,0.550831271,0.549905629297305,0.5508312709714611,0.09256417026949348,2.853883795950196e-09,0.09256417026949904,2,Rethrow prefs
Fenner,original_sheet_export_not_true_2cp,ALP,ALP,ALP,GRN,GRN,GRN,ALP+GRN+LNP,ALP+GRN,ALP+GRN,0.5648550057,0.7152934757527789,0.7152934757527789,15.043847005277888,15.043847005277888,5.382247484722102,3,
Bean,original_sheet_export_not_true_2cp,ALP,ALP,ALP,IND,IND,IND,ALP+IND+LNP,ALP+IND,ALP+IND,0.4783235763,0.5155136072964664,0.5155136072964664,3.719003099646645,3.719003099646645,14.687027730353353,3,
Lindsay,vote_total_difference_only,LNP,LNP,LNP,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.5435755861,0.5322710827036355,0.5322710827036355,1.1304503396364463,1.1304503396364463,1.1304503396364518,2,
Canning,vote_total_difference_only,LNP,LNP,LNP,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.5590546078,0.5624082077362892,0.5624082077362892,0.3353599936289142,0.3353599936289142,0.3353599936289253,2,
