division,division_key,state,classification,review_priority,priority_reason,override_review_candidate,candidate_k_to_test,winner_changed,final_two_changed,elimination_order_changed,current_winner,unshrunk_winner,actual_winner,current_final_two,unshrunk_final_two,actual_final_two,current_matches_actual_winner,unshrunk_matches_actual_winner,current_matches_actual_final_two,unshrunk_matches_actual_final_two,winner_pct_change_pp,final_distribution_change_pp,seat_flow_scenarios,encountered_scenarios,max_flow_total_variation_pp,max_recipient_shift_pp,max_estimated_round_effect_pp,most_distinctive_scenario,position_conflicts,current_elimination_order,unshrunk_elimination_order
Whitlam,WHITLAM,NSW,Provincial,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.757325341663384,0.7573253416633813,4,2,10.65168856425299,8.657172891598714,1.0066765403073776,IND|ALP+GRN+LNP+ON,0,OTH>IND>GRN>LNP,OTH>IND>GRN>LNP
Fisher,FISHER,QLD,Rural,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,LNP,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,0.06534730075187234,0.06534730075187789,4,2,12.233664985626195,12.233664985626191,0.9047636121068132,OTH|ALP+GRN+IND+LNP+ON,0,OTH>GRN>ALP>ON,OTH>GRN>ALP>ON
Banks,BANKS,NSW,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.33607936701957053,0.33607936701956775,4,2,10.753416454724507,10.753416454724507,0.6889638379370439,OTH|ALP+GRN+LNP+ON,0,IND>OTH>GRN>ON,IND>OTH>GRN>ON
Bradfield,BRADFIELD,NSW,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,0.5491135726902518,0.5491135726902574,4,2,12.36981205117376,10.954671695672264,0.6225193058443436,OTH|ALP+GRN+IND+LNP+ON,0,OTH>GRN>ON>ALP,OTH>GRN>ON>ALP
Lindsay,LINDSAY,NSW,Outer metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.6878211159864867,0.6878211159864894,4,3,11.804062444565433,11.804062444565433,0.6126356768078824,IND|ALP+GRN+LNP+ON+OTH,0,OTH>GRN>ON,OTH>GRN>ON
Melbourne,MELBOURNE,VIC,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,GRN,GRN,GRN,ALP+GRN,ALP+GRN,ALP+GRN,True,True,True,True,0.18224687130570238,0.18224687130569683,4,1,20.22568823042473,16.211451541823706,0.5817792922426799,OTH|ALP+GRN+IND+LNP+ON,0,OTH>IND>LNP>ON,OTH>IND>LNP>ON
Solomon,SOLOMON,NT,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,False,False,True,True,0.1572779299803373,0.1572779299803373,4,1,14.180972781712248,12.622012122154569,0.4491083229037428,OTH|ALP+GRN+IND+LNP+ON,0,OTH>GRN>IND>ON,OTH>GRN>IND>ON
Sydney,SYDNEY,NSW,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,ALP,ALP+GRN,ALP+GRN,ALP+GRN,True,True,True,True,0.20413736755087175,0.2041373675508662,3,1,22.28556945701345,21.052402810829207,0.43671129082845467,OTH|ALP+GRN+LNP+ON,0,OTH>LNP>ON,OTH>LNP>ON
Fremantle,FREMANTLE,WA,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,IND,ALP+IND,ALP+IND,ALP+IND,False,False,True,True,0.04778386127619605,0.047783861276198825,4,1,13.93366529830558,7.020432482200703,0.39977835790995125,OTH|ALP+GRN+IND+LNP+ON,0,OTH>LNP>GRN>ON,OTH>LNP>GRN>ON
Flinders,FLINDERS,VIC,Rural,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,LNP,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,0.12051475548017221,0.12051475548017221,4,1,23.872819732948642,23.872819732948646,0.3402409747781806,ALP|IND+LNP,0,OTH>GRN>ALP>ON,OTH>GRN>ALP>ON
