division,round,eliminated,alive_after,basis,reliability,reliability_reason,pooled_evidence_seats,pooled_mean_variance,class_evidence_seats,nearest_distance,position_conflict,coverage,anchor_weight
Dobell,2,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,3,nan,False,1.0,0.0
Dobell,3,LNP,ALP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Newcastle,1,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,11,nan,False,1.0,0.0
Newcastle,2,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,1.0,0.0
Newcastle,3,GRN,ALP+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 21 seats.",21,0.0,0,1.0,False,0.0,0.0
Paterson,1,OTH,ALP+GRN+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,55,0.007226873927393435,10,nan,False,1.0,0.0
Paterson,2,GRN,ALP+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,10,0.006923713178850636,2,nan,False,1.0,0.0
Paterson,3,IND,ALP+LNP+ON,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,5,nan,False,1.0,0.0
Paterson,4,LNP,ALP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Robertson,1,IND,ALP+GRN+LNP+ON+OTH,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,26,0.005372962514514995,4,nan,False,1.0,0.0
Robertson,2,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,11,nan,False,1.0,0.0
Robertson,3,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,3,nan,False,1.0,0.0
Robertson,4,LNP,ALP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Shortland,1,IND,ALP+GRN+LNP+ON+OTH,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 26 seats.,26,0.005372962514514995,4,nan,False,1.0,0.0
Shortland,2,OTH,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 73 seats.,73,0.00802382233899586,11,nan,False,0.7217948717749616,0.0
Shortland,3,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,3,nan,False,1.0,0.0
Shortland,4,LNP,ALP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Macquarie,1,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,11,nan,False,1.0,0.0
Macquarie,2,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,3,nan,False,1.0,0.0
Macquarie,3,LNP,ALP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Cowper,1,ALP,GRN+IND+LNP+ON+OTH,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,2,nan,False,1.0,0.0
Cowper,2,GRN,IND+LNP+ON+OTH,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 3 seats.",3,0.0,0,1.0,False,0.7706590492114671,0.0
Cowper,3,OTH,IND+LNP+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,0.8020342972000001,0.0
Cowper,4,ON,IND+LNP,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,3,nan,False,0.8972383993999999,0.0
Cunningham,1,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,11,nan,False,1.0,0.0
Cunningham,2,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,0.0,0.0
Cunningham,3,GRN,ALP+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 21 seats.",21,0.0,0,1.0,False,0.852097291,0.0
Whitlam,1,OTH,ALP+GRN+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,55,0.007226873927393435,10,nan,False,1.0,0.0
Whitlam,2,IND,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,16,0.00456985146000111,5,nan,False,1.0,0.0
