division,division_key,state,classification,scenario,eliminated,alive_set,historical_votes_at_elimination,position_conflict,current_seat_evidence_weight,flow_total_variation_pp,max_recipient_shift_pp,largest_shift_recipient,largest_shift_direction,largest_shift_signed_pp,encountered_current_path,encountered_unshrunk_path,current_model_transfer_pct,estimated_current_round_effect_pp,local_ALP,local_LNP,local_GRN,local_ON,local_IND,local_OTH,current_ALP,current_LNP,current_GRN,current_ON,current_IND,current_OTH
Macquarie,MACQUARIE,NSW,Provincial,ON|ALP+GRN+LNP,ON,ALP+GRN+LNP,12315.0,False,0.4973863553484676,4.672660565554096,4.672660565554098,LNP,away from local history,-4.672660565554098,False,False,,0.0,0.1621599675192854,0.706861550954121,0.1309784815265935,0.0,0.0,0.0,0.1754188112358597,0.6601349452985801,0.1644462434655602,0.0,0.0,0.0
Riverina,RIVERINA,NSW,Rural,ON|ALP+LNP,ON,ALP+LNP,21082.0,False,0.49385098454142856,4.6640700049451285,4.664070004945131,LNP,toward pooled evidence,4.664070004945131,False,False,,0.0,0.3627739303671378,0.6372260696328621,0.0,0.0,0.0,0.0,0.3161332303176866,0.6838667696823135,0.0,0.0,0.0,0.0
Whitlam,WHITLAM,NSW,Provincial,GRN|ALP+LNP,GRN,ALP+LNP,18404.0,False,0.49623399434240484,4.642452823573392,4.642452823573395,ALP,toward pooled evidence,4.642452823573395,False,False,,0.0,0.7113670941099761,0.2886329058900239,0.0,0.0,0.0,0.0,0.7577916223457101,0.24220837765428999,0.0,0.0,0.0,0.0
Sturt,STURT,SA,Inner metro,OTH|ALP+GRN+IND+LNP+ON,OTH,ALP+GRN+IND+LNP+ON,4833.0,False,0.4928760932248753,4.613255879931947,4.246654064445793,ON,away from local history,-4.246654064445793,True,True,3.9060712861171827,0.18019706328113436,0.1135940409683426,0.2040140699358576,0.0984895510035174,0.4109248913718187,0.1729774467204634,0.0,0.12263448973730334,0.20034805178099613,0.1248414360232022,0.3684583507273609,0.18371767173113746,0.0
Franklin,FRANKLIN,TAS,Outer metro,GRN|ALP+IND+LNP,GRN,ALP+IND+LNP,8422.0,False,0.4891380938285854,4.587923447896822,4.587923447896819,IND,away from local history,-4.587923447896819,False,False,,0.0,0.4430064117786749,0.0397767751127998,0.0,0.0,0.5172168131085253,0.0,0.4680727569040819,0.060589664466361035,0.0,0.0,0.4713375786295571,0.0
Cooper,COOPER,VIC,Inner metro,ON|ALP+GRN+LNP+OTH,ON,ALP+GRN+LNP+OTH,6181.0,False,0.48628650106215887,4.574768925396529,4.126247668539418,ALP,away from local history,-4.126247668539418,False,False,,0.0,0.2214851965701343,0.5351884808283449,0.0718330367254489,0.0,0.0,0.1714932858760718,0.18022271988474015,0.5307032682597739,0.08503197102114834,0.0,0.0,0.20404204083433763
Kingsford Smith,KINGSFORD SMITH,NSW,Inner metro,IND|ALP+GRN+LNP+ON,IND,ALP+GRN+LNP+ON,3557.0,False,0.49547153734336485,4.56517213066342,3.8190512199623052,ON,toward pooled evidence,3.8190512199623052,True,True,3.3208784051660443,0.15160381544586013,0.2836660106831599,0.1757098678661793,0.3789710430137756,0.161653078436885,0.0,0.0,0.2723511572649893,0.18317107697319046,0.34463417512531214,0.19984359063650808,0.0,0.0
Makin,MAKIN,SA,Outer metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,11227.0,False,0.49210290739708495,4.547790540700306,3.9048013328558504,GRN,away from local history,-3.9048013328558504,True,True,8.421552219084216,0.3829945551996487,0.1579228645230248,0.134853478222143,0.2951812594637926,0.4120423977910394,0.0,0.0,0.16959138233510726,0.16866286581706366,0.25613324613523414,0.405612505712595,0.0,0.0
Paterson,PATERSON,NSW,Provincial,OTH|ALP+GRN+IND+LNP+ON,OTH,ALP+GRN+IND+LNP+ON,11774.0,False,0.4928760932248753,4.524363027776534,3.452771597666679,ALP,away from local history,-3.452771597666679,True,True,7.0617703088587644,0.31950012496050667,0.2023951078647868,0.1428571428571428,0.157975199592322,0.2772209954136232,0.219551554272125,0.0,0.16786739188812,0.15745453700100792,0.15116295911491703,0.30786723154752355,0.21564788044843153,0.0
Gilmore,GILMORE,NSW,Rural,OTH|ALP+GRN+IND+LNP+ON,OTH,ALP+GRN+IND+LNP+ON,8604.0,False,0.4928760932248753,4.508551043249486,2.3104637065881564,IND,toward pooled evidence,2.3104637065881564,True,True,7.127789017857446,0.3213600061252342,0.1608554160855416,0.1513249651324965,0.1354021385402138,0.3907484890748489,0.1616689911668991,0.0,0.1388375235021743,0.17330583849910974,0.12491986187932155,0.3781631478866136,0.18477362823278068,0.0
Fremantle,FREMANTLE,WA,Inner metro,LNP|ALP+IND,LNP,ALP+IND,23174.0,False,0.48741049589258173,4.483521623467227,4.4835216234672295,ALP,toward pooled evidence,4.4835216234672295,False,False,,0.0,0.2560196772244757,0.0,0.0,0.0,0.7439803227755243,0.0,0.300854893459148,0.0,0.0,0.0,0.699145106540852,0.0
Leichhardt,LEICHHARDT,QLD,Rural,ON|ALP+LNP,ON,ALP+LNP,18255.0,False,0.49385098454142856,4.471541791473166,4.471541791473166,ALP,away from local history,-4.471541791473166,False,False,,0.0,0.358970145165708,0.641029854834292,0.0,0.0,0.0,0.0,0.31425472725097636,0.6857452727490236,0.0,0.0,0.0,0.0
Lyne,LYNE,NSW,Rural,GRN|ALP+IND+LNP+ON,GRN,ALP+IND+LNP+ON,8965.0,False,0.4931708529322558,4.4689422573441195,4.468942257344121,ALP,away from local history,-4.468942257344121,False,False,,0.0,0.5255995538204127,0.0785276073619632,0.0,0.0742889012827663,0.3215839375348577,0.0,0.4809101312469716,0.07887591535917059,0.0,0.0759494289730938,0.36426452442076407,0.0
Corio,CORIO,VIC,Provincial,ON|ALP+GRN+LNP,ON,ALP+GRN+LNP,12880.0,False,0.4973863553484676,4.452340009749897,4.4523400097499,LNP,toward pooled evidence,4.4523400097499,False,False,,0.0,0.1917701863354037,0.5253105590062112,0.2829192546583851,0.0,0.0,0.0,0.19014653005387938,0.5698339591037102,0.2400195108424104,0.0,0.0,0.0
Moore,MOORE,WA,Outer metro,ON|ALP+GRN+IND+LNP+OTH,ON,ALP+GRN+IND+LNP+OTH,6857.0,False,0.49390997044238744,4.446652208374899,2.297550714679545,ALP,toward pooled evidence,2.297550714679545,False,False,,0.0,0.0545428029750619,0.4262797141607117,0.0713139857080355,0.0,0.183316319089981,0.2645471780662097,0.07751831012185736,0.40483154305802765,0.07006870642763252,0.0,0.20480733402693457,0.24277410636554791
Farrer,FARRER,NSW,Rural,ON|ALP+IND+LNP,ON,ALP+IND+LNP,12494.0,False,0.49557127547287594,4.421469489301946,4.421469489301943,IND,away from local history,-4.421469489301943,False,False,,0.0,0.0805186489514967,0.4510965263326397,0.0,0.0,0.4683848247158636,0.0,0.09841984070806437,0.4774100294690915,0.0,0.0,0.4241701298228442,0.0
Mitchell,MITCHELL,NSW,Outer metro,ON|ALP+GRN+LNP,ON,ALP+GRN+LNP,6039.0,False,0.4973863553484676,4.406647161439356,4.406647161439359,LNP,away from local history,-4.406647161439359,False,False,,0.0,0.1740354363305183,0.6911740354363305,0.1347905282331511,0.0,0.0,0.0,0.18038696979948365,0.647107563821937,0.17250546637857933,0.0,0.0,0.0
Forrest,FORREST,WA,Rural,OTH|ALP+GRN+IND+LNP+ON,OTH,ALP+GRN+IND+LNP+ON,6939.0,False,0.4928760932248753,4.3993869013457685,3.5289950928115266,GRN,away from local history,-3.5289950928115266,True,True,9.692818650969281,0.42642459410194217,0.1346015275976365,0.1817264735552673,0.1843205072777057,0.3049430753710909,0.1944084161982994,0.0,0.12589760951229412,0.18829001519866817,0.14903055634959045,0.3358717108027613,0.20091010813668597,0.0
Cowper,COWPER,NSW,Provincial,OTH|ALP+IND+LNP+ON,OTH,ALP+IND+LNP+ON,11896.0,False,0.5,4.392232683254872,4.392232683254877,ON,toward pooled evidence,4.392232683254877,False,False,,0.0,0.1979657027572293,0.2288164088769334,0.0,0.3067417619367855,0.2664761264290518,0.0,0.19558713394876812,0.21942631595035766,0.0,0.35066408876933425,0.23432246133154003,0.0
Warringah,WARRINGAH,NSW,Inner metro,ALP|IND+LNP,ALP,IND+LNP,20540.0,False,0.47404403337557105,4.378619408778392,4.378619408778395,IND,away from local history,-4.378619408778395,False,False,,0.0,0.0,0.1849561830574488,0.0,0.0,0.8150438169425511,0.0,0.0,0.2287423771452327,0.0,0.0,0.7712576228547673,0.0
Kingsford Smith,KINGSFORD SMITH,NSW,Inner metro,ON|ALP+GRN+LNP,ON,ALP+GRN+LNP,6440.0,False,0.4973863553484676,4.293539836469728,4.293539836469723,ALP,away from local history,-4.293539836469723,False,False,,0.0,0.256832298136646,0.615527950310559,0.127639751552795,0.0,0.0,0.0,0.21389689977194876,0.6286534482951025,0.1574496519329488,0.0,0.0,0.0
Boothby,BOOTHBY,SA,Outer metro,GRN|ALP+LNP,GRN,ALP+LNP,22073.0,False,0.49623399434240484,4.279243661504872,4.279243661504872,ALP,away from local history,-4.279243661504872,True,True,25.02986703511749,1.0710889985833627,0.8808952113441761,0.1191047886558238,0.0,0.0,0.0,0.0,0.8381027747291274,0.16189722527087252,0.0,0.0,0.0,0.0
Calwell,CALWELL,VIC,Outer metro,OTH|ALP+GRN+IND+LNP,OTH,ALP+GRN+IND+LNP,27783.0,False,0.49126663521074854,4.238670631545826,4.238670631545824,GRN,away from local history,-4.238670631545824,False,False,,0.0,0.1842133678868373,0.1471763308498002,0.2622826908541194,0.0,0.4063276104092431,0.0,0.18493064857654853,0.1882879860965575,0.2198959845386612,0.0,0.40688538078823283,0.0
Aston,ASTON,VIC,Outer metro,IND|ALP+GRN+LNP+ON,IND,ALP+GRN+LNP+ON,5484.0,False,0.49547153734336485,4.237307224008601,3.784343335556961,GRN,away from local history,-3.784343335556961,False,False,,0.0,0.2658643326039387,0.1593727206418672,0.37545587162655,0.199307075127644,0.0,0.0,0.2613346937194223,0.17430656573968595,0.3376124382709804,0.22674630226991127,0.0,0.0
Makin,MAKIN,SA,Outer metro,GRN|ALP+LNP,GRN,ALP+LNP,19645.0,False,0.49623399434240484,4.2169166452214135,4.2169166452214135,ALP,toward pooled evidence,4.2169166452214135,False,False,,0.0,0.7122423008399084,0.2877576991600916,0.0,0.0,0.0,0.0,0.7544114672921225,0.24558853270787745,0.0,0.0,0.0,0.0
