State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,RecipientModelCategory,ObservedExitShare,PassThroughShare,ShareDelta,AbsoluteShareDelta
NSW,106,Berowra,GRN,4,5,ALP>LNP>IND,LNP,0.06871325037604266,0.06871325037604266,0.0,0.0
NSW,106,Berowra,IND,3,6,ALP>LNP,ALP,0.7362979683972912,0.7362979683972912,0.0,0.0
NSW,106,Berowra,IND,3,6,ALP>LNP,LNP,0.26370203160270883,0.26370203160270883,0.0,0.0
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,ALP,0.08800806180718844,0.08800806180718844,0.0,0.0
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,GRN,0.0564326503191132,0.0564326503191132,0.0,0.0
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,IND,0.22976150487067518,0.22976150487067515,-2.7755575615628914e-17,2.7755575615628914e-17
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,LNP,0.6257977830030231,0.6257977830030231,0.0,0.0
NSW,106,Berowra,OTH,6,3,ALP>LNP>GRN>ON>IND,ALP,0.05254016500217108,0.11600619880451628,0.0634660338023452,0.0634660338023452
NSW,106,Berowra,OTH,6,3,ALP>LNP>GRN>ON>IND,GRN,0.052105948762483714,0.11268541067079921,0.06057946190831549,0.06057946190831549
NSW,106,Berowra,OTH,6,3,ALP>LNP>GRN>ON>IND,IND,0.15023881893182806,0.2975426167810494,0.14730379784922132,0.14730379784922132
NSW,106,Berowra,OTH,6,3,ALP>LNP>GRN>ON>IND,LNP,0.2718193660442901,0.1972548151427939,-0.07456455090149619,0.07456455090149619
NSW,106,Berowra,OTH,6,3,ALP>LNP>GRN>ON>IND,ON,0.4732957012592271,0.27651095860084124,-0.19678474265838586,0.19678474265838586
NSW,107,Blaxland,GRN,4,4,ALP>LNP>IND,ALP,0.4820458460315357,0.4820458460315357,0.0,0.0
NSW,107,Blaxland,GRN,4,4,ALP>LNP>IND,IND,0.4400424009540215,0.4400424009540215,0.0,0.0
NSW,107,Blaxland,GRN,4,4,ALP>LNP>IND,LNP,0.07791175301444282,0.07791175301444282,0.0,0.0
NSW,107,Blaxland,IND,3,5,ALP>LNP,ALP,0.840834561095005,0.840834561095005,0.0,0.0
NSW,107,Blaxland,IND,3,5,ALP>LNP,LNP,0.15916543890499502,0.15916543890499502,0.0,0.0
NSW,107,Blaxland,ON,5,3,ALP>LNP>GRN>IND,ALP,0.14626865671641792,0.14626865671641792,0.0,0.0
NSW,107,Blaxland,ON,5,3,ALP>LNP>GRN>IND,GRN,0.08294243070362474,0.08294243070362474,0.0,0.0
NSW,107,Blaxland,ON,5,3,ALP>LNP>GRN>IND,IND,0.18933901918976545,0.18933901918976542,-2.7755575615628914e-17,2.7755575615628914e-17
NSW,107,Blaxland,ON,5,3,ALP>LNP>GRN>IND,LNP,0.5814498933901919,0.5814498933901919,0.0,0.0
NSW,107,Blaxland,OTH,6,2,ALP>LNP>GRN>ON>IND,ALP,0.10944595821980019,0.12624309392265193,0.01679713570285174,0.01679713570285174
NSW,107,Blaxland,OTH,6,2,ALP>LNP>GRN>ON>IND,GRN,0.062216167120799276,0.08397790055248619,0.021761733431686914,0.021761733431686914
NSW,107,Blaxland,OTH,6,2,ALP>LNP>GRN>ON>IND,IND,0.11035422343324251,0.1464088397790055,0.036054616345763,0.036054616345763
