State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryCoverage,TotalVariationDistance,MaximumRecipientDelta,ObservedDominantRecipient,PassThroughDominantRecipient,DominantRecipientChanged
SA,179,Adelaide,GRN,3,5,ALP>LNP,1,0,Mat Monti,GRN,,1.0,6.245004513516506e-17,1.1102230246251565e-16,ALP,ALP,False
VIC,203,Calwell,ON,5,7,ALP>LNP>GRN>IND,1,0,Luay Toma,ON,,1.0,6.245004513516506e-17,1.1102230246251565e-16,IND,IND,False
ACT,318,Bean,LNP,3,2,ALP>IND,1,0,David Lamerton,LIB,,1.0,5.551115123125783e-17,1.1102230246251565e-16,IND,IND,False
NSW,117,Eden-Monaro,GRN,3,6,ALP>LNP,1,0,Emma Goward,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
NSW,127,Kingsford Smith,GRN,3,3,ALP>LNP,1,0,Keiron Brown,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
QLD,160,Fairfax,IND,3,6,ALP>LNP,1,0,Francine Wiig,IND_PROMINENT,CENTRE_LEFT,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
QLD,178,Wide Bay,ON,3,5,ALP>LNP,1,0,Chad Burgess,ON,,1.0,5.551115123125783e-17,1.1102230246251565e-16,LNP,LNP,False
QLD,310,Bonner,GRN,3,6,ALP>LNP,1,0,Wen Li,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
VIC,197,Aston,GRN,3,7,ALP>LNP,1,0,Reuben Steen,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
VIC,211,Flinders,ALP,3,5,LNP>IND,1,0,Sarah Race,ALP,,1.0,5.551115123125783e-17,1.1102230246251565e-16,IND,IND,False
VIC,216,Holt,GRN,3,4,ALP>LNP,1,0,Payal Tiwari,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
VIC,309,Gorton,GRN,3,5,ALP>LNP,1,0,Thuc Bao Huynh,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
VIC,322,Macnamara,GRN,3,4,ALP>LNP,1,0,Sonya Semmens,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
VIC,323,Monash,GRN,5,4,ALP>LNP>ON>IND,1,0,Terence Steele,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,IND,IND,False
VIC,323,Monash,ON,4,5,ALP>LNP>IND,1,0,Kuljeet Kaur Robinson,ON,,1.0,5.551115123125783e-17,1.1102230246251565e-16,IND,IND,False
WA,235,Brand,GRN,3,3,ALP>LNP,1,0,Jody Freeman,GRN,,1.0,5.551115123125783e-17,1.1102230246251565e-16,ALP,ALP,False
WA,243,O'Connor,ON,3,5,ALP>LNP,1,0,Gemma Johnston,ON,,1.0,5.551115123125783e-17,1.1102230246251565e-16,LNP,LNP,False
QLD,160,Fairfax,GRN,5,4,ALP>LNP>ON>IND,1,0,Sue Etheridge,GRN,,1.0,5.551115123125783e-17,5.551115123125783e-17,ALP,ALP,False
VIC,328,Corangamite,ON,5,4,ALP>LNP>GRN>OTH,1,0,Colin Seabrook,ON,,1.0,5.551115123125783e-17,5.551115123125783e-17,LNP,LNP,False
SA,188,Mayo,GRN,4,4,ALP>LNP>OTH,1,0,Genevieve Dawson-Scott,GRN,,1.0,3.122502256758253e-17,5.551115123125783e-17,ALP,ALP,False
NSW,106,Berowra,GRN,4,5,ALP>LNP>IND,1,0,Martin Cousins,GRN,,1.0,2.7755575615628914e-17,5.551115123125783e-17,ALP,ALP,False
NSW,118,Farrer,ON,4,6,ALP>LNP>IND,1,0,Emma Hicks,ON,,1.0,2.7755575615628914e-17,5.551115123125783e-17,IND,IND,False
NSW,125,Hume,ON,3,6,ALP>LNP,1,0,Helen Ducker,ON,,1.0,2.7755575615628914e-17,5.551115123125783e-17,LNP,LNP,False
NSW,130,Lyne,IND,3,8,ALP>LNP,1,0,Jeremy Miller,IND_PROMINENT,CENTRE_LEFT,1.0,2.7755575615628914e-17,5.551115123125783e-17,ALP,ALP,False
NSW,251,Watson,GRN,4,6,ALP>LNP>IND,1,0,Jocelyn Brewer,GRN,,1.0,2.7755575615628914e-17,5.551115123125783e-17,ALP,ALP,False
NT,307,Solomon,GRN,4,4,ALP>LNP>IND,1,0,Jonathan Parry,GRN,,1.0,2.7755575615628914e-17,5.551115123125783e-17,IND,IND,False
QLD,161,Fisher,GRN,5,4,ALP>LNP>ON>IND,1,0,Renay Wells,GRN,,1.0,2.7755575615628914e-17,5.551115123125783e-17,IND,IND,False
TAS,195,Franklin,LNP,3,4,ALP>IND,1,0,Josh Garvin,LIB,,1.0,2.7755575615628914e-17,5.551115123125783e-17,ALP,ALP,False
VIC,205,Chisholm,IND,4,4,ALP>LNP>GRN,1,0,Kath Davies,IND_PROMINENT,LEFT,1.0,2.7755575615628914e-17,5.551115123125783e-17,GRN,GRN,False
VIC,211,Flinders,GRN,4,4,ALP>LNP>IND,1,0,Adam Frogley,GRN,,1.0,2.7755575615628914e-17,5.551115123125783e-17,IND,IND,False
VIC,232,Scullin,ON,4,5,ALP>LNP>GRN,1,0,Arthur Tsoutsoulis,ON,,1.0,2.7755575615628914e-17,5.551115123125783e-17,LNP,LNP,False
WA,240,Fremantle,ON,5,3,ALP>LNP>GRN>IND,1,0,Hannah Marriner,ON,,1.0,2.7755575615628914e-17,5.551115123125783e-17,LNP,LNP,False
WA,312,Durack,GRN,4,5,ALP>LNP>ON,1,0,Brendan Sturcke,GRN,,1.0,2.7755575615628914e-17,5.551115123125783e-17,ALP,ALP,False
WA,329,Bullwinkel,GRN,3,4,ALP>LNP,1,0,Abbey Bishop,GRN,,1.0,2.7755575615628914e-17,5.551115123125783e-17,ALP,ALP,False
NSW,108,Bradfield,ON,6,3,ALP>LNP>GRN>IND>OTH,1,0,John Manton,ON,,1.0,2.0816681711721685e-17,2.7755575615628914e-17,LNP,LNP,False
NSW,105,Bennelong,ON,4,5,ALP>LNP>GRN,1,0,Craig Bennett,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,1,0,Gerald Mattinson,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
NSW,107,Blaxland,ON,5,3,ALP>LNP>GRN>IND,1,0,Mitchell Klievens,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
NSW,111,Chifley,ON,4,5,ALP>LNP>GRN,1,0,Tony Nikolic,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
NSW,131,Macarthur,GRN,3,5,ALP>LNP,1,0,Frankie Scott,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
NSW,131,Macarthur,ON,4,4,ALP>LNP>GRN,1,0,Gregory Grogan,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
NSW,132,Mackellar,GRN,4,6,ALP>LNP>IND,1,0,Ethan Hrnjak,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,IND,IND,False
NSW,136,Newcastle,ON,4,5,ALP>LNP>GRN,1,0,Phillip Heyne,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
NSW,146,Robertson,ON,4,4,ALP>LNP>GRN,1,0,Matt Lloyd,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
NT,306,Lingiari,GRN,3,4,ALP>LNP,1,0,Blair Mcfarland,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
QLD,172,Moncrieff,ON,4,6,ALP>LNP>GRN,1,0,Glen Wadsworth,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
QLD,174,Oxley,GRN,3,5,ALP>LNP,1,0,Brandan Holt,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
QLD,174,Oxley,ON,4,4,ALP>LNP>GRN,1,0,Darren Baker,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
QLD,175,Petrie,GRN,3,4,ALP>LNP,1,0,Nikil Paul,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
QLD,176,Rankin,ON,4,5,ALP>LNP>GRN,1,0,Kyle Lentz,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
QLD,177,Ryan,ALP,3,6,LNP>GRN,1,0,Rebecca Hack,ALP,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,GRN,GRN,False
SA,182,Boothby,ON,4,3,ALP>LNP>GRN,1,0,Tonya Scott,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
SA,183,Grey,ON,4,5,ALP>LNP>IND,1,0,Brandon Turton,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,IND,IND,False
SA,185,Hindmarsh,ON,4,6,ALP>LNP>GRN,1,0,Rocco Deangelis,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
TAS,192,Bass,ON,4,4,ALP>LNP>GRN,1,0,Jordan Potter,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
TAS,193,Braddon,IND,5,2,ALP>LNP>GRN>ON,1,0,Adam Martin,IND_PROMINENT,CENTRE_LEFT,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ON,ON,False
VIC,204,Casey,IND,3,6,ALP>LNP,1,0,Claire Ferres Miles,IND_PROMINENT,LEFT,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
VIC,211,Flinders,ON,5,3,ALP>LNP>GRN>IND,1,0,Mike Brown,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
VIC,217,Hotham,ON,4,3,ALP>LNP>GRN,1,0,Stuart Fogarty,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
VIC,221,Kooyong,GRN,4,4,ALP>LNP>IND,1,0,Jackie Carter,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,IND,IND,False
VIC,226,McEwen,GRN,3,7,ALP>LNP,1,0,Marley Mcrae Mcleod,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
VIC,226,McEwen,ON,4,6,ALP>LNP>GRN,1,0,Jeremy Johnson,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
VIC,234,Wills,LNP,3,6,ALP>GRN,1,0,Jeff Kidney,LIB,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
VIC,234,Wills,ON,5,4,ALP>LNP>GRN>OTH,1,0,Bruce Stevens,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
VIC,309,Gorton,ON,4,4,ALP>LNP>GRN,1,0,Alan Reid,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
VIC,320,Cooper,ON,5,2,ALP>LNP>GRN>OTH,1,0,William Turner,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
VIC,326,Hawke,ON,4,4,ALP>LNP>GRN,1,0,Matthew Katselis,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
WA,235,Brand,ON,4,2,ALP>LNP>GRN,1,0,Stephen Box,ON,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,LNP,LNP,False
WA,237,Cowan,GRN,3,6,ALP>LNP,1,0,Matthew Count,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
WA,248,Tangney,GRN,3,4,ALP>LNP,1,0,Eric Hayward,GRN,,1.0,1.3877787807814457e-17,2.7755575615628914e-17,ALP,ALP,False
NSW,145,Richmond,ON,4,7,ALP>LNP>GRN,1,0,Ian Mye,ON,,1.0,6.938893903907228e-18,1.3877787807814457e-17,LNP,LNP,False
QLD,156,Brisbane,GRN,3,6,ALP>LNP,1,0,Stephen Bates,GRN,,1.0,6.938893903907228e-18,1.3877787807814457e-17,ALP,ALP,False
QLD,161,Fisher,ON,4,5,ALP>LNP>IND,1,0,Benjamin Kelly,ON,,1.0,6.938893903907228e-18,1.3877787807814457e-17,LNP,LNP,False
QLD,164,Groom,GRN,5,4,ALP>LNP>ON>IND,1,0,Alyce Nelligan,GRN,,1.0,6.938893903907228e-18,1.3877787807814457e-17,ALP,ALP,False
QLD,168,Leichhardt,GRN,4,7,ALP>LNP>ON,1,0,Phillip Musumeci,GRN,,1.0,6.938893903907228e-18,1.3877787807814457e-17,ALP,ALP,False
QLD,311,Flynn,GRN,5,5,ALP>LNP>ON>OTH,1,0,Paul Bambrick,GRN,,1.0,6.938893903907228e-18,1.3877787807814457e-17,ALP,ALP,False
VIC,204,Casey,ON,5,4,ALP>LNP>GRN>IND,1,0,Ambere Livori,ON,,1.0,6.938893903907228e-18,1.3877787807814457e-17,LNP,LNP,False
WA,312,Durack,ON,3,6,ALP>LNP,1,0,Mark Berry,ON,,1.0,6.938893903907228e-18,1.3877787807814457e-17,LNP,LNP,False
QLD,252,Dickson,ON,5,5,ALP>LNP>GRN>IND,1,0,Joel Stevenson,ON,,1.0,3.469446951953614e-18,6.938893903907228e-18,LNP,LNP,False
VIC,218,Indi,GRN,5,5,ALP>LNP>ON>IND,1,0,Alysia Regan,GRN,,1.0,3.469446951953614e-18,6.938893903907228e-18,IND,IND,False
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,Claire Miles,IND_PROMINENT,LEFT,1.0,0.0,0.0,ALP,ALP,False
ACT,101,Canberra,LNP,3,4,ALP>GRN,1,0,Will Roche,LIB,,1.0,0.0,0.0,ALP,ALP,False
ACT,102,Fenner,GRN,3,2,ALP>LNP,1,0,Dani Hunterford,GRN,,1.0,0.0,0.0,ALP,ALP,False
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,1,0,Elizabeth Kikkert,OTH_FFPA,RIGHT,1.0,0.0,0.0,LNP,LNP,False
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,1,0,Sam Carter,GRN,,1.0,0.0,0.0,IND,IND,False
NSW,103,Banks,GRN,3,6,ALP>LNP,1,0,Natalie Hanna,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,1,0,Todd Nicol,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,104,Barton,GRN,3,4,ALP>LNP,1,0,Manal Bahsa,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,104,Barton,ON,4,3,ALP>LNP>GRN,1,0,Christos Nicolis,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,105,Bennelong,GRN,3,6,ALP>LNP,1,0,Adam Hart,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,106,Berowra,IND,3,6,ALP>LNP,1,0,Tina Brown,IND_PROMINENT,LEFT,1.0,0.0,0.0,ALP,ALP,False
NSW,107,Blaxland,GRN,4,4,ALP>LNP>IND,1,0,Omar Sakr,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,107,Blaxland,IND,3,5,ALP>LNP,1,0,Ahmed Ouf,IND_PROMINENT,LEFT,1.0,0.0,0.0,ALP,ALP,False
NSW,108,Bradfield,ALP,3,6,LNP>IND,1,0,Louise Mccallum,ALP,,1.0,0.0,0.0,IND,IND,False
NSW,108,Bradfield,GRN,4,5,ALP>LNP>IND,1,0,Harjit Singh,GRN,,1.0,0.0,0.0,IND,IND,False
NSW,109,Calare,ALP,3,7,LNP>IND,1,0,Julie Cunningham,ALP,,1.0,0.0,0.0,IND,IND,False
NSW,109,Calare,GRN,6,4,ALP>LNP>ON>IND>OTH,1,0,Ben Parker,GRN,,1.0,0.0,0.0,IND,IND,False
NSW,109,Calare,ON,4,6,ALP>LNP>IND,1,0,Jennifer Hughes,ON,,1.0,0.0,0.0,IND,IND,False
NSW,111,Chifley,GRN,3,6,ALP>LNP,1,0,Sukhjinder Pal Singh,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,112,Cook,GRN,3,4,ALP>LNP,1,0,Martin Moore,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,112,Cook,ON,4,3,ALP>LNP>GRN,1,0,Mark Preston,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,113,Cowper,ALP,3,9,LNP>IND,1,0,Greg Vigors,ALP,,1.0,0.0,0.0,IND,IND,False
NSW,113,Cowper,GRN,6,6,ALP>LNP>ON>IND>OTH,1,0,Wendy Firefly,GRN,,1.0,0.0,0.0,IND,IND,False
NSW,113,Cowper,ON,4,8,ALP>LNP>IND,1,0,Chris Walsh,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,114,Cunningham,GRN,3,4,ALP>LNP,1,0,Jess Whittaker,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,114,Cunningham,ON,4,3,ALP>LNP>GRN,1,0,John Fuller,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,115,Dobell,GRN,3,6,ALP>LNP,1,0,Simon George Cooper,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,115,Dobell,ON,4,5,ALP>LNP>GRN,1,0,Martin Stevenson,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,117,Eden-Monaro,ON,4,5,ALP>LNP>GRN,1,0,Richard Graham,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,118,Farrer,ALP,3,7,LNP>IND,1,0,Glen Hyde,ALP,,1.0,0.0,0.0,IND,IND,False
NSW,118,Farrer,GRN,5,5,ALP>LNP>ON>IND,1,0,Richard August Hendrie,GRN,,1.0,0.0,0.0,IND,IND,False
NSW,119,Fowler,GRN,4,4,ALP>LNP>IND,1,0,Avery Jacob Howard,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,119,Fowler,LNP,3,5,ALP>IND,1,0,Vivek Singha,LIB,,1.0,0.0,0.0,IND,IND,False
NSW,119,Fowler,ON,6,2,ALP>LNP>GRN>IND>OTH,1,0,Tony Margos,ON,,1.0,0.0,0.0,IND,IND,False
NSW,120,Gilmore,GRN,4,5,ALP>LNP>IND,1,0,Debbie Killian,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,120,Gilmore,IND,3,6,ALP>LNP,1,0,Kate Dezarnaulds,IND_PROMINENT,LEFT,1.0,0.0,0.0,ALP,ALP,False
NSW,120,Gilmore,ON,5,4,ALP>LNP>GRN>IND,1,0,John Hawke,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,121,Grayndler,LNP,3,4,ALP>GRN,1,0,David Smallbone,LIB,,1.0,0.0,0.0,ALP,ALP,False
NSW,121,Grayndler,ON,4,3,ALP>LNP>GRN,1,0,Rodney Smith,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,122,Greenway,GRN,3,5,ALP>LNP,1,0,Palaniappan Subramanian,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,122,Greenway,ON,4,4,ALP>LNP>GRN,1,0,Edwin Swann,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,124,Hughes,GRN,3,6,ALP>LNP,1,0,Catherine Elizabeth Dyson,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,124,Hughes,ON,4,5,ALP>LNP>GRN,1,0,Deborah Swinbourn,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,125,Hume,GRN,4,5,ALP>LNP>ON,1,0,Steve Bruce,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,126,Hunter,GRN,4,6,ALP>LNP>ON,1,0,Louise Stokes,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,126,Hunter,LNP,3,7,ALP>ON,1,0,Sue Gilroy,NAT,,1.0,0.0,0.0,ON,ON,False
NSW,127,Kingsford Smith,ON,4,2,ALP>LNP>GRN,1,0,Mark Jelic,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,127,Kingsford Smith,OTH,5,1,ALP>LNP>GRN>ON,1,0,Elsa Parker,IND_MINOR,CENTRE_LEFT,1.0,0.0,0.0,GRN,GRN,False
NSW,128,Lindsay,GRN,4,7,ALP>LNP>ON,1,0,Aaron David Mcallister,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,128,Lindsay,ON,3,8,ALP>LNP,1,0,Christopher Buckley,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,130,Lyne,GRN,5,6,ALP>LNP>ON>IND,1,0,Tom Ferrier,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,130,Lyne,ON,4,7,ALP>LNP>IND,1,0,Colin Hughes,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,132,Mackellar,ALP,3,7,LNP>IND,1,0,Jeffrey Quinn,ALP,,1.0,0.0,0.0,IND,IND,False
NSW,132,Mackellar,ON,5,5,ALP>LNP>GRN>IND,1,0,Brad Hayman,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,133,Macquarie,GRN,3,4,ALP>LNP,1,0,Terry Morgan,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,133,Macquarie,ON,4,3,ALP>LNP>GRN,1,0,Matthew Jacobson,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,134,Mitchell,GRN,3,3,ALP>LNP,1,0,Ben Speechly,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,134,Mitchell,ON,4,2,ALP>LNP>GRN,1,0,Brendan Mccreanor,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,134,Mitchell,OTH,5,1,ALP>LNP>GRN>ON,1,0,Mark Crocker,OTH_CYA,RIGHT,1.0,0.0,0.0,ON,ON,False
NSW,135,New England,GRN,4,4,ALP>LNP>ON,1,0,Wendy Wales,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,135,New England,ON,3,5,ALP>LNP,1,0,Brent Larkham,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,136,Newcastle,LNP,3,6,ALP>GRN,1,0,Asarri Mcphee,LIB,,1.0,0.0,0.0,ALP,ALP,False
NSW,138,Page,GRN,3,9,ALP>LNP,1,0,Luke Robinson,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,139,Parkes,GRN,5,6,ALP>LNP>ON>OTH,1,0,Trish Frail,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,139,Parkes,ON,3,8,ALP>LNP,1,0,Mark Carter,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,140,Parramatta,GRN,3,6,ALP>LNP,1,0,Liz Tilly,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,140,Parramatta,ON,4,5,ALP>LNP>GRN,1,0,Nicholas Matzen,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,144,Reid,GRN,3,5,ALP>LNP,1,0,Joanna Somerville,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,144,Reid,ON,4,4,ALP>LNP>GRN,1,0,Gina Ingrouille,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,145,Richmond,GRN,3,8,ALP>LNP,1,0,Mandy Nolan,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,146,Robertson,GRN,3,5,ALP>LNP,1,0,Cheryl Wallace,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,148,Shortland,GRN,3,5,ALP>LNP,1,0,Therese Doyle,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,148,Shortland,ON,4,4,ALP>LNP>GRN,1,0,Barry Reed,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,149,Sydney,LNP,3,3,ALP>GRN,1,0,Alex Xu,LIB,,1.0,0.0,0.0,ALP,ALP,False
NSW,149,Sydney,ON,4,2,ALP>LNP>GRN,1,0,Vedran Torbarac,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,149,Sydney,OTH,5,1,ALP>LNP>GRN>ON,1,0,Rachel Evans,OTH_SAL,LEFT,1.0,0.0,0.0,GRN,GRN,False
NSW,150,Whitlam,GRN,3,8,ALP>LNP,1,0,Jamie Dixon,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,150,Whitlam,ON,4,7,ALP>LNP>GRN,1,0,Sharon Cousins,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,151,Warringah,ALP,3,6,LNP>IND,1,0,Celine Varghese-Fell,ALP,,1.0,0.0,0.0,IND,IND,False
NSW,151,Warringah,GRN,4,5,ALP>LNP>IND,1,0,Bonnie Harvey,GRN,,1.0,0.0,0.0,IND,IND,False
NSW,151,Warringah,ON,5,4,ALP>LNP>GRN>IND,1,0,Gavin Wright,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,152,Wentworth,ALP,3,4,LNP>IND,1,0,Savanna Peake,ALP,,1.0,0.0,0.0,IND,IND,False
NSW,152,Wentworth,GRN,4,3,ALP>LNP>IND,1,0,Nick Ward,GRN,,1.0,0.0,0.0,IND,IND,False
NSW,152,Wentworth,ON,5,2,ALP>LNP>GRN>IND,1,0,James Sternhell,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,152,Wentworth,OTH,6,1,ALP>LNP>GRN>ON>IND,1,0,Michael Richmond,IND_MINOR,CENTRE,1.0,0.0,0.0,IND,IND,False
NSW,153,Werriwa,GRN,3,7,ALP>LNP,1,0,Janet Rebecca Castle,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,153,Werriwa,ON,4,6,ALP>LNP>GRN,1,0,Ian Cimera,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,249,Paterson,GRN,5,6,ALP>LNP>ON>IND,1,0,Paul Johns,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,249,Paterson,IND,3,8,ALP>LNP,1,0,Philip Penfold,IND_PROMINENT,CENTRE_LEFT,1.0,0.0,0.0,LNP,LNP,False
NSW,249,Paterson,ON,4,7,ALP>LNP>IND,1,0,Arnon Wither,ON,,1.0,0.0,0.0,IND,IND,False
NSW,250,Riverina,GRN,6,8,ALP>LNP>ON>IND>OTH,1,0,Pheonix Valxori,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,250,Riverina,IND,4,10,ALP>LNP>ON,1,0,Jenny Rolfe,IND_PROMINENT,CENTRE_LEFT,1.0,0.0,0.0,ALP,ALP,False
NSW,250,Riverina,ON,3,11,ALP>LNP,1,0,Mark Craig,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,251,Watson,LNP,3,7,ALP>IND,1,0,Zakir Alam,LIB,,1.0,0.0,0.0,IND,IND,False
NSW,251,Watson,ON,6,4,ALP>LNP>GRN>IND>OTH,1,0,Elisha Trevena,ON,,1.0,0.0,0.0,LNP,LNP,False
NSW,315,McMahon,GRN,4,2,ALP>LNP>IND,1,0,Ben Hammond,GRN,,1.0,0.0,0.0,ALP,ALP,False
NSW,315,McMahon,IND,3,3,ALP>LNP,1,0,Matthew Camenzuli,IND_PROMINENT,CENTRE_RIGHT,1.0,0.0,0.0,LNP,LNP,False
NSW,315,McMahon,ON,5,1,ALP>LNP>GRN>IND,1,0,Melissa Janicska,ON,,1.0,0.0,0.0,LNP,LNP,False
NT,306,Lingiari,ON,4,3,ALP>LNP>GRN,1,0,Sakellarios Bairamis,ON,,1.0,0.0,0.0,LNP,LNP,False
NT,307,Solomon,IND,3,5,ALP>LNP,1,0,Phil Scott,IND_PROMINENT,CENTRE_LEFT,1.0,0.0,0.0,ALP,ALP,False
