division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_pct,division,winner,runner_up,final_two,winner_pct,winner_match,runner_up_match,final_two_match,winner_diff_pp
FISHER,LNP,IND,IND+LNP,51.5051,Fisher,LNP,IND,IND+LNP,0.5353957883402536,True,True,True,2.0344788340253572
BULLWINKEL,LNP,ALP,ALP+LNP,54.2462,Bullwinkel,LNP,ALP,ALP+LNP,0.5221288699970309,True,True,True,2.033313000296914
DOBELL,ALP,ON,ALP+ON,53.7111,Dobell,ALP,ON,ALP+ON,0.5173062124494533,True,True,True,1.9804787550546692
WARRINGAH,IND,LNP,IND+LNP,60.8459,Warringah,IND,LNP,IND+LNP,0.6273033387300015,True,True,True,1.8844338730001553
GOLDSTEIN,IND,LNP,IND+LNP,51.6357,Goldstein,IND,LNP,IND+LNP,0.5340999464007689,True,True,True,1.7742946400768886
GORTON,ALP,ON,ALP+ON,56.0268,Gorton,ALP,ON,ALP+ON,0.5427487994452639,True,True,True,1.7519200554736116
WIDE BAY,LNP,ON,LNP+ON,50.0814,Wide Bay,LNP,ON,LNP+ON,0.5174067113469097,True,True,True,1.6592711346909752
GREENWAY,ALP,ON,ALP+ON,59.6505,Greenway,ALP,ON,ALP+ON,0.5800704855636485,True,True,True,1.6434514436351506
COWAN,ALP,ON,ALP+ON,59.9485,Cowan,ALP,ON,ALP+ON,0.5832027996457243,True,True,True,1.6282200354275744
PEARCE,ALP,ON,ALP+ON,53.1457,Pearce,ALP,ON,ALP+ON,0.5162404703971131,True,True,True,1.5216529602886908
FADDEN,LNP,ON,LNP+ON,53.4754,Fadden,LNP,ON,LNP+ON,0.5497546123375657,True,True,True,1.5000612337565755
BRISBANE,GRN,LNP,GRN+LNP,54.9148,Brisbane,GRN,LNP,GRN+LNP,0.5641257225530797,True,True,True,1.4977722553079715
GILMORE,ALP,LNP,ALP+LNP,52.827,Gilmore,ALP,LNP,ALP+LNP,0.5135417333050272,True,True,True,1.4728266694972802
MAYO,OTH,ALP,ALP+OTH,65.4185,Mayo,OTH,ON,ON+OTH,0.6684528360913845,True,False,False,1.4267836091384538
CALARE,ON,IND,IND+ON,50.6838,Calare,IND,LNP,IND+LNP,0.5207612617210073,False,False,False,1.3923261721007378
SHORTLAND,ALP,ON,ALP+ON,54.9604,Shortland,ALP,ON,ALP+ON,0.5360315242770859,True,True,True,1.3572475722914135
WANNON,LNP,IND,IND+LNP,53.8732,Wannon,LNP,IND,IND+LNP,0.525376375299049,True,True,True,1.3355624700950983
NEW ENGLAND,LNP,ON,LNP+ON,58.0524,New England,LNP,ON,LNP+ON,0.5938296526884812,True,True,True,1.3305652688481189
MONCRIEFF,LNP,ALP,ALP+LNP,60.1565,Moncrieff,LNP,ALP,ALP+LNP,0.5885956836179534,True,True,True,1.2969316382046543
MACKELLAR,IND,LNP,IND+LNP,55.3434,Mackellar,IND,LNP,IND+LNP,0.5658707939403111,True,True,True,1.243679394031112
HUME,LNP,ON,LNP+ON,54.362,Hume,LNP,ON,LNP+ON,0.5558835189477626,True,True,True,1.2263518947762506
CHISHOLM,ALP,LNP,ALP+LNP,55.0457,Chisholm,ALP,LNP,ALP+LNP,0.5622962362155031,True,True,True,1.1839236215503064
MONASH,IND,LNP,IND+LNP,50.139,Monash,ON,IND,IND+ON,0.5130375214161349,False,False,False,1.1647521416134836
LINDSAY,LNP,ALP,ALP+LNP,54.3576,Lindsay,LNP,ALP,ALP+LNP,0.5321508100059948,True,True,True,1.1425189994005152
WERRIWA,ALP,LNP,ALP+LNP,54.7276,Werriwa,ALP,LNP,ALP+LNP,0.5583462241856113,True,True,True,1.1070224185611295
COWPER,LNP,IND,IND+LNP,51.2441,Cowper,LNP,IND,IND+LNP,0.5018417004827664,True,True,True,1.0599299517233618
BENNELONG,ALP,LNP,ALP+LNP,56.3856,Bennelong,ALP,LNP,ALP+LNP,0.5538552897904265,True,True,True,1.0000710209573427
PAGE,LNP,ALP,ALP+LNP,61.5702,Page,LNP,ALP,ALP+LNP,0.6069200059051849,True,True,True,0.8781994094815104
HINDMARSH,ALP,ON,ALP+ON,62.3821,Hindmarsh,ALP,ON,ALP+ON,0.6152893788495815,True,True,True,0.8531621150418545
GIPPSLAND,LNP,ON,LNP+ON,57.9957,Gippsland,LNP,ON,LNP+ON,0.5883633862926525,True,True,True,0.8406386292652499
CLARK,IND,GRN,GRN+IND,68.8768,Clark,IND,GRN,GRN+IND,0.697065389116186,True,True,True,0.8297389116185911
CORANGAMITE,ALP,LNP,ALP+LNP,58.3531,Corangamite,ALP,LNP,ALP+LNP,0.5915519629525672,True,True,True,0.8020962952567174
FAIRFAX,LNP,ALP,ALP+LNP,57.6867,Fairfax,LNP,ALP,ALP+LNP,0.5839738225133818,True,True,True,0.7106822513381772
DAWSON,LNP,ON,LNP+ON,51.7289,Dawson,LNP,ON,LNP+ON,0.5240545314630841,True,True,True,0.6765531463084073
MENZIES,LNP,ALP,ALP+LNP,50.5668,Menzies,LNP,ALP,ALP+LNP,0.5122892633804776,True,True,True,0.6621263380477629
BOWMAN,LNP,ALP,ALP+LNP,55.1023,Bowman,LNP,ALP,ALP+LNP,0.54552809440507,True,True,True,0.5494905594930017
CORIO,ALP,ON,ALP+ON,59.4903,Corio,ALP,ON,ALP+ON,0.5895627309364384,True,True,True,0.5340269063561536
LA TROBE,LNP,ALP,ALP+LNP,55.5296,La Trobe,LNP,ALP,ALP+LNP,0.5504869526840522,True,True,True,0.48090473159477654
CANBERRA,ALP,GRN,ALP+GRN,63.8042,Canberra,ALP,GRN,ALP+GRN,0.6333096968689977,True,True,True,0.473230313100224
LYNE,LNP,IND,IND+LNP,55.3836,Lyne,LNP,IND,IND+LNP,0.549105465936337,True,True,True,0.4730534063662972
SOLOMON,ALP,LNP,ALP+LNP,51.0367,Solomon,ALP,LNP,ALP+LNP,0.5059051437240298,True,True,True,0.44618562759701774
MCPHERSON,LNP,ALP,ALP+LNP,57.182,McPherson,LNP,ALP,ALP+LNP,0.5758747464635244,True,True,True,0.40547464635243813
BANKS,LNP,ALP,ALP+LNP,50.4975,Banks,LNP,ALP,ALP+LNP,0.5087084485667583,True,True,True,0.3733448566758284
LALOR,ALP,ON,ALP+ON,58.8128,Lalor,ALP,ON,ALP+ON,0.5918599233784466,True,True,True,0.37319233784465666
DURACK,LNP,ON,LNP+ON,50.3651,Durack,OTH,ON,ON+OTH,0.5000934474339774,False,True,False,0.35575525660225793
PARRAMATTA,ALP,LNP,ALP+LNP,60.0432,Parramatta,ALP,LNP,ALP+LNP,0.5970271254513906,True,True,True,0.34048745486094134
CANNING,LNP,ALP,ALP+LNP,55.9055,Canning,LNP,ALP,ALP+LNP,0.5624082077362892,True,True,True,0.335320773628915
MELBOURNE,GRN,ALP,ALP+GRN,52.065,Melbourne,GRN,ALP,ALP+GRN,0.5174545173686408,True,True,True,0.3195482631359212
O'CONNOR,LNP,ON,LNP+ON,50.9127,O'Connor,ON,LNP,LNP+ON,0.506152937681437,False,False,True,0.2974062318563
KINGSFORD SMITH,ALP,ON,ALP+ON,63.5427,Kingsford Smith,ALP,ON,ALP+ON,0.6325348783652922,True,True,True,0.28921216347078627
BONNER,ALP,LNP,ALP+LNP,51.309,Bonner,ALP,LNP,ALP+LNP,0.5103297630654147,True,True,True,0.2760236934585336
WHITLAM,ALP,ON,ALP+ON,51.883,Whitlam,ALP,ON,ALP+ON,0.5163060845454653,True,True,True,0.2523915454534702
FREMANTLE,IND,ALP,ALP+IND,54.5318,Fremantle,IND,ALP,ALP+IND,0.5477552856029039,True,True,True,0.2437285602903927
BLAXLAND,ALP,ON,ALP+ON,67.2059,Blaxland,ALP,ON,ALP+ON,0.6742859538105423,True,True,True,0.22269538105423692
OXLEY,ALP,ON,ALP+ON,63.7137,Oxley,ALP,ON,ALP+ON,0.6393387639667425,True,True,True,0.2201763966742476
REID,ALP,LNP,ALP+LNP,59.6772,Reid,ALP,LNP,ALP+LNP,0.5988804317600016,True,True,True,0.21084317600016078
BENDIGO,LNP,ALP,ALP+LNP,50.6749,Bendigo,ALP,LNP,ALP+LNP,0.5046450513639,False,False,True,0.2103948636099986
MACNAMARA,ALP,LNP,ALP+LNP,63.3623,Macnamara,ALP,LNP,ALP+LNP,0.6354002471651481,True,True,True,0.1777247165148097
TANGNEY,ALP,LNP,ALP+LNP,54.7348,Tangney,ALP,LNP,ALP+LNP,0.5489411634074657,True,True,True,0.15931634074657097
KINGSTON,ALP,ON,ALP+ON,64.4762,Kingston,ALP,ON,ALP+ON,0.6432011527149756,True,True,True,0.15608472850244937
HUGHES,LNP,ALP,ALP+LNP,50.4409,Hughes,LNP,ALP,ALP+LNP,0.5059504755833542,True,True,True,0.15414755833541705
DICKSON,ALP,LNP,ALP+LNP,50.5964,Dickson,LNP,ALP,ALP+LNP,0.5044228947145177,False,False,True,0.15411052854823026
PETRIE,LNP,ALP,ALP+LNP,52.0378,Petrie,LNP,ALP,ALP+LNP,0.5217197272058897,True,True,True,0.13417272058897112
BOOTHBY,ALP,LNP,ALP+LNP,62.0564,Boothby,ALP,LNP,ALP+LNP,0.6218341774305235,True,True,True,0.12701774305235602
CURTIN,IND,LNP,IND+LNP,55.1373,Curtin,IND,LNP,IND+LNP,0.552585812373302,True,True,True,0.12128123733019436
MITCHELL,LNP,ALP,ALP+LNP,56.9098,Mitchell,LNP,ALP,ALP+LNP,0.5680149295198946,True,True,True,0.1083070480105377
NEWCASTLE,ALP,GRN,ALP+GRN,58.5974,Newcastle,ALP,GRN,ALP+GRN,0.5866582874305579,True,True,True,0.06842874305579016
RICHMOND,GRN,ON,GRN+ON,64.6215,Richmond,GRN,ON,GRN+ON,0.6468211545985927,True,True,True,0.060615459859263865
DEAKIN,ALP,LNP,ALP+LNP,50.5546,Deakin,LNP,ALP,ALP+LNP,0.5050005567548143,False,False,True,0.05454432451857372
COOK,LNP,ALP,ALP+LNP,60.0113,Cook,LNP,ALP,ALP+LNP,0.59960744544804,True,True,True,0.05055545519599747
MARIBYRNONG,ALP,ON,ALP+ON,60.2717,Maribyrnong,ALP,ON,ALP+ON,0.6031670570451543,True,True,True,0.04500570451542529
GRAYNDLER,ALP,GRN,ALP+GRN,60.83,Grayndler,ALP,GRN,ALP+GRN,0.6086456054229678,True,True,True,0.03456054229677363
PERTH,ALP,ON,ALP+ON,63.2414,Perth,ALP,ON,ALP+ON,0.6326962691916499,True,True,True,0.02822691916499309
