Seat,Eliminated,ReportedAliveSet,AliveSet,AliveSetSource,AliveSetPositionConflict,RecordedPosition,TopThree
Kooyong,ALP,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,False,3.0,IND+LNP+ALP
Kooyong,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,IND+LNP+ALP
Kooyong,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,IND+LNP+ALP
Kooyong,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,IND+LNP+ALP
La Trobe,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+GRN
La Trobe,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+GRN
La Trobe,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+GRN
Lalor,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Lalor,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Lalor,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Lalor,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Leichhardt,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+ON
Leichhardt,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+ON
Leichhardt,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+ON
Leichhardt,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+ON
Lilley,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Lilley,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Lilley,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Lindsay,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Lindsay,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
Lindsay,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Lindsay,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Lingiari,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+GRN
Lingiari,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+GRN
Lingiari,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+GRN
Longman,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Longman,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Longman,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Lyne,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
Lyne,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+IND
Lyne,ON,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+IND
Lyne,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+IND
Lyons,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Lyons,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Lyons,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Lyons,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Macarthur,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Macarthur,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Macarthur,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Mackellar*,ALP,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,False,3.0,IND+LNP+ALP
Mackellar*,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,IND+LNP+ALP
Mackellar*,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,IND+LNP+ALP
Mackellar*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,IND+LNP+ALP
Macnamara,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Macnamara,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Macnamara,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Macnamara,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Macquarie,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Macquarie,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Macquarie,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Makin,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Makin,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Makin,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Mallee,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Mallee,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Mallee,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Maranoa,ALP,LNP+ON,LNP+ON,positive_recipients_validated_against_3cp,False,3.0,LNP+ON+ALP
Maranoa,GRN,ALP+LNP+ON+OTH,ALP+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,5.0,LNP+ON+ALP
Maranoa,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ON+ALP
Maribyrnong,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Maribyrnong,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Mayo,GRN,ALP+LNP+OTH,ALP+LNP+OTH,positive_recipients_validated_against_3cp,False,4.0,OTH+ALP+LNP
Mayo,LNP,ALP+OTH,ALP+OTH,positive_recipients_validated_against_3cp,False,3.0,OTH+ALP+LNP
Mayo,ON,ALP+GRN+LNP+OTH,ALP+GRN+LNP+OTH,positive_recipients_validated_against_3cp,False,5.0,OTH+ALP+LNP
McEwen,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
McEwen,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
McEwen,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
McMahon,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+IND
McMahon,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+IND
McMahon,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+IND
McPherson,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+IND
McPherson,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+IND
McPherson,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
McPherson,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+IND
Melbourne,IND,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+GRN+LNP
Melbourne,LNP,ALP+GRN,ALP+GRN,positive_recipients_validated_against_3cp,False,3.0,ALP+GRN+LNP
Melbourne,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+GRN+LNP
Melbourne,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+GRN+LNP
Menzies,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Menzies,IND,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Menzies,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Menzies,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Mitchell,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+GRN
Mitchell,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+GRN
Mitchell,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+GRN
Monash*,GRN,ALP+IND+LNP+ON+OTH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+IND
Monash*,ON,ALP+IND+LNP+OTH,ALP+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
Monash*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,True,3.0,LNP+ALP+IND
Moncrieff,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+GRN
Moncrieff,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+GRN
Moncrieff,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+GRN
Moncrieff,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+GRN
Moore,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+IND
Moore,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+IND
Moore,ON,ALP+GRN+IND+LNP+OTH,ALP+GRN+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+IND
Moore,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+IND
Moreton,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Moreton,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Moreton,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
New England,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
New England,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
New England,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
New England,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
New South Wales,ALP,IND+LNP+OTH,IND+LNP+OTH,positive_recipients_validated_against_3cp,False,nan,
New South Wales,GRN,ALP+IND+LNP+ON+OTH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,nan,
New South Wales,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,nan,
New South Wales,LNP,ALP+GRN+IND+ON,ALP+GRN+IND+ON,positive_recipients_validated_against_3cp,False,nan,
New South Wales,ON,ALP+GRN+IND+LNP+OTH,ALP+GRN+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,nan,
New South Wales,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,nan,
Newcastle,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+GRN+LNP
Newcastle,LNP,ALP+GRN,ALP+GRN,positive_recipients_validated_against_3cp,False,3.0,ALP+GRN+LNP
Newcastle,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+GRN+LNP
Newcastle,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+GRN+LNP
Nicholls,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Nicholls,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Nicholls,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Northern Territory,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,nan,
Northern Territory,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,nan,
Northern Territory,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,nan,
Northern Territory,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,nan,
O'Connor,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
O'Connor,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
O'Connor,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Oxley,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Oxley,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Oxley,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Oxley,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Page*,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+GRN
Page*,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+GRN
Page*,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+GRN
Page*,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+GRN
Parkes,GRN,ALP+LNP+ON+OTH,ALP+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Parkes,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
Parkes,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Parkes,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Parramatta*,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Parramatta*,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Parramatta*,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Parramatta*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Paterson*,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+IND
Paterson*,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+IND
Paterson*,ON,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+IND
Paterson*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+IND
Pearce,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Pearce,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Pearce,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Perth,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Perth,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Petrie,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Petrie,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Petrie,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Queensland,ALP,GRN+IND+LNP+ON+OTH,GRN+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,nan,
Queensland,GRN,ALP+IND+LNP+ON+OTH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,nan,
Queensland,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,nan,
Queensland,LNP,ALP+GRN,ALP+GRN,positive_recipients_validated_against_3cp,False,nan,
Queensland,ON,ALP+GRN+IND+LNP+OTH,ALP+GRN+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,nan,
Queensland,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,nan,
Rankin,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Rankin,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Rankin,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Reid,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Reid,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Reid,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Reid,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Richmond*,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Richmond*,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Richmond*,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Richmond*,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Riverina,GRN,ALP+IND+LNP+ON+OTH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
Riverina,IND,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Riverina,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Riverina,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Robertson,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Robertson,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Robertson,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Robertson,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Ryan,ALP,GRN+LNP,GRN+LNP,positive_recipients_validated_against_3cp,False,3.0,GRN+LNP+ALP
Ryan,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,GRN+LNP+ALP
Ryan,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,GRN+LNP+ALP
Scullin,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Scullin,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Scullin,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Shortland,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Shortland,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Shortland,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Shortland,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Solomon*,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+IND
Solomon*,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+IND
Solomon*,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+IND
Solomon*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+IND
South Australia,GRN,ALP+IND+LNP+ON+OTH,ALP+IND+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,nan,
South Australia,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,nan,
South Australia,LNP,ALP+OTH,ALP+OTH,positive_recipients_validated_against_3cp,False,nan,
South Australia,ON,ALP+GRN+IND+LNP+OTH,ALP+GRN+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,nan,
South Australia,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,nan,
Spence,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Spence,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Spence,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Spence,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Sturt,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Sturt,IND,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Sturt,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Sturt,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Swan,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Swan,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Swan,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Sydney,LNP,ALP+GRN,ALP+GRN,positive_recipients_validated_against_3cp,False,3.0,ALP+GRN+LNP
