Seat,Eliminated,ReportedAliveSet,AliveSet,AliveSetSource,AliveSetPositionConflict,RecordedPosition,TopThree
Deakin,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Dickson,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+IND
Dickson,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+IND
Dickson,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+IND
Dickson,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+IND
Dobell,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Dobell,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Dobell,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Dunkley,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Dunkley,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Dunkley,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Dunkley,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Durack,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Durack,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Durack,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Eden-Monaro*,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Eden-Monaro*,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Eden-Monaro*,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Eden-Monaro*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Fadden,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Fadden,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
Fadden,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Fadden,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Fairfax,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
Fairfax,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+IND
Fairfax,ON,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+IND
Fairfax,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+IND
Farrer,ALP,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+IND+ALP
Farrer,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+IND+ALP
