Seat,Eliminated,AliveSet,Recipient,Votes,Share, 
Banks,IND,ALP|GRN|LNP|ON|OTH,ALP,484.0,0.23036649214659685,
Banks,IND,ALP|GRN|LNP|ON|OTH,LNP,358.0,0.1703950499762018,
Banks,IND,ALP|GRN|LNP|ON|OTH,GRN,698.0,0.3322227510709186,
Banks,IND,ALP|GRN|LNP|ON|OTH,ON,175.0,0.08329366968110423,
Banks,IND,ALP|GRN|LNP|ON|OTH,OTH,386.0,0.18372203712517848,
Banks,OTH,ALP|GRN|LNP|ON,ALP,805.0,0.1137648388920294,
Banks,OTH,ALP|GRN|LNP|ON,LNP,1265.0,0.17877331825890333,
Banks,OTH,ALP|GRN|LNP|ON,GRN,858.0,0.12125494629734314,
Banks,OTH,ALP|GRN|LNP|ON,ON,4148.0,0.5862068965517241,
Cook,GRN,ALP|LNP,ALP,10259.0,0.8167343364381817,
Cook,GRN,ALP|LNP,LNP,2302.0,0.18326566356181834,
Cook,ON,ALP|GRN|LNP,ALP,946.0,0.12640299305184394,
Cook,ON,ALP|GRN|LNP,LNP,5256.0,0.7022982362373063,
Cook,ON,ALP|GRN|LNP,GRN,1282.0,0.1712987707108498,
Cook,OTH,ALP|GRN|LNP|ON,ALP,851.0,0.1304414469650521,
Cook,OTH,ALP|GRN|LNP|ON,LNP,2155.0,0.3303188228080932,
Cook,OTH,ALP|GRN|LNP|ON,GRN,704.0,0.1079092581238504,
Cook,OTH,ALP|GRN|LNP|ON,ON,2814.0,0.4313304721030043,
Barton,GRN,ALP|LNP,ALP,15134.0,0.8329113924050633,
Barton,GRN,ALP|LNP,LNP,3036.0,0.1670886075949367,
Barton,ON,ALP|GRN|LNP,ALP,2752.0,0.2889542209155817,
Barton,ON,ALP|GRN|LNP,LNP,5436.0,0.5707685846283075,
Barton,ON,ALP|GRN|LNP,GRN,1336.0,0.14027719445611087,
Barton,OTH,ALP|GRN|LNP|ON,ALP,987.0,0.13645790128577354,
Barton,OTH,ALP|GRN|LNP|ON,LNP,1346.0,0.18609152495506706,
Barton,OTH,ALP|GRN|LNP|ON,GRN,949.0,0.1312042029586617,
Barton,OTH,ALP|GRN|LNP|ON,ON,3951.0,0.5462463708004978,
Blaxland,GRN,ALP|IND|LNP,ALP,3638.0,0.4820458460315357,
Blaxland,GRN,ALP|IND|LNP,LNP,588.0,0.07791175301444282,
Blaxland,GRN,ALP|IND|LNP,IND,3321.0,0.4400424009540215,
Blaxland,ON,ALP|GRN|IND|LNP,ALP,686.0,0.14626865671641792,
Blaxland,ON,ALP|GRN|IND|LNP,LNP,2727.0,0.5814498933901919,
Blaxland,ON,ALP|GRN|IND|LNP,GRN,389.0,0.08294243070362474,
Blaxland,ON,ALP|GRN|IND|LNP,IND,888.0,0.18933901918976545,
Blaxland,IND,ALP|LNP,ALP,17692.0,0.840834561095005,
Blaxland,IND,ALP|LNP,LNP,3349.0,0.15916543890499502,
Blaxland,OTH,ALP|GRN|IND|LNP|ON,ALP,457.0,0.12624309392265193,
Blaxland,OTH,ALP|GRN|IND|LNP|ON,LNP,725.0,0.20027624309392264,
Blaxland,OTH,ALP|GRN|IND|LNP|ON,GRN,304.0,0.08397790055248619,
Blaxland,OTH,ALP|GRN|IND|LNP|ON,ON,1604.0,0.4430939226519337,
Blaxland,OTH,ALP|GRN|IND|LNP|ON,IND,530.0,0.1464088397790055,
Grayndler,LNP,ALP|GRN,ALP,13176.0,0.6518577153317172,
Grayndler,LNP,ALP|GRN,GRN,7037.0,0.3481422846682828,
Grayndler,ON,ALP|GRN|LNP,ALP,603.0,0.12593984962406016,
Grayndler,ON,ALP|GRN|LNP,LNP,3531.0,0.7374686716791979,
Grayndler,ON,ALP|GRN|LNP,GRN,654.0,0.13659147869674185,
Grayndler,IND,ALP|GRN|LNP|ON,ALP,829.0,0.2954383464005702,
Grayndler,IND,ALP|GRN|LNP|ON,LNP,430.0,0.15324305060584462,
Grayndler,IND,ALP|GRN|LNP|ON,GRN,1061.0,0.3781183178902352,
Grayndler,IND,ALP|GRN|LNP|ON,ON,486.0,0.17320028510334998,
Grayndler,OTH,ALP|GRN|IND|LNP|ON,ALP,166.0,0.09600925390399075,
Grayndler,OTH,ALP|GRN|IND|LNP|ON,LNP,385.0,0.22267206477732793,
Grayndler,OTH,ALP|GRN|IND|LNP|ON,GRN,141.0,0.08155002891844997,
Grayndler,OTH,ALP|GRN|IND|LNP|ON,ON,797.0,0.4609600925390399,
Grayndler,OTH,ALP|GRN|IND|LNP|ON,IND,240.0,0.13880855986119145,
Parramatta*,GRN,ALP|LNP,ALP,12439.0,0.8526871401151631,
Parramatta*,GRN,ALP|LNP,LNP,2149.0,0.14731285988483686,
Parramatta*,ON,ALP|GRN|LNP,ALP,665.0,0.13906315349226264,
Parramatta*,ON,ALP|GRN|LNP,LNP,3204.0,0.6700125470514429,
Parramatta*,ON,ALP|GRN|LNP,GRN,913.0,0.19092429945629444,
Parramatta*,IND,ALP|GRN|LNP|ON|OTH,ALP,737.0,0.26702898550724635,
Parramatta*,IND,ALP|GRN|LNP|ON|OTH,LNP,430.0,0.15579710144927536,
Parramatta*,IND,ALP|GRN|LNP|ON|OTH,GRN,790.0,0.286231884057971,
Parramatta*,IND,ALP|GRN|LNP|ON|OTH,ON,407.0,0.14746376811594203,
Parramatta*,IND,ALP|GRN|LNP|ON|OTH,OTH,396.0,0.14347826086956522,
Parramatta*,OTH,ALP|GRN|IND|LNP|ON,ALP,522.0,0.11964244785697914,
Parramatta*,OTH,ALP|GRN|IND|LNP|ON,LNP,757.0,0.17350446940178776,
Parramatta*,OTH,ALP|GRN|IND|LNP|ON,GRN,1119.0,0.25647490258996103,
Parramatta*,OTH,ALP|GRN|IND|LNP|ON,ON,1722.0,0.39468255787302314,
Parramatta*,OTH,ALP|GRN|IND|LNP|ON,IND,243.0,0.05569562227824891,
Reid,GRN,ALP|LNP,ALP,11562.0,0.8320978769341489,
Reid,GRN,ALP|LNP,LNP,2333.0,0.16790212306585103,
Reid,ON,ALP|GRN|LNP,ALP,700.0,0.1653673517599811,
Reid,ON,ALP|GRN|LNP,LNP,2855.0,0.6744625561067801,
Reid,ON,ALP|GRN|LNP,GRN,678.0,0.16017009213323885,
Reid,IND,ALP|GRN|LNP|ON,ALP,1086.0,0.3045429052159282,
Reid,IND,ALP|GRN|LNP|ON,LNP,569.0,0.159562535053281,
Reid,IND,ALP|GRN|LNP|ON,GRN,1350.0,0.3785754346606842,
Reid,IND,ALP|GRN|LNP|ON,ON,561.0,0.15731912507010656,
Reid,OTH,ALP|GRN|IND|LNP|ON,ALP,238.0,0.08487874465049929,
Reid,OTH,ALP|GRN|IND|LNP|ON,LNP,591.0,0.2107703281027104,
Reid,OTH,ALP|GRN|IND|LNP|ON,GRN,187.0,0.06669044222539229,
Reid,OTH,ALP|GRN|IND|LNP|ON,ON,1320.0,0.47075606276747506,
Reid,OTH,ALP|GRN|IND|LNP|ON,IND,468.0,0.16690442225392296,
Watson*,LNP,ALP|IND,ALP,8476.0,0.4840109639104614,
Watson*,LNP,ALP|IND,IND,9036.0,0.5159890360895386,
Watson*,GRN,ALP|IND|LNP,ALP,4433.0,0.5085465182975795,
Watson*,GRN,ALP|IND|LNP,LNP,1042.0,0.11953653779970173,
Watson*,GRN,ALP|IND|LNP,IND,3242.0,0.37191694390271884,
Watson*,ON,ALP|GRN|IND|LNP|OTH,ALP,520.0,0.14035087719298245,
Watson*,ON,ALP|GRN|IND|LNP|OTH,LNP,1339.0,0.36140350877192984,
Watson*,ON,ALP|GRN|IND|LNP|OTH,GRN,339.0,0.09149797570850203,
Watson*,ON,ALP|GRN|IND|LNP|OTH,IND,551.0,0.14871794871794872,
Watson*,ON,ALP|GRN|IND|LNP|OTH,OTH,956.0,0.258029689608637,
Watson*,OTH,ALP|GRN|IND|LNP,ALP,1907.0,0.21796776774488513,
Watson*,OTH,ALP|GRN|IND|LNP,LNP,2919.0,0.3336381300720082,
Watson*,OTH,ALP|GRN|IND|LNP,GRN,1073.0,0.12264258772431134,
Watson*,OTH,ALP|GRN|IND|LNP,IND,2850.0,0.3257515144587953,
Berowra*,GRN,ALP|IND|LNP,ALP,7318.0,0.500341856967045,
Berowra*,GRN,ALP|IND|LNP,LNP,1005.0,0.06871325037604266,
Berowra*,GRN,ALP|IND|LNP,IND,6303.0,0.4309448926569123,
Berowra*,ON,ALP|GRN|IND|LNP,ALP,524.0,0.08800806180718844,
Berowra*,ON,ALP|GRN|IND|LNP,LNP,3726.0,0.6257977830030231,
Berowra*,ON,ALP|GRN|IND|LNP,GRN,336.0,0.0564326503191132,
Berowra*,ON,ALP|GRN|IND|LNP,IND,1368.0,0.22976150487067518,
Berowra*,IND,ALP|LNP,ALP,16309.0,0.7362979683972912,
Berowra*,IND,ALP|LNP,LNP,5841.0,0.26370203160270883,
Berowra*,OTH,ALP|GRN|IND|LNP|ON,ALP,524.0,0.11600619880451628,
Berowra*,OTH,ALP|GRN|IND|LNP|ON,LNP,891.0,0.1972548151427939,
Berowra*,OTH,ALP|GRN|IND|LNP|ON,GRN,509.0,0.11268541067079921,
Berowra*,OTH,ALP|GRN|IND|LNP|ON,ON,1249.0,0.27651095860084124,
Berowra*,OTH,ALP|GRN|IND|LNP|ON,IND,1344.0,0.2975426167810494,
Mackellar*,ALP,IND|LNP,LNP,3674.0,0.22390151745993053,
Mackellar*,ALP,IND|LNP,IND,12735.0,0.7760984825400695,
Mackellar*,GRN,ALP|IND|LNP,ALP,2139.0,0.25920988851187593,
Mackellar*,GRN,ALP|IND|LNP,LNP,1419.0,0.1719583131362094,
Mackellar*,GRN,ALP|IND|LNP,IND,4694.0,0.5688317983519147,
Mackellar*,ON,ALP|GRN|IND|LNP,ALP,332.0,0.05914840548726171,
