,,,,ScenarioKey,ScenarioTotal,PartyTotal,Share,Total
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.07840236686,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.1283130652,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.1526812756,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.1073657928,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.1226425877,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.2622826909,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1397802198,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1782037629,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1746772865,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1851274051,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.2692432608,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1893390192,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3506097561,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3826612903,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1704970604,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.2591504141,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3899082569,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.2645590682,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.2297615049,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3302578661,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.2721695482,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.318257338,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.2321548595,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3265567766,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3054309915,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.402783548,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3475919832,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3699273168,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.2651893467,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3257515145,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3199910304,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.303465765,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.3483146067,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.6389148737,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.4063276104,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.2052419355,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.1292485189,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.3902439024,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.3863796754,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.3404653095,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.7252747253,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.5904514453,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.6716364927,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.5987176062,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.535841022,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.5854528167,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.6904696512,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.6934477379,#VALUE!,
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.4983516484,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → LNP,#VALUE!,0.5814498934,#VALUE!,
