division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_pct,division,winner,runner_up,final_two,winner_pct,winner_match,runner_up_match,final_two_match,winner_diff_pp
RYAN,GRN,LNP,GRN+LNP,54.4456,Ryan,GRN,LNP,GRN+LNP,0.5649813277442653,True,True,True,2.0525327744265383
HAWKE,ON,ALP,ALP+ON,50.0249,Hawke,ON,ALP,ALP+ON,0.5203640062894259,True,True,True,2.011500628942592
CUNNINGHAM,ALP,ON,ALP+ON,61.5949,Cunningham,ALP,ON,ALP+ON,0.6351951775496228,True,True,True,1.9246177549622843
CORIO,ALP,ON,ALP+ON,59.4903,Corio,ALP,ON,ALP+ON,0.6139607054459607,True,True,True,1.9057705445960735
INDI,IND,ON,IND+ON,55.0648,Indi,IND,ON,IND+ON,0.5685280064936657,True,True,True,1.7880006493665732
KINGSTON,ALP,ON,ALP+ON,64.4762,Kingston,ALP,ON,ALP+ON,0.6620249400166252,True,True,True,1.7262940016625095
BEROWRA,LNP,ALP,ALP+LNP,54.5557,Berowra,LNP,ALP,ALP+LNP,0.5627437101122432,True,True,True,1.7186710112243233
PARKES,ON,LNP,LNP+ON,51.8501,Parkes,ON,LNP,LNP+ON,0.5014623401541121,True,True,True,1.7038659845887878
MCEWEN,ALP,ON,ALP+ON,52.4378,McEwen,ON,ALP,ALP+ON,0.5076170517779353,False,False,True,1.6760948222064798
MACQUARIE,ALP,ON,ALP+ON,54.2699,Macquarie,ALP,ON,ALP+ON,0.526258708456126,True,True,True,1.644029154387404
CHIFLEY,ALP,ON,ALP+ON,64.268,Chifley,ALP,ON,ALP+ON,0.6584631714627353,True,True,True,1.5783171462735197
SPENCE,ALP,ON,ALP+ON,58.6643,Spence,ALP,ON,ALP+ON,0.6022766906522999,True,True,True,1.563369065229999
BALLARAT,ALP,ON,ALP+ON,57.424,Ballarat,ALP,ON,ALP+ON,0.558616158320384,True,True,True,1.5623841679615964
CANBERRA,ALP,GRN,ALP+GRN,63.8042,Canberra,ALP,GRN,ALP+GRN,0.6226370029741982,True,True,True,1.5404997025801777
GOLDSTEIN,IND,LNP,IND+LNP,51.6357,Goldstein,LNP,IND,IND+LNP,0.5015465499585243,False,False,True,1.4810450041475676
BOOTHBY,ALP,LNP,ALP+LNP,62.0564,Boothby,ALP,LNP,ALP+LNP,0.6058649424612531,True,True,True,1.4699057538746843
BASS,ALP,ON,ALP+ON,52.7818,Bass,ALP,ON,ALP+ON,0.5137606103279498,True,True,True,1.4057389672050107
ROBERTSON,ALP,ON,ALP+ON,54.8456,Robertson,ALP,ON,ALP+ON,0.5344973168746995,True,True,True,1.3958683125300482
WENTWORTH,IND,LNP,IND+LNP,59.8899,Wentworth,IND,LNP,IND+LNP,0.5850831974164765,True,True,True,1.3815802583523435
NEW ENGLAND,LNP,ON,LNP+ON,58.0524,New England,LNP,ON,LNP+ON,0.5942617924639374,True,True,True,1.3737792463937382
LYNE,LNP,IND,IND+LNP,55.3836,Lyne,LNP,IND,IND+LNP,0.5669911750543183,True,True,True,1.3155175054318278
BARKER,LNP,ON,LNP+ON,58.4741,Barker,LNP,ON,LNP+ON,0.5978397789425802,True,True,True,1.3098778942580225
